visible_surface	component_parse	portable_ot_value_de	composed_short_value_de	group_count	pages	loci
otoldos	OT+OL+LOCAL_DOS	FOLGEPOSTEN	Folgeposten im selben Lauf weiter	1	f67r2	f67r2.38
qotoear	Q_FRAME+OT+LOCAL_OE+AR	FOLGEPOSTEN	Quelladresse des Folgepostens	1	f67r2	f67r2.52
otolor	OT+OL+OR	FOLGEPOSTEN	Folgeposten; gleiche Reihe; neuer Bedingungsansatz	1	f67r2	f67r2.62
choteey	LOCAL_CH+OT+EE+Y	FOLGEPOSTEN	Folgeposten laenger halten	1	f68r1	f68r1.1
otor	OT+OR	FOLGEPOSTEN	Bedingungsansatz des Folgepostens	2	f68r1	f68r1.1|f68r1.26
otchl	OT+LOCAL_CHL	FOLGEPOSTEN	lokaler CHL-Folgeposten	1	f68r1	f68r1.2
otcheody	OT+LOCAL_CHEODY	FOLGEPOSTEN	lokaler CHEODY-Folgeposten	1	f68r1	f68r1.10
otshey	OT+SHEY	FOLGEPOSTEN	naechster freigegebener Wert	1	f68r1	f68r1.14
otochedy	OT+LOCAL_O+CHED+Y	FOLGEPOSTEN	naechsten Posten uebertragen	1	f68r1	f68r1.35
otaza	OT+LOCAL_AZA	FOLGEPOSTEN	lokaler AZA-Folgeposten	1	f69v	f69v.1
otokeeey	OT+OK+EE+Y	FOLGEPOSTEN	Folgeposten laenger einsetzen	1	f69v	f69v.1
ot	OT	FOLGEPOSTEN	Folgeposten	1	f69v	f69v.1
oteeo	OT+EE+LOCAL_O	FOLGEPOSTEN	lokalen Folgeposten laenger halten	1	f69v	f69v.1
otaldal	OT+AL+LOCAL_D+AL	FOLGEPOSTEN	Folgeposten an die bezeichnete Ziel-Unteradresse	1	f69v	f69v.3
otoar	OT+LOCAL_O+AR	FOLGEPOSTEN	Quelladresse des Folgepostens	1	f69v	f69v.3
qoteor	Q_FRAME+OT+E+OR	FOLGEPOSTEN	kurzer Bedingungsansatz des Folgepostens	1	f69v	f69v.3
qotair	Q_FRAME+OT+AIR	FOLGEPOSTEN	Laufbahn des Folgepostens	1	f69v	f69v.3
oteeal	OT+EE+AL	FOLGEPOSTEN	Folgeposten laenger an der Zieladresse halten	1	f69v	f69v.3
oteody	OT+LOCAL_EODY	FOLGEPOSTEN	lokaler EODY-Folgeposten	1	f69v	f69v.3
otoly	OT+OL+Y	FOLGEPOSTEN	diesen Folgeposten im selben Lauf weiterfuehren	1	f69v	f69v.3
oteoarar	OT+LOCAL_EO+AR+AR	FOLGEPOSTEN	Folgeposten mit doppelter Quelladresse	1	f69v	f69v.3
otody	OT+LOCAL_ODY	FOLGEPOSTEN	lokaler ODY-Folgeposten	1	f69v	f69v.12
oteeys	OT+EE+LOCAL_YS	FOLGEPOSTEN	lokalen Folgeposten laenger halten	1	f69v	f69v.15
oteol	OT+E+OL	FOLGEPOSTEN	Folgeposten kurz im selben Lauf weiterfuehren	1	f69v	f69v.16
otchy	OT+CHY	FOLGEPOSTEN	diesen Folgeposten bearbeiten	1	f69v	f69v.24
