position	block	locus	group	word	clause	tag	hypothetical_meaning	frozen_old_entry	confirmed
1	NEW33	f83r.25	1	qokeedy	D01	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	False	False
2	NEW33	f83r.25	2	qolchey	D01	AT_TIME	bind the preceding time reference to the following initial-entry declaration	False	False
3	NEW33	f83r.25	3	qokeey	D01	SOLE_STARTER	the single rota singer assigned the initial entry; a role reference explicitly identified with LEADER in the next clause	False	False
4	NEW33	f83r.25	4	qokedy	D01	CO_ONSET	require equality of the first onset times of its two explicit event sets; preserve distinct performers and parts	False	False
5	NEW33	f83r.25	5	chedy	D01	ENTER	enter the performance	True	False
6	NEW33	f83r.25	6	otal	D01	BEGIN_BOTH_PES	declare initial part starts for both members U,L of the existing ordered accompaniment pair; this is not ENTER applied to pes	False	False
7	NEW33	f83r.26	1	otchey	D02	INITIAL_RULE	scope the following role/silence declaration at the already named initial onset T0	False	False
8	NEW33	f83r.26	2	qokeey	D02	SOLE_STARTER	the single rota singer assigned the initial entry; a role reference explicitly identified with LEADER in the next clause	False	False
9	NEW33	f83r.26	3	qoky	D02	OTHERS_SILENT	all not-yet-entered rota singers are silent	True	False
10	NEW33	f83r.26	4	tol	D02	IDENTICAL_ROLE	assert identity of the named human-role referents	False	False
11	NEW33	f83r.26	5	shedy	D02	LEADER	the leading singer role	True	False
12	NEW33	f83r.26	6	qokylddy	D02	SAME_PERFORMANCE_REFERENCE	bind this paragraph to the performance of the next explicit ROTA declaration in the fixed paired block; all role/part/cue identities are shared	False	False
13	NEW33	f83r.27	1	dain	D03	RESTATE_SAME_STARTER	restate the first entry of the just identified sole starter; the repeated ENTER names that same first event, not another entry	False	False
14	NEW33	f83r.27	2	chedy	D03	ENTER	enter the performance	True	False
15	NEW33	f83r.27	3	qokeedy	D03	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	False	False
16	NEW33	f83r.27	4	shckhedy	D03	START_NEXT_PES	consume the next member of the existing ordered pair [U,L] and return its first part-start event; same iterator operation at both adjacent occurrences	False	False
17	NEW33	f83r.27	5	shckhedy	D03	START_NEXT_PES	consume the next member of the existing ordered pair [U,L] and return its first part-start event; same iterator operation at both adjacent occurrences	False	False
18	NEW33	f83r.28	1	saiin	D04	UPPER_PES	the performer assigned P1; distinct from a note or motif	True	False
19	NEW33	f83r.28	2	cheeky	D04	TERMINAL_REST	the written rest at the terminal position of the named performer's assigned part; a part property, not an instruction to rest at the initial onset	False	False
20	NEW33	f83r.28	3	sheey	D04	FIRST_PART_START	the initial start of the named performer's assigned part; later cycle restarts are distinct from this event	False	False
21	NEW33	f83r.28	4	qokedy	D04	CO_ONSET	require equality of the first onset times of its two explicit event sets; preserve distinct performers and parts	False	False
22	NEW33	f83r.28	5	shedy	D04	LEADER	the leading singer role	True	False
23	NEW33	f83r.28	6	oldy	D04	PRESERVE_OWN_CYCLE	preserve that performer's own complete assigned note/rest cycle and local phase through other singers' entries; do not replace or restart the part	False	False
24	NEW33	f83r.29	1	salchedy	D05	LOWER_PES_REFERENCE	the same performer L assigned P2 in RAW485; no new singer or role exchange	False	False
25	NEW33	f83r.29	2	cheey	D05	INTERNAL_REST	a written rest internal to the named performer's assigned part, not necessarily its arithmetic midpoint	False	False
26	NEW33	f83r.29	3	qody	D05	WITHOUT_TERMINAL_REST	the named complete assigned part has no terminal rest event; retain every internal written rest and do not remove or relocate events	False	False
27	NEW33	f83r.29	4	kesd	D05	IMMEDIATE_CYCLE_RESTART	restart the same completed part without an added end delay, while the inherited common performance need continues	False	False
28	NEW33	f83r.29	5	oldy	D05	PRESERVE_OWN_CYCLE	preserve that performer's own complete assigned note/rest cycle and local phase through other singers' entries; do not replace or restart the part	False	False
29	NEW33	f83r.30	1	s	D06	PES	the accompaniment role pair, with distinct assigned parts P1 and P2	True	False
30	NEW33	f83r.30	2	okeedy	D06	COMPANIONS	distinct human performers of the rota part	True	False
31	NEW33	f83r.30	3	qokeedy	D06	INITIAL_ONSET	the initial onset time T0 of the current performance; one time reference at all three occurrences	False	False
32	NEW33	f83r.30	4	qoky	D06	OTHERS_SILENT	all not-yet-entered rota singers are silent	True	False
33	NEW33	f83r.30	5	saii	D06	DISTINCT_GROUPS	assert that the two named performer groups are disjoint: the accompaniment pair and rota companions; no performer changes group	False	False
34	OLD62	f83r.31	1	techedy	C01	ROTA	the rota/performance being prescribed	True	False
35	OLD62	f83r.31	2	qotchedy	C01	FOUR	four rota singers are a permitted realization; not an upper bound	True	False
36	OLD62	f83r.31	3	okeedy	C01	COMPANIONS	distinct human performers of the rota part	True	False
37	OLD62	f83r.31	4	ldy	C01	MAY_SING	permission to perform the named musical object	True	False
38	OLD62	f83r.32	1	cheol	C02	SAME_MELODY	the same defined main melody M	True	False
39	OLD62	f83r.32	2	qokchedy	C02	EACH	universal quantifier over the following role expression	True	False
40	OLD62	f83r.32	3	lchedy	C02	FOLLOWER	a following singer role; repetition alone introduces no fresh person	True	False
41	OLD62	f83r.32	4	qokey	C02	REPEAT	repeat the defined musical part	True	False
42	OLD62	f83r.33	1	sy	C03	TWO	two distinct performers	True	False
43	OLD62	f83r.33	2	s	C03	PES	the accompaniment role pair, with distinct assigned parts P1 and P2	True	False
44	OLD62	f83r.33	3	aiin	C03	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions	True	False
45	OLD62	f83r.33	4	sheekchy	C03	AS_NEEDED	repeat while the common performance need continues; no source stopping time	True	False
46	OLD62	f83r.33	5	qokey	C03	REPEAT	repeat the defined musical part	True	False
47	OLD62	f83r.33	6	sain	C03	THEIR_PART	each member keeps its own assigned part; not the same part for both	True	False
48	OLD62	f83r.34	1	shky	C04	ALL	universal quantifier over the following role expression	True	False
49	OLD62	f83r.34	2	lchedy	C04	FOLLOWER	a following singer role; repetition alone introduces no fresh person	True	False
50	OLD62	f83r.34	3	dolshed	C04	PAUSE_ONLY	use rests only at the specified positions of the assigned part	True	False
51	OLD62	f83r.34	4	qokchy	C04	WRITTEN_PAUSES	the written rest-position set in the assigned main part	True	False
52	OLD62	f83r.35	1	saiin	C05	UPPER_PES	the performer assigned P1; distinct from a note or motif	True	False
53	OLD62	f83r.35	2	cheky	C05	PAUSE	a rest event located in the named part	True	False
54	OLD62	f83r.35	3	okeeol	C05	END	the end location of that part	True	False
55	OLD62	f83r.35	4	okain	C05	LOWER_PES	the performer assigned P2	True	False
56	OLD62	f83r.35	5	chdy	C05	MIDDLE	an internal location, not an arithmetic midpoint	True	False
57	OLD62	f83r.36	1	sor	C06	INITIALLY	the initial start of this performance	True	False
58	OLD62	f83r.36	2	aiin	C06	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions	True	False
59	OLD62	f83r.36	3	shy	C06	ONE	one rota singer, resolved to the leading role rather than a new unnamed singer	True	False
60	OLD62	f83r.36	4	shey	C06	SING	sing the assigned part	True	False
61	OLD62	f83r.36	5	lshedy	C06	WITH_PES	include both already introduced accompaniment performers in the onset set	True	False
62	OLD62	f83r.36	6	qoky	C06	OTHERS_SILENT	all not-yet-entered rota singers are silent	True	False
63	OLD62	f83r.37	1	sol	C07	WHEN	when the stated cue is reached	True	False
64	OLD62	f83r.37	2	lkedy	C07	CROSS_CUE	the first note after the defined cross X, bound here to MN010	True	False
65	OLD62	f83r.37	3	lchedy	C07	FOLLOWER	a following singer role; repetition alone introduces no fresh person	True	False
66	OLD62	f83r.37	4	qokol	C07	AFTER_CUE_OF	the following role takes the named preceding performer as cue owner	True	False
67	OLD62	f83r.37	5	shedy	C07	LEADER	the leading singer role	True	False
68	OLD62	f83r.38	1	or	C08	AND_NEXT	extend the preceding entry rule to later members of the ordered rota group	True	False
69	OLD62	f83r.38	2	chey	C08	NEXT_FOLLOWER	the remaining followers in their entry order	True	False
70	OLD62	f83r.38	3	qockhey	C08	IMMEDIATE_PREDECESSOR	the immediately preceding rota singer for each current follower	True	False
71	OLD62	f83r.38	4	dairydy	C08	SAME_RULE	reuse the immediately preceding cue-ownership rule, with the explicit new participant arguments	True	False
72	OLD62	f83r.39	1	qokain	C09	OTHER_MEMBER	the second member of the most recently introduced ordered accompaniment pair: lower pes	True	False
73	OLD62	f83r.39	2	shey	C09	SING	sing the assigned part	True	False
74	OLD62	f83r.39	3	kain	C09	NO_END_PAUSE	no rest added at the end of the assigned part	True	False
75	OLD62	f83r.39	4	chckhal	C09	IMMEDIATE_RESTART	restart that same part immediately at its cycle boundary	True	False
76	OLD62	f83r.40	1	solchedy	C10	EACH_ROTA_SINGER	every member of the rota group, including its leader	True	False
77	OLD62	f83r.40	2	olchedy	C10	WRITTEN_PAUSE	the written pauses of the selected rota singer	True	False
78	OLD62	f83r.40	3	chedaiin	C10	ONE_LONG_NOTE	one written longa as a rest duration; modern numerical realization remains branch-dependent	True	False
79	OLD62	f83r.41	1	solkey	C11	GROUP_INCLUDING	the already introduced rota group including the specified following role	True	False
80	OLD62	f83r.41	2	lchedy	C11	FOLLOWER	a following singer role; repetition alone introduces no fresh person	True	False
81	OLD62	f83r.41	3	qolkain	C11	THREE_OR_AT_LEAST_TWO	the source lower-count qualification: three, or at least two; retained as one explicitly large whole-word guess	True	False
82	OLD62	f83r.41	4	dal	C11	EXCLUDING_PES	exclude the accompaniment pair from the preceding rota-singer count	True	False
83	OLD62	f83r.42	1	sol	C12	WHEN	when the stated cue is reached	True	False
84	OLD62	f83r.42	2	ol	C12	THAT	the unique named cue X from the entry-rule context	True	False
85	OLD62	f83r.42	3	chcthdy	C12	REACH	attain the named event in the cue owner's local part	True	False
86	OLD62	f83r.42	4	l	C12	PREDECESSOR	the cue-owning predecessor selected by the preceding entry rules	True	False
87	OLD62	f83r.42	5	chedy	C12	ENTER	enter the performance	True	False
88	OLD62	f83r.42	6	lchdy	C12	NEXT	the next not-yet-entered rota singer, if one exists	True	False
89	OLD62	f83r.43	1	daiin	C13	NOT	prohibit the following entry relation	True	False
90	OLD62	f83r.43	2	sheol	C13	BEFORE	strict temporal precedence	True	False
91	OLD62	f83r.43	3	chedy	C13	ENTER	enter the performance	True	False
92	OLD62	f83r.43	4	qotal	C13	CUE_ATTAINMENT	the assigned predecessor's first attainment of X	True	False
93	OLD62	f83r.43	5	sar	C13	ANY_ROTA_SINGER	universal range over the rota group, not the pes performers	True	False
94	OLD62	f83r.44	1	skar	C14	EXCEPT	remove the named role from the immediately preceding prohibition	True	False
95	OLD62	f83r.44	2	shedy	C14	LEADER	the leading singer role	True	False
