n	branch	model	observed	errors	full_bound_original_intervals	new_semantic_observations	independent_meaning_capacity
2	C0_local_current_conditional	BASELINE	COHERENT	[]	284	0	0
2	C1_rockstro_ternary_conditional	BASELINE	COHERENT	[]	284	0	0
2	C2_hurry_pes_prose_countercase	BASELINE	COHERENT	[]	6245	0	0
2	C3_ordinal_missing_stem_sensitivity	BASELINE	COHERENT	[]	284	0	0
2	C0_local_current_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	284	0	0
2	C1_rockstro_ternary_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	284	0	0
2	C2_hurry_pes_prose_countercase	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	6245	0	0
2	C3_ordinal_missing_stem_sensitivity	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	284	0	0
2	C0_local_current_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	284	0	0
2	C1_rockstro_ternary_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	284	0	0
2	C2_hurry_pes_prose_countercase	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	6245	0	0
2	C3_ordinal_missing_stem_sensitivity	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	284	0	0
2	C0_local_current_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	284	0	0
2	C1_rockstro_ternary_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	284	0	0
2	C2_hurry_pes_prose_countercase	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	6245	0	0
2	C3_ordinal_missing_stem_sensitivity	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	284	0	0
2	C0_local_current_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	284	0	0
2	C1_rockstro_ternary_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	284	0	0
2	C2_hurry_pes_prose_countercase	CO_ONSET_EVERY_MAIN_CYCLE	CONTRADICTED	"[""STRONGER_EVERY_MAIN_RESTART_CO_ONSET""]"	6245	0	0
2	C3_ordinal_missing_stem_sensitivity	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	284	0	0
3	C0_local_current_conditional	BASELINE	COHERENT	[]	387	0	0
3	C1_rockstro_ternary_conditional	BASELINE	COHERENT	[]	387	0	0
3	C2_hurry_pes_prose_countercase	BASELINE	COHERENT	[]	8087	0	0
3	C3_ordinal_missing_stem_sensitivity	BASELINE	COHERENT	[]	387	0	0
3	C0_local_current_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	387	0	0
3	C1_rockstro_ternary_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	387	0	0
3	C2_hurry_pes_prose_countercase	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	8087	0	0
3	C3_ordinal_missing_stem_sensitivity	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	387	0	0
3	C0_local_current_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	387	0	0
3	C1_rockstro_ternary_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	387	0	0
3	C2_hurry_pes_prose_countercase	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	8087	0	0
