model	paragraph	locus	mention	form	kind	axis	value	scope	patient	patient_form	debts	row_status
Q0	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol		recorded
Q1	f6v|f6v.6-f6v.21	f6v.6	f6v.6:2	shocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.6:2	shocthol		recorded
Q0	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q1	f6v|f6v.6-f6v.21	f6v.12	f6v.12:2	shy	STANDALONE	moisture	wet	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q0	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	STANDALONE	moisture	dry	PHYSICAL	f6v.14:3	cthol		recorded
Q1	f6v|f6v.6-f6v.21	f6v.14	f6v.14:2	chol	STANDALONE	moisture	dry	PHYSICAL	f6v.14:3	cthol		recorded
Q0	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q1	f6v|f6v.6-f6v.21	f6v.15	f6v.15:4	chy	STANDALONE	thermal	hot	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q0	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol		recorded
Q1	f6v|f6v.6-f6v.21	f6v.18	f6v.18:1	ytchocthol	PROCESSED_NOMINAL	moisture	wet	PHYSICAL	f6v.18:1	ytchocthol		recorded
Q0	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	PHYSICAL	f6v.19:1	ocholy		recorded
Q1	f6v|f6v.6-f6v.21	f6v.19	f6v.19:1	ocholy	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.19:1	ocholy		recorded
Q0	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q1	f6v|f6v.6-f6v.21	f6v.19	f6v.19:3	chy	STANDALONE	thermal	hot	PHYSICAL			MISSING_MATERIAL_IN_FIXED_LOCAL_SCOPE	recorded
Q0	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	PHYSICAL	f6v.20:2	choldar		recorded
Q1	f6v|f6v.6-f6v.21	f6v.20	f6v.20:2	choldar	BARE_NOMINAL	moisture	dry	CONSTITUTION	f6v.20:2	choldar		recorded
Q0	f9v|f9v.5-f9v.12	f9v.6	f9v.6:4	chody	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f9v.6:4	chody		recorded
Q1	f9v|f9v.5-f9v.12	f9v.6	f9v.6:4	chody	PROCESSED_NOMINAL	moisture	dry	PHYSICAL	f9v.6:4	chody		recorded
Q0	f9v|f9v.5-f9v.12	f9v.7	f9v.7:2	chol	STANDALONE	moisture	dry	PHYSICAL	f9v.7:6	otal	UNREAD_BETWEEN:f9v.7:4	recorded
