edition	locus	index	A_form	B_form	complete	decision	raw_line	row_status
ZL3b	f93r.13	2	shodaiin	kchol	True	T_V_UNRESOLVED	shodaiin qotchy kchol r	recorded
ZL3b	f22v.8	1	cthy	qokol	True	T_V_UNRESOLVED	qotchy cthy qokol daiin dam	recorded
ZL3b	f24r.12	2	tol	tod	True	T_V_UNRESOLVED	qokchy qotchy tol tod ckhy	recorded
IT2a	f93r.13	2	shodaiin	kchol	True	T_V_UNRESOLVED	shodaiin qotchy kchol s	recorded
IT2a	f22v.14	1			False	BOTH_HAVE_UNBOUND_ARGUMENTS	qotchy olshly shol daiin	recorded
IT2a	f22v.8	1	cthy	qokol	True	T_V_UNRESOLVED	qotchy cthy qokol daiin dam	recorded
IT2a	f24r.12	2	tol	tod	True	T_V_UNRESOLVED	qokchy qotchy tol tod ckhy	recorded
RF1b	f93r.13	2	shodaiin	kchol	True	T_V_UNRESOLVED	shodaiin qotchy kchol s	recorded
RF1b	f22v.8	1	cthy	qokol	True	T_V_UNRESOLVED	qotchy cthy qokol daiin dam	recorded
RF1b	f24r.12	2	tol	tod	True	T_V_UNRESOLVED	qokchy qotchy tol tod ckho	recorded
