paragraph	locus	index	raw	old_A	Q1_T	Q1_V	role	status	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	Bereitung	Bereitung	Bereitung	HEADING	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	benetztes Krautpulver	benetztes Krautpulver	benetztes Krautpulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	UNREAD	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	OPEN	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	jeweils	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	zerkleinere	zerkleinere	zerkleinere	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	trockne	trockne	trockne	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	Dosis Q	Dosis Q	Dosis Q	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	Krautpulver	Krautpulver	Krautpulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	Portion	Portion	Portion	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	ferner	ferner	ferner	LINK	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	2	chor	Blüten	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	3	okchey	zerstoße fein	zerstoße fein	zerstoße fein	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.8	4	qokom	erwärme portionsweise	erwärme portionsweise	erwärme portionsweise	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	1	oeeo	miss ab	miss ab	miss ab	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	2	dal	Maß	Maß	Maß	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	3	chor	Blüten	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	4	cthom	Kräuterportion	Kräuterportion	Kräuterportion	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.9	5	s	jeweils	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	1	qokchod	trockne vollständig	trockne vollständig	trockne vollständig	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	2	ychear	vermische	vermische	vermische	MIX	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.10	3	kchdy	feines Pulver	feines Pulver	feines Pulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	1	lor	mit	mit	mit	RELATION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	2	char	Blütenanteil	Blütenanteil	Blütenanteil	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	3	otam	Ansatzmasse	Ansatzmasse	Ansatzmasse	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	4	ctho	Krautmehl	Krautmehl	Krautmehl	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	5	m	danach	danach	danach	LINK	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.11	6	dy	fertig	fertig	fertig	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	1	ytcho[s:r]	UNREAD	[ungelesen: ytcho[s:r]]	[ungelesen: ytcho[s:r]]	OPEN	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.12	2	shy	feucht	feucht	feucht	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	3	qokam	erwärme	erwärme	erwärme	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.12	4	cthy	Kraut	Kraut	Kraut	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	1	yodaiin	weitere Dosis Q	weitere Dosis Q	weitere Dosis Q	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	2	cthy	Kraut	Kraut	Kraut	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	3	s	jeweils	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	4	chor	Blüten	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	5	oees	gemischt	gemischt	gemischt	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.13	6	or	Anteil	Anteil	Anteil	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	1	qokor	erhitze	erhitze	erhitze	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	2	chol	trocken	trocken	trocken	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	3	cthol	Krautpulver	Krautpulver	Krautpulver	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.14	4	tchalody	fein gesiebt	fein gesiebt	fein gesiebt	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	1	chockhy	vermische	vermische	vermische	MIX	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	2	s	jeweils	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	3	or	Anteil	Anteil	Anteil	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	4	chy	heiß	heiß	heiß	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	5	s	jeweils	jeweils	jeweils	DISTRIBUTIVE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	6	ain	Maßzahl P	Maßzahl P	Maßzahl P	NUMBER	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.15	7	ar	Teil	Teil	Teil	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	1	ochy	kühle	kühle	kühle	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	2	cthar	kleine Kräuterportion	kleine Kräuterportion	kleine Kräuterportion	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.16	3	cth[a:o]r	UNREAD	[ungelesen: cth[a:o]r]	[ungelesen: cth[a:o]r]	OPEN	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.16	4	cthy	Kraut	Kraut	Kraut	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	1	y	und	und	und	LINK	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	2	chaies	weich	weich	weich	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	3	ckhal	presse aus	presse aus	presse aus	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	4	cthodam	Kräuterrückstand	Kräuterrückstand	Kräuterrückstand	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.17	5	dy	fertig	fertig	fertig	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	1	ytchocthol	benetztes Krautmehl	benetztes Krautmehl	benetztes Krautmehl	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	2	ches	stampfe	stampfe	stampfe	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.18	3	{ith}or	UNREAD	[ungelesen: {ith}or]	[ungelesen: {ith}or]	OPEN	UNREAD	recorded
f6v|f6v.6-f6v.21	f6v.19	1	ocholy	trockenes Feinmehl	trockenes Feinmehl [angegebene Qualität als Stoffkonstitution]	trockenes Feinmehl [angegebene Qualität als Stoffkonstitution]	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	2	kchos	zerreibe	zerreibe	zerreibe	ACTION	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	3	chy	heiß	heiß	heiß	STATE	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.19	4	dor	abgemessene Menge	abgemessene Menge	abgemessene Menge	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	1	dchor	Blütenportion	Blütenportion	Blütenportion	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	2	choldar	Trockenanteil	Trockenanteil [angegebene Qualität als Stoffkonstitution]	Trockenanteil [angegebene Qualität als Stoffkonstitution]	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	3	okol	Grundansatz	Grundansatz	Grundansatz	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.20	4	daiin	Dosis Q	Dosis Q	Dosis Q	AMOUNT	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.21	1	ycheor	zum Schluss	zum Schluss	zum Schluss	LINK	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.21	2	chor	Blüten	Blüten	Blüten	MATERIAL	ASSUMED	recorded
f6v|f6v.6-f6v.21	f6v.21	3	octham	bewahre auf	bewahre auf	bewahre auf	ACTION	ASSUMED	recorded
f9v|f9v.5-f9v.12	f9v.5	1	pchor	nimm	nimm	nimm	ACTION	ASSUMED	recorded
f9v|f9v.5-f9v.12	f9v.5	2	ypcheey	UNREAD	[ungelesen: ypcheey]	[ungelesen: ypcheey]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.5	3	qotor	kühle ab	kühle ab	kühle ab	ACTION	ASSUMED	recorded
f9v|f9v.5-f9v.12	f9v.5	4	ypchy	UNREAD	[ungelesen: ypchy]	[ungelesen: ypchy]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.5	5	olcfholy	UNREAD	[ungelesen: olcfholy]	[ungelesen: olcfholy]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.5	6	t[o:e]	UNREAD	[ungelesen: t[o:e]]	[ungelesen: t[o:e]]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.5	7	ar	Teil	Teil	Teil	AMOUNT	ASSUMED	recorded
f9v|f9v.5-f9v.12	f9v.5	8	chty	UNREAD	[ungelesen: chty]	[ungelesen: chty]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.5	9	daiiin	UNREAD	[ungelesen: daiiin]	[ungelesen: daiiin]	OPEN	UNREAD	recorded
f9v|f9v.5-f9v.12	f9v.6	1	odol	abgemessene Zubereitung	abgemessene Zubereitung	abgemessene Zubereitung	MATERIAL	ASSUMED	recorded
f9v|f9v.5-f9v.12	f9v.6	2	choy	grob	grob	grob	STATE	ASSUMED	recorded
