edition	locus	raw_line	status	row_status
ZL3b	f17v.9	ycheol shol kchol choltaiin ol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
ZL3b	f93r.2	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
ZL3b	f9v.10	oty kchol chol chy kyty	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
ZL3b	f9v.11	ychor chshoty oky kaiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
ZL3b	f22v.9	okshor shody chol tchol otaiin daiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
IT2a	f17v.9	ycheol shol kchol choltaiin ol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
IT2a	f93r.2	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
IT2a	f9v.10	oty kchol chol chy kyty	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
IT2a	f9v.11	ychor chshoty oky kaiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
IT2a	f22v.9	okshor shody chol teeol otaiin daiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
RF1b	f17v.9	ycheol shol kchol choltaiin ol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
RF1b	f93r.2	ycham s chol chotom cthodar sheo s oteodal s ofchoshy cthoshol	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
RF1b	f9v.10	oty kchol chol chy kyty	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
RF1b	f9v.11	ychor chshoty okykaiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
RF1b	f22v.9	okshor shody chol tchol otaiin daiin	ALTERNATE_READING_NOT_INDEPENDENT_CONFIRMATION	recorded
