operation	partner	form	mention	status	later_actions	action_debts	identity	isolation_evidence	row_status
f22v.8:1	A	cthy	f22v.8:2	ORIGINAL_MENTION			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f22v.8:1	A	cthy	f22v.12:3	LATER_EXACT_FORM			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f22v.8:1	A	cthy	f22v.15:2	LATER_EXACT_FORM	f22v.15:4=mische ein	UNREAD_BETWEEN:f22v.15:3	SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f22v.8:1	B	qokol	f22v.8:3	ORIGINAL_MENTION			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f24r.12:2	A	tol	f24r.12:3	ORIGINAL_MENTION			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f24r.12:2	B	tod	f24r.12:4	ORIGINAL_MENTION	f24r.12:5=stampfe;f24r.13:4=prüfe	IMPLICIT_SUBJECT_CONTINUATION	SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f93r.13:2	A	shodaiin	f93r.13:1	ORIGINAL_MENTION			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f93r.13:2	A	shodaiin	f93r.18:2	LATER_EXACT_FORM			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f93r.13:2	A	shodaiin	f93r.30:1	LATER_EXACT_FORM	f93r.30:2=verarbeite warm		SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
f93r.13:2	B	kchol	f93r.13:3	ORIGINAL_MENTION			SAME_OR_NEW_UNRESOLVED	NONE_FROM_FORM_IDENTITY_ALONE	recorded
