case_id	apprentice_position	source_master_position	apprentice_surface	apprentice_card_no	master_surface_at_position	master_card_at_position	defect_class	master_action	final_surface	final_card_no
C1	1	1	okaiin	PROC038	qokaiin	PROC038	HARMLESS_ALLOGRAPH	KEEP_FOREIGN_HAND	okaiin	PROC038
C1	2	2	os	PROC005	os	PROC005	UNCHANGED	KEEP	os	PROC005
C1	3	3	lsho	PROC084	lsho	PROC084	UNCHANGED	KEEP	lsho	PROC084
C1	4	4	qokain	PROC080	qokal	PROC048	WRONG_EXACT_CARD	REPLACE_CARD	qokal	PROC048
C1	5	6	shedy	PROC078	shey	PROC031	ORDER_SWAP_MEMBER	SWAP_PAIR	shey	PROC031
C1	6	5	shey	PROC031	shedy	PROC078	ORDER_SWAP_MEMBER	SWAP_PAIR	shedy	PROC078
C2	1	1	cthy	PROC014	cthy	PROC014	UNCHANGED	KEEP	cthy	PROC014
C2	2	2	cthaiin	PROC017	cthaiin	PROC017	UNCHANGED	KEEP	cthaiin	PROC017
C2	3	4	ches	PROC124	qoctholy	PROC018	ORDER_SWAP_MEMBER	SWAP_PAIR	qoctholy	PROC018
C2	4	3	qoctholy	PROC018	ches	PROC124	ORDER_SWAP_MEMBER	SWAP_PAIR	ches	PROC124
C2	5	5	okal	PROC048	qokal	PROC048	HARMLESS_ALLOGRAPH	KEEP_FOREIGN_HAND	okal	PROC048
C2	6	6	qokeedy	PROC100	qokeeedy	PROC119	WRONG_EXACT_CARD	REPLACE_CARD	qokeeedy	PROC119
C3	1	2	cphy	PROC030	cfhy	PROC028	ORDER_SWAP_MEMBER	SWAP_PAIR	cfhy	PROC028
C3	2	1	cfhy	PROC028	cphy	PROC030	ORDER_SWAP_MEMBER	SWAP_PAIR	cphy	PROC030
C3	3	3	okaiin	PROC038	qokaiin	PROC038	HARMLESS_ALLOGRAPH	KEEP_FOREIGN_HAND	okaiin	PROC038
C3	4	4	qokal	PROC048	qokal	PROC048	UNCHANGED	KEEP	qokal	PROC048
C3	5	5	tshey	PROC122	shey	PROC031	WRONG_EXACT_CARD	REPLACE_CARD	shey	PROC031
C3	6	6	shedy	PROC078	shedy	PROC078	UNCHANGED	KEEP	shedy	PROC078
C4	1	1	qokaiin	PROC038	qokaiin	PROC038	UNCHANGED	KEEP	qokaiin	PROC038
C4	2	2	qokaiin	PROC038	qokain	PROC080	WRONG_EXACT_CARD	REPLACE_CARD	qokain	PROC080
C4	3	3	ykan	PROC040	ykan	PROC040	UNCHANGED	KEEP	ykan	PROC040
C4	4	4	okal	PROC048	qokal	PROC048	HARMLESS_ALLOGRAPH	KEEP_FOREIGN_HAND	okal	PROC048
C4	5	6	talam	PROC043	qokylddy	PROC155	ORDER_SWAP_MEMBER	SWAP_PAIR	qokylddy	PROC155
C4	6	5	qokylddy	PROC155	talam	PROC043	ORDER_SWAP_MEMBER	SWAP_PAIR	talam	PROC043
C5	1	1	cho	PROC052	cho	PROC052	UNCHANGED	KEEP	cho	PROC052
C5	2	2	okaiin	PROC038	qokaiin	PROC038	HARMLESS_ALLOGRAPH	KEEP_FOREIGN_HAND	okaiin	PROC038
C5	3	4	chodaly	PROC053	kchoar	PROC063	ORDER_SWAP_MEMBER	SWAP_PAIR	kchoar	PROC063
C5	4	3	kchoar	PROC063	chodaly	PROC053	ORDER_SWAP_MEMBER	SWAP_PAIR	chodaly	PROC053
C5	5	5	daiin	PROC009	daiiin	PROC169	WRONG_EXACT_CARD	REPLACE_CARD	daiiin	PROC169
C5	6	6	shedy	PROC078	shedy	PROC078	UNCHANGED	KEEP	shedy	PROC078
