case_id	stage	surface_strip	card_strip	operation_from_previous	semantic_sequence_correct	foreign_hand_visible
C1	MASTER	qokaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	NONE	YES	NO
C1	APPRENTICE	okaiin os lsho qokain shedy shey	PROC038|PROC005|PROC084|PROC080|PROC078|PROC031	ONE_ALLOGRAPH_ONE_WRONG_CARD_ONE_ADJACENT_SWAP	NO	YES
C1	ORDER_REPAIRED	okaiin os lsho qokain shey shedy	PROC038|PROC005|PROC084|PROC080|PROC031|PROC078	SWAP_POSITIONS_5_6	NO	YES
C1	MINIMAL_CORRECTION	okaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	RESTORE_POSITION_4_EXPECTED_CARD	YES	YES
C2	MASTER	cthy cthaiin qoctholy ches qokal qokeeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC119	NONE	YES	NO
C2	APPRENTICE	cthy cthaiin ches qoctholy okal qokeedy	PROC014|PROC017|PROC124|PROC018|PROC048|PROC100	ONE_ALLOGRAPH_ONE_WRONG_CARD_ONE_ADJACENT_SWAP	NO	YES
C2	ORDER_REPAIRED	cthy cthaiin qoctholy ches okal qokeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC100	SWAP_POSITIONS_3_4	NO	YES
C2	MINIMAL_CORRECTION	cthy cthaiin qoctholy ches okal qokeeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC119	RESTORE_POSITION_6_EXPECTED_CARD	YES	YES
C3	MASTER	cfhy cphy qokaiin qokal shey shedy	PROC028|PROC030|PROC038|PROC048|PROC031|PROC078	NONE	YES	NO
C3	APPRENTICE	cphy cfhy okaiin qokal tshey shedy	PROC030|PROC028|PROC038|PROC048|PROC122|PROC078	ONE_ALLOGRAPH_ONE_WRONG_CARD_ONE_ADJACENT_SWAP	NO	YES
C3	ORDER_REPAIRED	cfhy cphy okaiin qokal tshey shedy	PROC028|PROC030|PROC038|PROC048|PROC122|PROC078	SWAP_POSITIONS_1_2	NO	YES
C3	MINIMAL_CORRECTION	cfhy cphy okaiin qokal shey shedy	PROC028|PROC030|PROC038|PROC048|PROC031|PROC078	RESTORE_POSITION_5_EXPECTED_CARD	YES	YES
C4	MASTER	qokaiin qokain ykan qokal qokylddy talam	PROC038|PROC080|PROC040|PROC048|PROC155|PROC043	NONE	YES	NO
C4	APPRENTICE	qokaiin qokaiin ykan okal talam qokylddy	PROC038|PROC038|PROC040|PROC048|PROC043|PROC155	ONE_ALLOGRAPH_ONE_WRONG_CARD_ONE_ADJACENT_SWAP	NO	YES
C4	ORDER_REPAIRED	qokaiin qokaiin ykan okal qokylddy talam	PROC038|PROC038|PROC040|PROC048|PROC155|PROC043	SWAP_POSITIONS_5_6	NO	YES
C4	MINIMAL_CORRECTION	qokaiin qokain ykan okal qokylddy talam	PROC038|PROC080|PROC040|PROC048|PROC155|PROC043	RESTORE_POSITION_2_EXPECTED_CARD	YES	YES
C5	MASTER	cho qokaiin kchoar chodaly daiiin shedy	PROC052|PROC038|PROC063|PROC053|PROC169|PROC078	NONE	YES	NO
C5	APPRENTICE	cho okaiin chodaly kchoar daiin shedy	PROC052|PROC038|PROC053|PROC063|PROC009|PROC078	ONE_ALLOGRAPH_ONE_WRONG_CARD_ONE_ADJACENT_SWAP	NO	YES
C5	ORDER_REPAIRED	cho okaiin kchoar chodaly daiin shedy	PROC052|PROC038|PROC063|PROC053|PROC009|PROC078	SWAP_POSITIONS_3_4	NO	YES
C5	MINIMAL_CORRECTION	cho okaiin kchoar chodaly daiiin shedy	PROC052|PROC038|PROC063|PROC053|PROC169|PROC078	RESTORE_POSITION_5_EXPECTED_CARD	YES	YES
