cell_id	base	base_value_de	ending	ending_value_de	normalized_atom_sequence	composed_short_reading_de	status	observed_group_count	observed_surfaces	observed_pages	observed_registers	base_observed_endings	base_observed_groups	ending_observed_bases	ending_observed_groups	analogy_score	selection_cost
B01E01	OK	ANSETZEN	Y	DIESER_POSTEN	OK+Y	ansetzen am aktuellen Posten	OBSERVED	13	chokchy|choky|okchy|oky|qokchy|qoky	f10r|f56r|f81v|f82r|f83r	PROSE	11	72	8	42	19	ONE_FIXED_12_BY_12_LATTICE
B01E02	OK	ANSETZEN	CLOSE	SCHLUSS	OK+CLOSE	ansetzen und den Schritt schließen	EMPTY_WELL_FORMED_PREDICTION	0	NONE	NONE	NONE	11	72	3	10	14	ONE_FIXED_12_BY_12_LATTICE
B01E03	OK	ANSETZEN	AIIN	SOLLWERT	OK+AIIN	ansetzen mit Sollwert	OBSERVED	10	okaiin|qokaiin|qokoaiin	f55v|f67r2|f81v|f82r|f83r	ASTRO|PROSE	11	72	7	18	18	ONE_FIXED_12_BY_12_LATTICE
B01E04	OK	ANSETZEN	AIN	PORTION	OK+AIN	ansetzen an einer Portion	OBSERVED	8	okain|qokain	f67r2|f81v|f82r|f83r	ASTRO|PROSE	11	72	3	11	14	ONE_FIXED_12_BY_12_LATTICE
B01E05	OK	ANSETZEN	IIN	STUFE	OK+IIN	ansetzen bis zur Stufe	OBSERVED	1	okaiiin	f68r1	ASTRO	11	72	1	1	12	ONE_FIXED_12_BY_12_LATTICE
B01E06	OK	ANSETZEN	AL	ZIEL	OK+AL	ansetzen am Ziel	OBSERVED	7	okal|qokal	f55v|f67r2|f81v|f82r|f83r	ASTRO|PROSE	11	72	6	16	17	ONE_FIXED_12_BY_12_LATTICE
B01E07	OK	ANSETZEN	AR	QUELLE	OK+AR	ansetzen aus der Quelle	OBSERVED	5	okar|qokar	f67r2|f69v|f82r	ASTRO|PROSE	11	72	6	13	17	ONE_FIXED_12_BY_12_LATTICE
B01E08	OK	ANSETZEN	AIR	LAUF_BAHN	OK+AIR	ansetzen entlang des Laufs	OBSERVED	1	okair	f83r	PROSE	11	72	2	2	13	ONE_FIXED_12_BY_12_LATTICE
B01E09	OK	ANSETZEN	E+Y	KURZ_DIESER_POSTEN	OK+E+Y	ansetzen kurz am aktuellen Posten	OBSERVED	2	okey|qokey	f81v|f82r	PROSE	11	72	6	12	17	ONE_FIXED_12_BY_12_LATTICE
B01E10	OK	ANSETZEN	EE+Y	LAENGER_DIESER_POSTEN	OK+EE+Y	ansetzen länger am aktuellen Posten	OBSERVED	7	okeey|qokeey	f81v|f82r|f83r	PROSE	11	72	5	14	16	ONE_FIXED_12_BY_12_LATTICE
