visible_surface	master_card_id	master_head_form	surface_role	corrected_semantic_atoms	surface_parse_de	observed_literal_cues	contextual_or_memorized_atoms	parse_class	short_default_de	observed_events	collision_guard
aiin	MC039	aiin	MASTER_HEAD_FORM	AIIN	SOLLMAß	AIIN=aiin@0-4	NONE	LITERAL_PRODUCTIVE_PARSE	Sollmaß	3	NONE
al	MC154	al	MASTER_HEAD_FORM	AL	ZIELSTELLE	AL=al@0-2	NONE	LITERAL_PRODUCTIVE_PARSE	dorthin	1	NONE
cfhy	MC129	cfhy	FIXED_REGISTERED_FORM	CFH+Y	AUSWRINGEN + DIESER POSTEN	Y=y@3-4	CFH	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten auswringen	1	NONE
chaiin	MC039	aiin	OTHER_REGISTERED_ALLOGRAPH	AIIN	SOLLMAß	AIIN=aiin@2-6	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Sollmaß	1	NONE
chair	MC014	chair	FIXED_REGISTERED_FORM	AIR	LAUFFLÜSSIGKEIT	AIR=air@2-5	NONE	LITERAL_PRODUCTIVE_PARSE	Wasserzulauf	1	NONE
chal	MC154	al	OTHER_REGISTERED_ALLOGRAPH	AL	ZIELSTELLE	AL=al@2-4	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin	1	NONE
char	MC055	char	MASTER_HEAD_FORM	AR	QUELLE	AR=ar@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	aus dem Ansatz	2	NONE
chary	MC009	chary	FIXED_REGISTERED_FORM	AR+Y	QUELLE + DIESER POSTEN	AR=ar@2-4 | Y=y@4-5	NONE	LITERAL_PRODUCTIVE_PARSE	aus diesem Posten	1	NONE
chckhal	MC022	chckhal	FIXED_REGISTERED_FORM	CKH+AL	DURCHLASS + ZIELSTELLE	CKH=ckh@2-5 | AL=al@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	zur Zielstelle durchleiten	1	NONE
chckhy	MC035	chckhy	MASTER_HEAD_FORM	CKH+Y	DURCHLASS + DIESER POSTEN	CKH=ckh@2-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	durchleiten	3	NONE
chdal	MC001	chdal	FIXED_REGISTERED_FORM	CHD+AL	UMSETZEN + ZIELSTELLE	CHD=chd@0-3 | AL=al@3-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dort umsetzen	1	NONE
chdy	MC074	chdy	MASTER_HEAD_FORM	CHD+Y	UMSETZEN + DIESER POSTEN	CHD=chd@0-3 | Y=y@3-4	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laufenden Posten umsetzen	1	NONE
cheal	MC154	al	OTHER_REGISTERED_ALLOGRAPH	AL	ZIELSTELLE	AL=al@3-5	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin	1	NONE
chealror	MC146	chealror	FIXED_REGISTERED_FORM	AL+OR	ZIELSTELLE + ANSATZ	AL=al@3-5 | OR=or@6-8	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz von dort zur Zielstelle	1	NONE
checthy	MC161	checthy	MASTER_HEAD_FORM	CTH+Y	BEREIT + DIESER POSTEN	CTH=cth@3-6 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereit	2	NONE
