family_root	root_value_de	master_card_types	prose_events	observed_complements	surface_families	forward_strength	creative_rule_de
AIR	LAUFFLÜSSIGKEIT	3	3	BARE:3	chair | kair | schedair	WORKING	Lies AIR als LAUFFLÜSSIGKEIT und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
AL	ZIELSTELLE	5	14	AM:1 | BARE:3 | CLOSE:1	ral | daldy | ldalor | al|chal|cheal|dal|sal|tal | talam	STRONG	Lies AL als ZIELSTELLE und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CHD	UMSETZEN	11	24	AIN:1 | AL:2 | AR:1 | CLOSE:5 | Y:2	chdal | dchedy|schedy|tchedy | dalchdy | cheedar | sshkchdy | chedchy | pchedy | chdy|chedy | pchedal | dchdy | chedain	STRONG	Lies CHD als UMSETZEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CHEEY	KLARAUSZUG	2	5	BARE:2	cheey|shey | tshey	WORKING	Lies CHEEY als KLARAUSZUG und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CHEO	AUSZUG	2	2	AR:2	cheoar | kchoar	WORKING	Lies CHEO als AUSZUG und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CHK	WÄRMEN	4	7	E+Y:1 | EE+CLOSE:1 | EE+Y:2	cheeky | chkeedy | cheky | chkeey	WORKING	Lies CHK als WÄRMEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CKH	DURCHLASS	5	8	AL:1 | E+AL:1 | E+Y:1 | HO+CLOSE:1 | Y:1	chckhal | chckhy|shckhy | sheckhal | cheeckhody | sheckhy	STRONG	Lies CKH als DURCHLASS und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
CTH	BEREIT	8	15	AIIN:1 | CHD+Y:1 | E+Y:2 | OL:1 | OL+Y:1 | OR:1 | Y:1	shecthedchy | qcthey|shcthey | octheol | qoctholy | shecthy | cthoor | checthy|cthy|shcthy | cthaiin	STRONG	Lies CTH als BEREIT und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
HO	ZUTAT	9	12	AIIN:1 | AL:1 | AL+Y:1 | BARE:1 | CLOSE:1 | L:1 | OR:1 | Y:1 | Y+TY:1	chodaly | cho|sho | tchody | schoal | shoyty | chodaiin | tshol | chochor | choy	STRONG	Lies HO als ZUTAT und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
IIN	STUFE	3	4	BARE:3	oiiin|soiiin | kaiiin | daiiin	WORKING	Lies IIN als STUFE und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
L	ABFÜHREN	16	24	AR:1 | BARE:2 | CHD:1 | CHD+AL:1 | CHD+AR:1 | CHD+CLOSE:2 | CHEEY:1 | CKH+Y:1 | CKHE+CLOSE:1 | CLOSE:1 | E+CLOSE:1 | OL:1 | Y:2	ldy | lchy | lchedar | lar | lo | lchedal | ls | lcheey | lol | ly | lkedy | lched | lcheckhedy | lchedy | lochedy | lcheckhy	STRONG	Lies L als ABFÜHREN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
OK	ANSETZEN	24	80	AIIN:1 | AIN:1 | AIR:1 | AL:1 | AL+Y:1 | AR:1 | CHD+CLOSE:2 | CHEO:1 | CKH+E+Y:1 | E+CLOSE:1 | E+Y:1 | EE+AL:1 | EE+CLOSE:1 | EE+OL:1 | EE+Y:1 | EEE+CLOSE:1 | OK+Y:1 | OL:2 | SHED+CLOSE:1 | Y:2 | Y+LDDY:1	okeey|qokeey | okchedy|qokchedy | chokcheo | okey|qokey | qokokchy | okain|qokain | qokol | choky|oky|qoky | okal|qokal | okchol | qokar | qokaly | okair | qokeedy | qokedy | qokchdy | qokeedal | chokchy|okchy|qokchy | okaiin|qokaiin | qokeeedy | okeeol | qokshedy | qokylddy | qockhey	STRONG	Lies OK als ANSETZEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
OL	FORTSETZEN	14	37	AIN:1 | BARE:7 | CHD+CLOSE:1 | CLOSE:1 | CTH+Y:1 | OR:1 | SHED+CLOSE:1 | Y:1	rol | oldy | oltchy | olchedy|qolchedy | dsheol | kchol | olkain|qolkain | keol | teol | qolky | solshedy | cheol|chol|ol|qol|sol|tol | cholor|olor | qolchey	STRONG	Lies OL als FORTSETZEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
OR	ANSATZ	3	9	AIN:1 | BARE:2	orain | chor|or|shor|sor | chealror	WORKING	Lies OR als ANSATZ und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
OT	DANACH	16	26	AIIN:1 | AL:1 | AR:1 | CHD+CLOSE:2 | DAN:1 | E+AIIN:1 | E+CLOSE:1 | EE+CLOSE:1 | EE+Y:1 | OL:2 | OR:1 | TY+OL:1 | Y:2	otchor|qotchor | qotedaiin | otol | otchedy|qotchedy | otaiin|sotaiin | oteey | otchdy | sotodan | otytchol | otal|qotal | qotchy | otar | otedy | qotchol | otchey | qoteedy	STRONG	Lies OT als DANACH und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
PARTITION	TEILEN	2	3	BARE:1 | TY:1	chety|chty | ches	WORKING	Lies PARTITION als TEILEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
SH	HALTEN	3	3	AIIN:1 | BARE:1 | E+AL:1	rsheal | shfydaiin | sh	WORKING	Lies SH als HALTEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
SHED	ABSETZEN	5	17	AIIN:1 | AL:1 | E+CLOSE:2 | EE+CLOSE:1	sheedy | shedal | cheedy|shedy|tedy | dshedy | chldaiin	STRONG	Lies SHED als ABSETZEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
SOLK	SAMMELN	4	6	AIIN:1 | E+Y:1 | EE+CLOSE:1 | EE+Y:1	solkeey | solkaiin | olkeedy|solkeedy | solkey	WORKING	Lies SOLK als SAMMELN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
WASH	WASCHEN	3	4	BARE:1 | CLOSE:2	lshedy | rshedy | lsho	WORKING	Lies WASH als WASCHEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
Y	DIESER POSTEN	18	35	AIIN:1 | AIN:2 | BARE:11 | CHEO+OR:1 | CLOSE:1 | E+TY:1 | KCH+OR:1	chary | oykchor | raly | ykain | qekey | dchey | ycheor | olsaly | dairydy | sheey | ytey | kchy | kchey | chey|chy|dy|shy|sy|y | cfhy | ykan | cphy | ykaiin	STRONG	Lies Y als DIESER POSTEN und fuege den sichtbaren Argument-/Grad-/Endpunktwert an.
