master_card_id	master_head_form	registered_surface_family	corrected_semantic_atoms	literal_predictive_atoms	learned_or_contextual_atoms	parse_class	short_default_de	imperative_de	prose_events	surface_forms	surface_forms_with_observed_cue	forward_reading_rule	correction_from_previous_pass
MC001	chdal	chdal	CHD+AL	CHD+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dort umsetzen	Übertrage zum Ziel	1	1	1	UMSETZEN -> ZIELSTELLE	NO
MC002	okeey	okeey|qokeey	OK+EE+Y	OK+EE+Y	NONE	LITERAL_PRODUCTIVE_PARSE	länger ansetzen	Setze die lange Stufe	7	2	2	ANSETZEN -> LÄNGER -> DIESER POSTEN	NO
MC003	sheedy	sheedy	SHED+EE+CLOSE	SHED+EE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger absetzen; Schluss	Lass länger absetzen und schließe	1	1	1	ABSETZEN -> LÄNGER -> SCHLUSS	NO
MC004	ldy	ldy	L+CLOSE	L+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abziehen; Ende	Führe ab und schließe	2	1	1	ABFÜHREN -> SCHLUSS	NO
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	OK+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	angesetzten Inhalt überführen; Schluss	Setze an, übertrage und schließe	2	2	2	ANSETZEN -> UMSETZEN -> SCHLUSS	NO
MC006	chokcheo	chokcheo	OK+CHEO	OK+CHEO	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug zugeben	Setze den Auszug	1	1	1	ANSETZEN -> AUSZUG	NO
MC007	okey	okey|qokey	OK+E+Y	OK+E+Y	NONE	LITERAL_PRODUCTIVE_PARSE	kurz ansetzen	Setze die kurze Stufe	2	2	2	ANSETZEN -> KURZ -> DIESER POSTEN	NO
MC008	lchy	lchy	L+Y	L+Y	NONE	LITERAL_PRODUCTIVE_PARSE	abziehen	Ziehe den aktuellen Posten ab	1	1	1	ABFÜHREN -> DIESER POSTEN	NO
MC009	chary	chary	AR+Y	AR+Y	NONE	LITERAL_PRODUCTIVE_PARSE	aus diesem Posten	Nimm den Posten vom Ausgang	1	1	1	QUELLE -> DIESER POSTEN	NO
MC010	chodaly	chodaly	HO+AL+Y	HO+AL+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat zur Stelle bringen	Führe den Eingangsposten zum Ziel	1	1	1	ZUTAT -> ZIELSTELLE -> DIESER POSTEN	NO
MC011	lchedar	lchedar	L+CHD+AR	L+CHD+AR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	von dort abführen	Führe vom Ausgang ab	1	1	1	ABFÜHREN -> UMSETZEN -> QUELLE	NO
MC012	dl	dl	LOCAL_WHOLE	NONE	LOCAL_WHOLE	MEMORIZED_WHOLE	Zusatz	Gib den Zusatz zu	2	1	0	ZUSATZ	NO
MC013	otchor	otchor|qotchor	OT+OR	OT+OR	NONE	LITERAL_PRODUCTIVE_PARSE	Folgeansatz	Bereite den Folgeansatz	2	2	2	DANACH -> ANSATZ	NO
MC014	chair	chair	AIR	AIR	NONE	LITERAL_PRODUCTIVE_PARSE	Wasserzulauf	Nutze den Wasserlauf	1	1	1	LAUFFLÜSSIGKEIT	NO
