atom	visible_cue_family	short_value_de	rule_category	longest_match_priority	boundary_rule	master_card_types	prose_events	productive_status
AIIN	aiin	SOLLMAß	PORTABLE_ARGUMENT	NORMAL	`aiin` bleibt auch hinter ch/d/s/t sichtbar	10	39	PRODUCTIVE
AIN	ain	PORTION	PORTABLE_ARGUMENT	NORMAL	nicht mit `aiin` oder `iiin` zusammenziehen	7	16	PRODUCTIVE
IIN	iiin	STUFE	PORTABLE_ARGUMENT	NORMAL	drei i markieren die Stufenreihe	3	4	PRODUCTIVE
AL	al	ZIELSTELLE	PORTABLE_ARGUMENT	NORMAL	Zieladresse; laengeres AIR zuerst lesen	23	40	PRODUCTIVE
AR	ar	QUELLE	PORTABLE_ARGUMENT	NORMAL	Quelladresse; laengeres AIR zuerst lesen	10	14	PRODUCTIVE
AIR	air	LAUFFLÜSSIGKEIT	PORTABLE_ARGUMENT	YES	unteilbarer Richtungs-/Stoffkern	5	5	PRODUCTIVE
OK	ok	ANSETZEN	PORTABLE_OPERATOR	NORMAL	q/ch koennen die sichtbare Form rahmen	24	80	PRODUCTIVE
OL	ol	FORTSETZEN	PORTABLE_OPERATOR	NORMAL	ch/q/s/t/r koennen als Renderer davor stehen	23	46	PRODUCTIVE
OT	ot	DANACH	PORTABLE_OPERATOR	NORMAL	q/s koennen als Renderer davor stehen	16	26	PRODUCTIVE
OR	or	ANSATZ	PORTABLE_NOUN	NORMAL	ch/sh/s koennen als Renderer davor stehen	9	17	PRODUCTIVE
Y	y	DIESER POSTEN	PORTABLE_ARGUMENT	NORMAL	nur als lizenziertes Endargument, nicht jedes sichtbare y	51	111	PRODUCTIVE
E	e	KURZ	BOUND_GRADE	NORMAL	nur innerhalb einer belegten Gradfamilie	22	45	PRODUCTIVE
EE	ee	LÄNGER	BOUND_GRADE	YES	nur innerhalb einer belegten Gradfamilie	14	34	PRODUCTIVE
EEE	eee	VOLLSTÄNDIG	BOUND_GRADE	YES	nur innerhalb einer belegten Gradfamilie	2	2	PRODUCTIVE
CHD	chd~ched	UMSETZEN	LEXICAL_PROCESS_BODY	YES	laengster Treffer; blockiert die falsche DCH-Lesung	22	48	PRODUCTIVE
CTH	cth	BEREIT	LEXICAL_PROCESS_BODY	NORMAL	Prozesskoerper vor Argument/Grad	9	16	PRODUCTIVE
CKH	ckh	DURCHLASS	LEXICAL_PROCESS_BODY	NORMAL	nicht mit CHK=waermen vertauschen	7	10	PRODUCTIVE
CKHE	ckhe	SEIHEN	LEXICAL_PROCESS_BODY	YES	laengster Treffer vor CKH	2	4	PRODUCTIVE
CHK	chk~chek	WÄRMEN	LEXICAL_PROCESS_BODY	NORMAL	familiengebundene Allographie	4	7	PRODUCTIVE
SHED	shed~chee	ABSETZEN	LEXICAL_PROCESS_BODY	NORMAL	nur in der belegten SHED-Reihe	7	19	PRODUCTIVE
SH	sh	HALTEN	LEXICAL_PROCESS_BODY	NORMAL	nicht jedes s/h einzeln lesen	6	6	PRODUCTIVE
SOLK	solk~olk	SAMMELN	LEXICAL_PROCESS_BODY	NORMAL	OLK ist hier die gebundene Variante	4	6	PRODUCTIVE
L	l	ABFÜHREN	PORTABLE_OPERATOR	NORMAL	nur als linker Operator vor einem bekannten Koerper	17	25	PRODUCTIVE
P	p	ZUFÜHREN	PORTABLE_OPERATOR	NORMAL	nur als linker Operator vor CHED	2	2	PRODUCTIVE
HO	cho~sho	ZUTAT	LEXICAL_NOUN_BODY	NORMAL	ganzer Kartenkoerper; nicht O=Wasser	10	13	PRODUCTIVE
CHEO	cheo	AUSZUG	LEXICAL_NOUN_BODY	NORMAL	ganzer Kartenkoerper	4	4	PRODUCTIVE
KCH	kch	BEARBEITEN	LEXICAL_PROCESS_BODY	NORMAL	qekey bleibt Rendererallograph dieser Reihe	7	7	PRODUCTIVE
TY	ty	TEIL	PORTABLE_ARGUMENT	NORMAL	gebundener Teilmarker	6	7	PRODUCTIVE
CLOSE	licensed terminal	SCHLUSS	BOUND_ENDPOINT	NORMAL	nur exact-card-lizenziert; nacktes dy kann Y sein	35	87	PRODUCTIVE
