statement_id	page	record	owner_de	event_count	surface_sequence	short_card_sequence_de	concrete_case_expansion_de	teaching_reading_de
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	ABZIEHEN·KURZ·DIES BEREIT·GANG·ANSATZ QUELLE EINTRAGEN·DIES FACH ABZIEHEN·LAUF DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN ANSETZEN·DIES MASS KURZ·EINTRAGEN·DIES	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	4	qokchy qotchol chol cthy	ANSETZEN·DIES DANACH·ABZIEHEN·FORTSETZEN FORTSETZEN BEREIT·DIES	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	DIES·ABZIEHEN·KURZ·ANSATZ BEREIT·DIES ANSATZ BEREIT·MASS GANG·BEREIT·FORTSETZEN·DIES DIES DIES MASS DIES	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	8	qotchor chor otol chol cholor chol daiin dar	DANACH·ABZIEHEN·ANSATZ ANSATZ DANACH·FORTSETZEN FORTSETZEN FORTSETZEN·ANSATZ FORTSETZEN MASS QUELLE	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	7	oykchor shor chor chy kaiiin dy chodaiin	GANG·DIES·ZUFUEHREN·ANSATZ ANSATZ ANSATZ DIES ZUFUEHREN·STUFE DIES ABZIEHEN·GANG·MASS	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	EINTRAGEN·HALTEN·FORTSETZEN HALTEN·GANG·ZIEL AUSWRINGEN·DIES HALTEN·DIES·MASS HINEIN·DIES HALTEN·LANG·DIES EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	shoyty	HALTEN·GANG·DIES·EINTRAGEN·DIES	Halte den nächsten Posten und trage ihn in denselben Gang ein.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	5	dchol chy kchy dy daiin	FORTSETZEN DIES ZUFUEHREN·DIES DIES MASS	Gib davon nach Maß weiter zu.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	4	qotchy okchol cthy dy	DANACH·DIES ANSETZEN·FORTSETZEN BEREIT·DIES DIES	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	5	qokaiin chaiin ykain ykan ody	ANSETZEN·MASS MASS DIES·ZUFUEHREN·PORTION DIES·ZUFUEHREN·PORTION GANG·SCHLUSS	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	3	daiin chedy talam	MASS UMSETZEN·DIES VERWAHREN	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	Kurzkarten der Reihe nach sprechen; Bildbesitzer und Fall nur einmal ergänzen.
