card_no	surfaces	component_parse	component_count	short_card_default_de	spoken_as_de	old_portable_role_reading_de	old_role_word_count	old_sentence_sized	case_expansion_policy	composition_status	occurrences	sections	records
PROC001	dchey	CH+E+Y	3	ABZIEHEN·KURZ·DIES	abziehen kurz dies	diesen Posten kurz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC002	cthoor	CTH+O+OR	3	BEREIT·GANG·ANSATZ	bereit gang ansatz	bereit · Arbeitsgang · Ansatz	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC003	char|dar|sar	AR	1	QUELLE	quelle	von dort	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3
PROC004	chety|chty	T+Y	2	EINTRAGEN·DIES	eintragen dies	diesen Posten eintragen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H1|B3
PROC005	os	OS	1	FACH	fach	Arbeitsfach	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	LEARNED_WHOLE_CARD	1	HERBAL	H1
PROC006	chair	CH+AIR	2	ABZIEHEN·LAUF	abziehen lauf	den laufenden Posten durch laufender Bestand abziehen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC007	otytchol	OT+Y+T+CH+OL	5	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	danach dies eintragen abziehen fortsetzen	danach fortsetzen diesen Posten eintragen und abziehen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC008	choky|oky|qoky	OK+Y	2	ANSETZEN·DIES	ansetzen dies	diesen Posten ansetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	1	MASS	mass	vorgeschriebenes Maß	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6
PROC010	etyd	E+T+Y	3	KURZ·EINTRAGEN·DIES	kurz eintragen dies	diesen Posten kurz eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC011	chokchy|okchy|qokchy	OK+Y	2	ANSETZEN·DIES	ansetzen dies	diesen Posten ansetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	HERBAL	H1|H5
