component_no	component	sentence_role	short_workshop_word_de	old_atomic_meaning_de	grammar_contribution_de	card_types	events	teaching_rule_de
C01	AIIN	QUANTITY	MASS	vorgeschriebenes Maß	liefert das Sollmaß	10	39	AIIN immer als MASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C02	AIN	QUANTITY	PORTION	Portion	liefert eine abgeteilte Menge	9	19	AIN immer als PORTION sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C03	AIR	PATH_MEDIUM	LAUF	laufender Bestand	liefert Lauf oder strömendes Medium	5	5	AIR immer als LAUF sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C04	AL	TARGET	ZIEL	bezeichnete Stelle	liefert das Ziel	22	39	AL immer als ZIEL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C05	AR	SOURCE	QUELLE	von dort	liefert die Quelle	10	14	AR immer als QUELLE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C06	CFH	ACTION	AUSWRINGEN	auswringen	führt Auswringen aus	1	1	CFH immer als AUSWRINGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C07	CH	ACTION	ABZIEHEN	abziehen	führt Abziehen aus	15	16	CH immer als ABZIEHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C08	CHD	ACTION	UMSETZEN	umsetzen	führt Umsetzen aus	22	48	CHD immer als UMSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C09	CHK	ACTION	WAERMEN	wärmen	führt Erwärmen aus	4	7	CHK immer als WAERMEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C10	CKH	PATH_MEDIUM	DURCHLASS	Durchlass	liefert Durchlass oder Gang	9	14	CKH immer als DURCHLASS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C11	CTH	STATE	BEREIT	bereit	fordert den Bereitschaftszustand	8	15	CTH immer als BEREIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C12	DA	MODIFIER	ZWEIT	zweite	markiert die zweite Stufe	1	1	DA immer als ZWEIT sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C13	DY	CLOSE	SCHLUSS	Schluss	schließt nur in der lizenzierten Kartenkonstruktion	37	89	DY immer als SCHLUSS sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C14	E	GRADE	KURZ	kurz	markiert kurze oder direkte Ausführung	34	49	E immer als KURZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C15	EE	GRADE	LANG	länger	markiert anhaltende Ausführung	17	40	EE immer als LANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C16	EEE	GRADE	VOLL	vollständig	markiert vollständige Ausführung	2	2	EEE immer als VOLL sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C17	HO	MATERIAL	GABE	Gabe	liefert die einzusetzende Gabe	5	8	HO immer als GABE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C18	IIN	STATE	STUFE	Sollstufe	liefert eine Zielstufe	3	4	IIN immer als STUFE sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C19	K	ACTION	ZUFUEHREN	zuführen	führt Zuführung aus	18	21	K immer als ZUFUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C20	L	ACTION	FUEHREN	führen	führt entlang eines Wegs	18	27	L immer als FUEHREN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C21	LD	ACTION	BEFESTIGEN	befestigen	führt Befestigung aus	1	1	LD immer als BEFESTIGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C22	LS	SEQUENCE	WEITER	weiter	setzt die laufende Folge fort	1	1	LS immer als WEITER sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C23	LSH	ACTION	WASCHEN	waschen	führt einen Waschgang aus	2	3	LSH immer als WASCHEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C24	O	PROCESS	GANG	Arbeitsgang	liefert den bezeichneten Vorgang	18	19	O immer als GANG sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C25	OK	ACTION	ANSETZEN	ansetzen	setzt Posten oder Vorgang an	23	79	OK immer als ANSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C26	OL	SEQUENCE	FORTSETZEN	fortsetzen	setzt Posten oder Ansatz fort	25	49	OL immer als FORTSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C27	OR	PREPARATION	ANSATZ	Ansatz	liefert die aktuelle Zubereitung	10	18	OR immer als ANSATZ sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C28	OS	TARGET	FACH	Arbeitsfach	liefert das ausgewählte Arbeitsfach	1	1	OS immer als FACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C29	OT	SEQUENCE	DANACH	danach	ordnet die folgende Einheit an	16	26	OT immer als DANACH sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C30	P	ACTION	HINEIN	hineingeben	führt in einen Empfänger hinein	3	3	P immer als HINEIN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C31	R	ACTION	KUEHLEN	abkühlen	führt Abkühlung aus	6	6	R immer als KUEHLEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C32	S	ACTION	TEILEN	teilen	teilt den laufenden Posten	1	1	S immer als TEILEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C33	SH	ACTION	HALTEN	halten	hält den laufenden Posten	20	25	SH immer als HALTEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C34	SHED	ACTION	ABSETZEN	absetzen	lässt den Posten absetzen	3	15	SHED immer als ABSETZEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
C35	SOLK	ACTION	AUFFANGEN	auffangen	fängt den laufenden Bestand auf	5	7	SOLK immer als AUFFANGEN sprechen; konkrete Ergänzungen kommen aus Bild und Fall.
