copy_position	event_id	owner_code	source_page	source_locus	field_id	statement_id	joint_tuple_id	source_surface	copy_surface	registered_palette	renderer_changed	owner_native	atomic_reading_de	german_value_spoken_to_scribe
1	E056	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	qokaiin	okaiin	okaiin|qokaiin	YES	YES	OK=einstellen; AIIN=Sollmaß	NO
2	E057	H4	f55v	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	chaiin	aiin	aiin|chaiin|daiin|saiin|taiin	YES	YES	AIIN=Sollmaß	NO
3	E058	H4	f55v	f55v.5	F010	H4-S001	403c1592f918c8f23b88	ykain	ykain	ykain	NO	YES	Y=laufender Posten; AIN=Portion	NO
4	E059	H4	f55v	f55v.5	F010	H4-S001	d929a14ec45749b2e805	ykan	ykan	ykan	NO	YES	Y=dies; AIN=Portion	NO
5	E060	H4	f55v	f55v.5	F010	H4-S001	97cc9ac109148723c472	ody	ody	ody	NO	YES	ODY=kühl; Endkarte=Schluss	NO
6	E061	H4	f55v	f55v.5	F011	H4-S002	2f1c5e56e8f0ff459065	daiin	aiin	aiin|chaiin|daiin|saiin|taiin	YES	YES	AIIN=Sollmaß	NO
7	E062	H4	f55v	f55v.5	F011	H4-S002	6f7ff8287eddf4da9fdb	chedy	chdy	chdy|chedy	YES	YES	CHD~CHED=umsetzen; Y=laufender Posten	NO
8	E063	H4	f55v	f55v.5	F011	H4-S002	e026af581c99322fbd46	talam	talam	talam	NO	YES	TALAM=verwahren	NO
9	E064	H4	f55v	f55v.11	F012	H4-S003	f7dc90b2c31fd341f0a4	ykaiin	ykaiin	ykaiin	NO	YES	Y=Posten; AIIN=Sollmaß	NO
10	E065	H4	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	cheoar	cheoar	NO	YES	CHEO=Auszug; AR=aus	NO
11	E066	H4	f55v	f55v.11	F012	H4-S003	2c1a5fd92b9e3c762242	cheeky	cheeky	cheeky	NO	YES	CHK=wärmen; EE=Stufe II; Y=offen	NO
12	E067	H4	f55v	f55v.11	F012	H4-S003	1b1ffdd869fb1429ad03	oldy	oldy	oldy	NO	YES	OL=fortsetzen; DY=Schluss	NO
13	E068	H4	f55v	f55v.11	F013	H4-S004	2f1c5e56e8f0ff459065	aiin	chaiin	aiin|chaiin|daiin|saiin|taiin	YES	YES	AIIN=Sollmaß	NO
14	E069	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	qokal	okal|qokal	YES	YES	OK=einsetzen; AL=Stelle	NO
15	E070	H4	f55v	f55v.11	F013	H4-S004	204b04837409088c48f9	oltchy	oltchy	oltchy	NO	YES	OLTCHY=anwärmen	NO
16	E071	H4	f55v	f55v.11	F013	H4-S004	7a4bb8136330ee4e6e56	or	chor	chor|or|shor|sor	YES	YES	OR=Ansatz	NO
17	E072	H4	f55v	f55v.11	F013	H4-S004	b921a237be883a820352	y	chey	chey|chy|dy|shy|sy|y	YES	YES	Y=aktuell gemeinter Arbeitsposten; dies/es	NO
18	E073	H4	f55v	f55v.11	F013	H4-S004	6afeb5c9ab9f6cbdea0d	orain	orain	orain	NO	YES	OR=Ansatz; AIN=Portion	NO
19	E285	B3	f83r	f83r.16	F098	B3-S026	342c3f0777337648f4b3	cheedar	cheedar	cheedar	NO	YES	Beckenstation	NO
20	E286	B3	f83r	f83r.16	F098	B3-S026	d72f71baff01cd0a0406	chldaiin	chldaiin	chldaiin	NO	YES	CHLD=absetzen; AIIN=Sollmaß	NO
21	E287	B3	f83r	f83r.16	F098	B3-S026	6f7ff8287eddf4da9fdb	chedy	chdy	chdy|chedy	YES	YES	CHD~CHED=umsetzen; Y=laufender Posten	NO
22	E288	B3	f83r	f83r.16	F098	B3-S026	1645e612504fcef59ced	qokain	okain	okain|qokain	YES	YES	OK=in Arbeit setzen; AIN=Portion	NO
23	E289	B3	f83r	f83r.16	F098	B3-S026	e0b630cb1b5df5e7105b	checthy	cthy	checthy|cthy|shcthy	YES	YES	CTH=bereit; Y=Posten	NO
24	E290	B3	f83r	f83r.16	F098	B3-S026	d788d8d72d41b25a3c71	chealror	chealror	chealror	NO	YES	CHEALROR=Klarpunkt	NO
25	E291	B3	f83r	f83r.20	F099	B3-S026	3b70942557b3a40e8030	solkeedy	olkeedy	olkeedy|solkeedy	YES	YES	SOLK=auffangen; EE=Stufe II; DY=Schluss	NO
