copy_position	copy_surface	owner_code	statement_id	reconstructed_joint_tuple_id	expected_joint_tuple_id	identity_match	owner_match	statement_order_match
1	okaiin	H4	H4-S001	b5fcea1eaed06b2f2291	b5fcea1eaed06b2f2291	YES	YES	YES
2	aiin	H4	H4-S001	2f1c5e56e8f0ff459065	2f1c5e56e8f0ff459065	YES	YES	YES
3	ykain	H4	H4-S001	403c1592f918c8f23b88	403c1592f918c8f23b88	YES	YES	YES
4	ykan	H4	H4-S001	d929a14ec45749b2e805	d929a14ec45749b2e805	YES	YES	YES
5	ody	H4	H4-S001	97cc9ac109148723c472	97cc9ac109148723c472	YES	YES	YES
6	aiin	H4	H4-S002	2f1c5e56e8f0ff459065	2f1c5e56e8f0ff459065	YES	YES	YES
7	chdy	H4	H4-S002	6f7ff8287eddf4da9fdb	6f7ff8287eddf4da9fdb	YES	YES	YES
8	talam	H4	H4-S002	e026af581c99322fbd46	e026af581c99322fbd46	YES	YES	YES
9	ykaiin	H4	H4-S003	f7dc90b2c31fd341f0a4	f7dc90b2c31fd341f0a4	YES	YES	YES
10	cheoar	H4	H4-S003	807591efc3d3f7ddbfab	807591efc3d3f7ddbfab	YES	YES	YES
11	cheeky	H4	H4-S003	2c1a5fd92b9e3c762242	2c1a5fd92b9e3c762242	YES	YES	YES
12	oldy	H4	H4-S003	1b1ffdd869fb1429ad03	1b1ffdd869fb1429ad03	YES	YES	YES
13	chaiin	H4	H4-S004	2f1c5e56e8f0ff459065	2f1c5e56e8f0ff459065	YES	YES	YES
14	qokal	H4	H4-S004	308e8ea2d5d190c498e8	308e8ea2d5d190c498e8	YES	YES	YES
15	oltchy	H4	H4-S004	204b04837409088c48f9	204b04837409088c48f9	YES	YES	YES
16	chor	H4	H4-S004	7a4bb8136330ee4e6e56	7a4bb8136330ee4e6e56	YES	YES	YES
17	chey	H4	H4-S004	b921a237be883a820352	b921a237be883a820352	YES	YES	YES
18	orain	H4	H4-S004	6afeb5c9ab9f6cbdea0d	6afeb5c9ab9f6cbdea0d	YES	YES	YES
19	cheedar	B3	B3-S026	342c3f0777337648f4b3	342c3f0777337648f4b3	YES	YES	YES
20	chldaiin	B3	B3-S026	d72f71baff01cd0a0406	d72f71baff01cd0a0406	YES	YES	YES
21	chdy	B3	B3-S026	6f7ff8287eddf4da9fdb	6f7ff8287eddf4da9fdb	YES	YES	YES
22	okain	B3	B3-S026	1645e612504fcef59ced	1645e612504fcef59ced	YES	YES	YES
23	cthy	B3	B3-S026	e0b630cb1b5df5e7105b	e0b630cb1b5df5e7105b	YES	YES	YES
24	chealror	B3	B3-S026	d788d8d72d41b25a3c71	d788d8d72d41b25a3c71	YES	YES	YES
25	olkeedy	B3	B3-S026	3b70942557b3a40e8030	3b70942557b3a40e8030	YES	YES	YES
