surface	working_meaning_de	composition	strongest_rival_de	family
qoolkeey	erhitze den Holzdrogenansatz vollständig	QO_COMMAND+O_PREP+L_WOOD+K_HOT+EE_END+Y_START_OR_CLOSE	gib vollständig erhitzte Holzdroge hinzu	HEAT
oiees	Ansatz bis zur letzten Stufe führen und abschließen	O_PREP+IIN_FORM_III+S_TERM_SPECIES	Ansatz der Form III als Arzneispecies	PREP
oain	Ansatz der zweiten Stufe	O_PREP+AIN_II	zwei Teile Ansatz	PREP
olshy	Holzdrogenansatz leicht einweichen	O_PREP+L_WOOD+SH_MOIST+Y_START_OR_CLOSE	leicht eingeweichter Drogenstoff	SOAK
ypchedy	nimm hiervon das getrocknete und fertiggestellte Pulver	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	fertiges Trockenpulver	POWDER
oeoar	erste Fraktion des bis zur Mittelstufe geführten Ansatzes	O_PREP+E_MIDDLE+O_PREP+AR_FRACTION_I	erste Fraktion Ansatzwasser	FRACTION
sotchdaiin	drei Dosen kalten Trockenansatz aus Saatgut	S_SEED+O_PREP+T_COLD+CH_DRY+D_MEASURE+AIIN_III	drei Teile kalte Trockenspecies	DOSE
qokcho	erhitze und trockne die Droge	QO_COMMAND+K_HOT+CH_DRY+O_PREP	heißer Trockenansatz	HEAT_DRY
qokair	nimm die zweite erhitzte Fraktion	QO_COMMAND+K_HOT+AIR_FRACTION_II	erhitze Fraktion II	FRACTION
qopchcfhy	nimm das Trockenpulver mit Blütenfraktion	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+F_FLOWER+Y_START_OR_CLOSE	fertiges Blütenpulver	POWDER
folaiin	drei Teile Blütenstoff	F_FLOWER+OL_MATERIAL+AIIN_III	drei Teile Blütenauszug	FLOWER
chedain	zwei Dosen getrocknete Droge	CH_DRY+E_MIDDLE+D_MEASURE+AIN_II	getrocknete Droge auf Stufe II	DOSE
qoctholy	nimm den Krautstoff und seihe ab	QO_COMMAND+CTH_HERB+OL_MATERIAL+Y_START_OR_CLOSE	fertiger Krautansatz	HERB
alam	ein Maß Rohdroge I	AL_RAW_I+AM_UNIT_I	gleicher Anteil Rohdroge	MEASURE
