surface	working_meaning_de	composition	strongest_rival_de	family
qoolkeey	erhitze den Drogenstoff vollständig und schließe ab	QO_COMMAND+OL_MATERIAL+K_HOT+EE_END+Y_START_OR_CLOSE	gib vollständig erhitzten Drogenstoff hinzu	ACTION
oiees	Ansatzcharge auf vollständiger Stufe	LEARNED_OIEES_WHOLE	vollständig bereitete Arzneispecies	PREPARATION
oain	zwei Teile Ansatz	O_PREP+AIN_II	Ansatz auf Stufe II	MEASURE
olshy	Drogenstoff leicht einweichen	OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter Drogenstoff	MOIST_PREP
ypchedy	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrocknetes Pulver dieser Zubereitung	ACTION
oeoar	erste Fraktion eines erneut angesetzten Mittelfabrikats	O_PREP+E_MIDDLE+O_PREP+AR_FRACTION_I	Ansatz der Mittelstufe erneut ansetzen und erste Fraktion nehmen	FRACTION
sotchdaiin	drei Dosen Saatgutansatz abkühlen und trocknen	S_SEED+O_PREP+T_COLD+CH_DRY+D_MEASURE+AIIN_III	drei Teile kalt getrocknetes Saatgut	SEED
qokcho	erhitze, trockne und setze an	QO_COMMAND+K_HOT+CH_DRY+O_PREP	heiß getrockneten Ansatz bereiten	ACTION
qokair	erhitze die zweite Fraktion	QO_COMMAND+K_HOT+AIR_FRACTION_II	nimm die zweite erhitzte Fraktion	FRACTION
qopchcfhy	bereite eine leicht getrocknete Blütenpulverfraktion	LEARNED_QOPCHCFHY_WHOLE	nimm leicht getrocknetes Blütenpulver	FLOWER
folaiin	drei Teile Blütenauszug	LEARNED_FOLAIIN_WHOLE	Blütenfraktion der dritten Stufe	FLOWER
chedain	zwei Dosen bis zur Mittelstufe getrockneter Droge	CH_DRY+E_MIDDLE+D_MEASURE+AIN_II	getrocknete Droge auf Dosisstufe II	MEASURE
qoctholy	seihe den Krautdrogenstoff ab	QO_COMMAND+CTH_HERB+OLY_STRAIN_ACTION	Krautdrogenauszug abseihen	ACTION
alam	ein Maß Rohdroge I	AL_RAW_I+AM_UNIT_I	Rohdroge I in Maßeinheit I	MEASURE
qotedal	kühle bis zur Mittelstufe und miss Rohdroge I ab	QO_COMMAND+T_COLD+E_MIDDLE+D_MEASURE+AL_RAW_I	abgemessene Rohdroge I der Kühlstufe Mitte	ACTION
kechy	mäßig erhitzen, trocknen und abschließen	K_HOT+E_MIDDLE+CH_DRY+Y_START_OR_CLOSE	mäßig heiß getrocknete Droge	ACTION
oeedaiin	drei Dosen vollständig bereiteten Ansatzes	O_PREP+EE_END+D_MEASURE+AIIN_III	Ansatz der Endstufe in Dosis III	MEASURE
qokeedain	erhitze vollständig und miss zwei Dosen ab	QO_COMMAND+K_HOT+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig erhitzter Droge	MEASURE
alchedy	Rohdroge I bis zur Mittelstufe trocknen und fertigstellen	AL_RAW_I+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrockneter Rohstoff I	ACTION
shsodaiin	drei Dosen angefeuchteten Saatgutansatzes	LEARNED_SHSODAIIN_WHOLE	Saatgut im Feuchtansatz auf Dosisstufe III	SEED
sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig eingeweichte und erhitzte Droge	ACTION
qokod	erhitze den Ansatz und schließe ab	QO_COMMAND+K_HOT+O_PREP+D_TERM_CLOSE	erhitzten Ansatz abziehen	ACTION
kald	erhitzte Rohdroge I abschließen	K_HOT+AL_RAW_I+D_TERM_CLOSE	heiße Rohdroge I abziehen	ACTION
oteol	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	O_PREP+T_COLD+E_MIDDLE+OL_MATERIAL	kalter Drogenstoff der mittleren Stufe	COLD
cholchom	getrockneten Drogenstoff als Ansatzmenge bereitstellen	LEARNED_CHOLCHOM_WHOLE	ein Maß doppelt getrockneten Ansatzstoffs	DRY
ychy	trockne hiervon leicht	Y_REFERENCE+CH_DRY+Y_START_OR_CLOSE	diese Droge leicht antrocknen	ACTION
yko	erhitze hiervon einen Ansatz	Y_REFERENCE+K_HOT+O_PREP	heißer Ansatz dieser Droge	ACTION
qoeees	nimm eine Charge der letzten Stufe	QO_COMMAND+EEE_LONG_OR_FINAL+S_TERM_SPECIES	führe die Arzneispecies lange zu Ende	ACTION
ychoees	trockne hiervon eine Ansatzcharge vollständig	Y_REFERENCE+CH_DRY+O_PREP+EE_END+S_TERM_SPECIES	vollständig getrocknete Ansatzcharge dieser Droge	ACTION
doky	einen Ansatz abmessen, leicht erhitzen und abschließen	D_MEASURE+O_PREP+K_HOT+Y_START_OR_CLOSE	leicht erhitzte Ansatzdosis	MEASURE
ddor	eine Portion als Dosis abmessen	D_MEASURE+D_MEASURE+OR_PORTION	eine doppelt abgemessene Portion	MEASURE
