rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100v.15	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	Samenportion, vollständig getrocknet; zweite abgemessene Fraktion im Grundansatz mit trockenem Drogenstoff. Erhitze den Drogenstoff vollständig und schließe ab; dazu vollständig getrocknetes Trockengut, bis zur Mittelstufe erhitzter Drogenstoff, Trockenansatz aus kaltem Material und Saatgut.	qoolkeey bleibt die sichtbare Folge qo|ol|k|ee|y; keine Holz- oder Zusatzmenge wird hineingelesen.
2	f102v2.23	okey okey shey okey oiees or eey	Ansatz dreimal auf mittlerer Heizstufe, dazwischen auf mittlerer Einweichstufe; vollständig bereitete Ansatzcharge der Form I mit einer Drogenportion. Endstufe abschließen.	oiees füllt die fehlende Form-I-Zelle vor Endstufe und Charge; die Portion stammt allein aus or.
3	f105v.28	oeoar ar al odor aiil otaiin	Erste Fraktion eines erneut bis zur Mittelstufe bereiteten Ansatzes: Drogenfraktion I aus Rohstoff I; eine Portion Ansatz abmessen; Rohstoff III, kalt im Zubereitungsrahmen auf Stufe III.	oeoar bewahrt beide Ansatzrahmen und die mittlere Stufe; odor lizenziert die Portion.
4	f107v.10	shodaiin shey qokair qokaiin chokedy tain shedy	Weiche drei Dosen Feuchtansatz bis zur Mittelstufe ein. Erhitze die zweite Fraktion auf Stufe III, trockne den heißen Ansatz bis zur Mittelstufe und schließe; kühle auf Stufe II, weiche bis zur Mittelstufe ein und schließe ab.	qokair ist der vorhersagbare Heizbefehl an Fraktion II; sämtliche Stufen bleiben sichtbar.
5	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Krautdroge und Pflanzenteil, dazu drei Teile Blatt-/Krautgut. Seihe den Krautdrogenstoff ab, schließe den Posten, trockne leicht, kühle auf Stufe III und feuchte leicht an.	qoctholy nutzt den bereits belegten terminalen oly-Abseihblock; kein unmarkiertes Wasser.
6	f114v.19	o shsodaiin chotain qotar	Ansatz aus drei Dosen eingeweichter Saatgutzubereitung; Trockenansatz auf Kühlstufe II und erste kalte Drogenfraktion.	Nominale S-Zeile; shsodaiin verbindet Saatgutzubereitung, Einweichen und drei Dosen.
7	f13v.3	qokchy qokod chy otchy cthody	Ansatz heiß antrocknen; anschließend erhitzen und abschließen. Nochmals leicht trocknen; kalt-trockener Ansatz auf der Anfangsstufe; fertiger Krautansatz.	qokod als Erhitzen plus terminaler Abschluss; cthody bleibt fertiger Krautansatz.
8	f17v.15	ychor cthy cheeky cheo otor oteol	Nimm hiervon den Pflanzenteil und die Krautdroge. Trockne vollständig und erwärme leicht nach. Trockenansatz; kalte Drogenportion im Ansatz; kühle den Drogenstoff im Ansatz bis zur Mittelstufe.	oteol als Kühlhandlung am Drogenstoff; otor lizenziert die Portion.
9	f17v.19	dain chey qoaiin cthor cholchom	Nimm zwei Maße und trockne sie bis zur Mittelstufe. Nimm drei Teile einer Portion Blatt-/Krautdroge und eine Handvoll nachgetrockneten Drogenstoffs.	cholchom verwendet den terminalen om-Handvollblock; dain liefert zwei Maße und qoaiin getrennt drei Teile.
10	f18r.6	ychy kchor dair ytol chcthy dar dar dal	Trockne hiervon leicht. Heiß-trockene Drogenportion; abgemessene zweite Fraktion. Kühle hiervon den Drogenstoff. Getrocknete Krautdroge; zweimal die erste abgemessene Fraktion; abgemessener Rohstoff I.	ychy als kurzer anaphorischer Trockenbefehl; keine zusätzliche Portion.
