surface	working_meaning_de	composition	strongest_rival_de	family
qoolkeey	nimm den vollständig erhitzten Holzdrogenansatz	lokale Grenzlesung QO_COMMAND|OLKEEY_WOOD_HEAT_END	gib vollständig erhitztes Drogenmaterial hinzu	Q_WOOD_COMMAND
oiees	Ansatzcharge II auf Endstufe	gelernte Ganzform O_PREP+II_VALUE+EE_END+S_TERM	Ansatzcharge auf Endstufe	PREP_END_CHARGE
oain	Ansatzmenge II	O_PREP+AIN_II	Zubereitungsform II	PREP_QUANTITY_II
olshy	Drogenstoff leicht einweichen	OL_MATERIAL+SH_MOIST+Y_CLOSE	leicht eingeweichter Drogenstoff	MATERIAL_MOIST_PROCESS
ypchedy	nimm hierzu getrocknetes Pulver	Y_REFERENCE+P_POWDER+CH_DRY+E_MIDDLE+DY_FINISHED	fertige Pulverpaste hierzu	Y_POWDER_COMMAND
oeoar	erste Fraktion des Ansatzes auf Endstufe	O_PREP+EE_END+O_PREP+AR_FRACTION_I	erste Ansatzfraktion	PREP_END_FRACTION
sotchdaiin	drei Dosen kalt getrockneter Saatgutzubereitung	S_SEED+O_PREP+T_COLD+CH_DRY+D_MEASURE+AIIN_III	drei Dosen kalt getrockneter Ansatz	SEED_COLD_DRY_DOSE
qokcho	erhitze den Trockenansatz	QO_COMMAND+K_HOT+CHO_DRY_PREP	heiß-trockener Ansatz	Q_HOT_DRY_COMMAND
qokair	nimm die zweite erhitzte Drogenfraktion	QO_COMMAND+K_HOT+AIR_FRACTION_II	heiße Drogenfraktion II	Q_HOT_FRACTION_II
qopchcfhy	nimm leicht getrocknetes Blütenpulver	QO_COMMAND+P_POWDER+CH_DRY+CFH_FLOWER+Y_CLOSE	nimm leicht getrocknetes Pulverpräparat	Q_FLOWER_POWDER
folaiin	drei Teile Blütenstoff	F_FLOWER+OL_MATERIAL+AIIN_III	Blütenstoff auf Stufe III	FLOWER_MATERIAL_QUANTITY
