deck_order	entry_kind	entry_id	visible_or_card_form	short_value_de	learning_rule	support_events
1	PRODUCTIVE_COMPONENT	OK	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	78
2	PRODUCTIVE_COMPONENT	OL	OL	WEITER	im selben Fortgang weiterarbeiten	48
3	PRODUCTIVE_COMPONENT	OT	OT	DANACH	zum folgenden Posten oder Schritt wechseln	26
4	PRODUCTIVE_COMPONENT	AR	AR	VON	von der bezeichneten Quelle oder dem Vorrat her	14
5	PRODUCTIVE_COMPONENT	AL	AL	ZU	an die bezeichnete Stelle oder zum Ziel	38
6	PRODUCTIVE_COMPONENT	L	L	AB	aus dem aktiven Posten heraus- oder abführen	23
7	PRODUCTIVE_COMPONENT	P	P	ZU	in einen lokalen Empfänger zuführen	2
8	PRODUCTIVE_COMPONENT	AIN	AIN	PORTION	eine abgegrenzte Teilmenge	15
9	PRODUCTIVE_COMPONENT	AN	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	1
10	PRODUCTIVE_COMPONENT	AIIN	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	39
11	PRODUCTIVE_COMPONENT	IIN	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	4
12	PRODUCTIVE_COMPONENT	E	E	KURZ	kurz oder unmittelbar ausführen	41
13	PRODUCTIVE_COMPONENT	EE	EE	LANG	länger halten oder fortsetzen	33
14	PRODUCTIVE_COMPONENT	EEE	EEE	VOLL	bis zur vollen Stufe ausführen	2
15	PRODUCTIVE_COMPONENT	Y	Y	DIES	den aktuell gemeinten Arbeitsposten halten	103
16	PRODUCTIVE_COMPONENT	DY	DY	SCHLUSS	nur als lizenzierte Endkarte die Zelle schließen	90
17	PRODUCTIVE_COMPONENT	OR	OR	ANSATZ	den aktuell bereiteten Ansatz oder Bedingungssatz halten	17
18	PRODUCTIVE_COMPONENT	HO	HO	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	11
19	PRODUCTIVE_COMPONENT	CHEO	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	4
20	PRODUCTIVE_COMPONENT	AIR	AIR	LAUFFLÜSSIGKEIT	Flüssigkeit im sichtbaren oder gedachten Lauf	5
21	PRODUCTIVE_COMPONENT	CHED	CHED	ÜBERFÜHREN	Material von einer Station in die nächste bringen	40
22	PRODUCTIVE_COMPONENT	CHD	CHD	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	18
23	PRODUCTIVE_COMPONENT	CTH	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	16
24	PRODUCTIVE_COMPONENT	SHED	SHED	ABSETZEN	ruhen und sich absetzen lassen	17
25	PRODUCTIVE_COMPONENT	CHK	CHK	WÄRMEN	den Posten erwärmen oder warm halten	7
26	PRODUCTIVE_COMPONENT	CKH	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	9
27	PRODUCTIVE_COMPONENT	CKHE	CKHE	SEIHEN	durch einen trennenden Durchlass führen	4
28	PRODUCTIVE_COMPONENT	SOLK	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	6
29	PRODUCTIVE_COMPONENT	LSH	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	3
