master_card_id	master_form	registered_surfaces	construction_class	component_parse	portable_core_de	local_prose_expansion_de	prose_event_count	records	writing_rule
MC001	chdal	chdal	PRODUCTIVE_COMPOSITION	CHD_TRANSFER+AL_TO	Zieltransfer	Zieltransfer	1	B5	read the licensed components from left to right
MC002	okeey	okeey|qokeey	FRAME_PLUS_LOCAL_CORE	OK_SET+GRADE_2+Y_CURRENT_ITEM	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	7	B1|B2|B3|B4	read the productive frame and retrieve the remaining local core
MC003	sheedy	sheedy	PRODUCTIVE_COMPOSITION	SHED_SETTLE+GRADE_2+DY_CLOSE	Langabsetzen; Schluss	Langabsetzen; Schluss	1	B3	read the licensed components from left to right
MC004	ldy	ldy	PRODUCTIVE_COMPOSITION	L_OUT+CLOSE_EXACT	abziehen; Schluss	abziehen; Schluss	2	B2|B3	read the licensed components from left to right
MC005	okchedy	okchedy|qokchedy	PRODUCTIVE_COMPOSITION	OK+CHED_TRANSFER+CLOSE	einführen; Schluss	einführen; Schluss	2	B1|B3	read the licensed components from left to right
MC006	chokcheo	chokcheo	PRODUCTIVE_COMPOSITION	OK + CHEO	Auszug einsetzen	Auszug einsetzen	1	H5	read the licensed components from left to right
MC007	okey	okey|qokey	FRAME_PLUS_LOCAL_CORE	OK_SET+GRADE_1+Y_CURRENT_ITEM	KURZ_SETZEN	kurz einwirken lassen	2	B1|B2	read the productive frame and retrieve the remaining local core
MC008	lchy	lchy	PRODUCTIVE_COMPOSITION	LCH_WITHDRAW+Y_ITEM	Abführgut	Abführgut	1	B2	read the licensed components from left to right
MC009	chary	chary	PRODUCTIVE_COMPOSITION	AR_FROM+Y_CURRENT	Quellposten	Quellposten	1	B3	read the licensed components from left to right
MC010	chodaly	chodaly	PRODUCTIVE_COMPOSITION	CHO + AL + Y	Zugabe am aktuellen Ziel	Zugabe am aktuellen Ziel	1	H5	read the licensed components from left to right
MC011	lchedar	lchedar	PRODUCTIVE_COMPOSITION	L_OUT+CHED_TRANSFER+AR_FROM	Quellabführung	Quellabführung	1	B2	read the licensed components from left to right
MC012	dl	dl	WHOLE_SIGN	DL_BATH_ADDITIVE_WHOLE_CARD	Zusatz	Zusatz	2	B1	retrieve the complete learned sign; do not decompose it
MC013	otchor	otchor|qotchor	PRODUCTIVE_COMPOSITION	OT + OR	Folgeansatz	Folgeansatz	2	H2|H5	read the licensed components from left to right
MC014	chair	chair	FRAME_PLUS_LOCAL_CORE	CH + AIR	laufendes Medium zugießen	laufendes Medium zugießen	1	H1	read the productive frame and retrieve the remaining local core
MC015	qokokchy	qokokchy	PRODUCTIVE_COMPOSITION	OK + OK + Y	denselben Posten erneut einsetzen	denselben Posten erneut einsetzen	1	H5	read the licensed components from left to right
MC016	rol	rol	PRODUCTIVE_COMPOSITION	R_FRAME+OL_CONTINUE	Anschluss	Anschluss	1	B1	read the licensed components from left to right
MC017	okain	okain|qokain	PRODUCTIVE_COMPOSITION	OK+AIN_PORTION	Anteil zugeben	Anteil zugeben	7	B1|B2|B3|B4	read the licensed components from left to right
MC018	qotedaiin	qotedaiin	PRODUCTIVE_COMPOSITION	OT_FOLLOW+E_SHORT+AIIN_MEASURE	Kurzsoll	Kurzsoll	1	B3	read the licensed components from left to right
MC019	oldy	oldy	FRAME_PLUS_LOCAL_CORE	OL_CONTINUE+DY_CLOSE	fertig	fertig	2	B4|H4	read the productive frame and retrieve the remaining local core
MC020	solkeey	solkeey	PRODUCTIVE_COMPOSITION	SOLK_COLLECT+EE_LONG+Y_ITEM	Langsammlung	Langsammlung	1	B6	read the licensed components from left to right
MC021	oltchy	oltchy	FRAME_PLUS_LOCAL_CORE	OL + TCH + Y	die laufende Bereitung fortsetzen	die laufende Bereitung fortsetzen	1	H4	read the productive frame and retrieve the remaining local core
MC022	chckhal	chckhal	PRODUCTIVE_COMPOSITION	CKH_THROUGH+AL_TO	Zielpassage	Zielpassage	1	B4	read the licensed components from left to right
