teaching_order	component	atomic_value_de	write_read_rule_de	support_card_types	support_events	example_card_id	example_surface	example_value_de	example_statement	count_note
1	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	22	78	MC026	oky	einsetzen	H1-S001	CURRENT_RECOUNT
2	OL	WEITER	im selben Fortgang weiterarbeiten	24	48	MC153	chol	weiter	H1-S002	CURRENT_RECOUNT
3	OT	DANACH	zum folgenden Posten oder Schritt wechseln	16	26	MC060	sotaiin	Folgemaß	B2-S008	CURRENT_RECOUNT
4	AR	VON	von der bezeichneten Quelle oder dem Vorrat her	10	14	MC055	char	davon	H1-S001	CURRENT_RECOUNT
5	AL	ZU	an die bezeichnete Stelle oder zum Ziel	21	38	MC154	dal	dorthin	H5-S001	CURRENT_RECOUNT
6	L	AB	aus dem aktiven Posten heraus- oder abführen	15	23	MC155	lchedy	abführen; Schluss	B2-S013	RETAINED_TEACHING_SUPPORT
7	P	ZU	in einen lokalen Empfänger zuführen	2	2	MC070	pchedy	Zuführung; Schluss	B2-S016	RETAINED_TEACHING_SUPPORT
8	AIN	PORTION	eine abgegrenzte Teilmenge	6	15	MC017	qokain	Anteil zugeben	B1-S006	CURRENT_RECOUNT
9	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	1	1	MC148	ykan	zweite Portion	B3-S024	CURRENT_RECOUNT_SINGLETON
10	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	10	39	MC039	daiin	Sollmaß	H1-S001	CURRENT_RECOUNT
11	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	3	4	MC033	oiiin	Arbeitsstufe	B1-S018	RETAINED_TEACHING_SUPPORT
12	E	KURZ	kurz oder unmittelbar ausführen	18	41	MC128	shedy	kurz absetzen; Schluss	B1-S004	RETAINED_TEACHING_SUPPORT
13	EE	LANG	länger halten oder fortsetzen	13	33	MC082	qokeedy	lange einwirken; Schluss	B2-S003	RETAINED_TEACHING_SUPPORT
14	EEE	VOLL	bis zur vollen Stufe ausführen	2	2	MC094	cheeety	Vollteil	B3-S029	RETAINED_TEACHING_SUPPORT
15	Y	DIES	den aktuell gemeinten Arbeitsposten halten	43	103	MC123	dy	dies	H2-S001	CURRENT_RECOUNT
16	DY	SCHLUSS	nur als lizenzierte Endkarte die Zelle schließen	38	90	MC128	shedy	kurz absetzen; Schluss	B1-S004	CURRENT_RECOUNT
17	OR	ANSATZ	den aktuell bereiteten Ansatz oder Bedingungssatz halten	9	17	MC080	chor	Ansatz	H2-S001	CURRENT_RECOUNT
18	HO	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	8	11	MC034	cho	weitere Zutat	H5-S001	RETAINED_TEACHING_SUPPORT
19	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	4	4	MC006	chokcheo	Auszug einsetzen	H5-S004	RETAINED_TEACHING_SUPPORT
20	AIR	LAUFFLÜSSIGKEIT	Flüssigkeit im sichtbaren oder gedachten Lauf	5	5	MC014	chair	Zuguss	H1-S001	RETAINED_TEACHING_SUPPORT
21	CHED	ÜBERFÜHREN	Material von einer Station in die nächste bringen	16	40	MC074	chedy	überführen	H4-S002	RETAINED_TEACHING_SUPPORT
22	CHD	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	6	18	MC074	chedy	überführen	H4-S002	RETAINED_TEACHING_SUPPORT
23	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	9	16	MC161	cthy	bereit	H1-S002	RETAINED_TEACHING_SUPPORT
24	SHED	ABSETZEN	ruhen und sich absetzen lassen	5	17	MC128	shedy	kurz absetzen; Schluss	B1-S004	RETAINED_TEACHING_SUPPORT
25	CHK	WÄRMEN	den Posten erwärmen oder warm halten	4	7	MC147	cheky	kurz wärmen	B1-S008	RETAINED_TEACHING_SUPPORT
26	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	6	9	MC035	chckhy	durchleiten	B1-S002	RETAINED_TEACHING_SUPPORT
27	CKHE	SEIHEN	durch einen trennenden Durchlass führen	2	4	MC143	shckhedy	durchlassen; Schluss	B1-S020	RETAINED_TEACHING_SUPPORT
28	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	4	6	MC045	olkeedy	lange sammeln; Schluss	B1-S018	RETAINED_TEACHING_SUPPORT
29	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	2	3	MC038	lshedy	Waschgang; Schluss	B1-S012	RETAINED_TEACHING_SUPPORT
30	TY	TEIL	einen Materialteil oder Rest bezeichnen	5	6	MC086	chty	Teil	H1-S001	RETAINED_TEACHING_SUPPORT
