material	world	locus	edition	source_group_ids_json	source_groups_json	separators_json	literal_json	confidence
WOOD	ASCENT	f76r.6	ZL3b	"[""ZL3b|f76r.6|G001"", ""ZL3b|f76r.6|G002"", ""ZL3b|f76r.6|G003"", ""ZL3b|f76r.6|G004"", ""ZL3b|f76r.6|G005"", ""ZL3b|f76r.6|G006"", ""ZL3b|f76r.6|G007"", ""ZL3b|f76r.6|G008"", ""ZL3b|f76r.6|G009"", ""ZL3b|f76r.6|G010"", ""ZL3b|f76r.6|G011"", ""ZL3b|f76r.6|G012"", ""ZL3b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""rol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holz?"", ""[qokeeo]"", ""[rol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
CHARCOAL	ASCENT	f76r.6	ZL3b	"[""ZL3b|f76r.6|G001"", ""ZL3b|f76r.6|G002"", ""ZL3b|f76r.6|G003"", ""ZL3b|f76r.6|G004"", ""ZL3b|f76r.6|G005"", ""ZL3b|f76r.6|G006"", ""ZL3b|f76r.6|G007"", ""ZL3b|f76r.6|G008"", ""ZL3b|f76r.6|G009"", ""ZL3b|f76r.6|G010"", ""ZL3b|f76r.6|G011"", ""ZL3b|f76r.6|G012"", ""ZL3b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""rol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holzkohle?"", ""[qokeeo]"", ""[rol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
WOOD	LIGHTNESS	f76r.6	ZL3b	"[""ZL3b|f76r.6|G001"", ""ZL3b|f76r.6|G002"", ""ZL3b|f76r.6|G003"", ""ZL3b|f76r.6|G004"", ""ZL3b|f76r.6|G005"", ""ZL3b|f76r.6|G006"", ""ZL3b|f76r.6|G007"", ""ZL3b|f76r.6|G008"", ""ZL3b|f76r.6|G009"", ""ZL3b|f76r.6|G010"", ""ZL3b|f76r.6|G011"", ""ZL3b|f76r.6|G012"", ""ZL3b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""rol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holz?"", ""[qokeeo]"", ""[rol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
CHARCOAL	LIGHTNESS	f76r.6	ZL3b	"[""ZL3b|f76r.6|G001"", ""ZL3b|f76r.6|G002"", ""ZL3b|f76r.6|G003"", ""ZL3b|f76r.6|G004"", ""ZL3b|f76r.6|G005"", ""ZL3b|f76r.6|G006"", ""ZL3b|f76r.6|G007"", ""ZL3b|f76r.6|G008"", ""ZL3b|f76r.6|G009"", ""ZL3b|f76r.6|G010"", ""ZL3b|f76r.6|G011"", ""ZL3b|f76r.6|G012"", ""ZL3b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""rol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holzkohle?"", ""[qokeeo]"", ""[rol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
WOOD	ASCENT	f76r.6	IT2a	"[""IT2a|f76r.6|G001"", ""IT2a|f76r.6|G002"", ""IT2a|f76r.6|G003"", ""IT2a|f76r.6|G004"", ""IT2a|f76r.6|G005"", ""IT2a|f76r.6|G006"", ""IT2a|f76r.6|G007"", ""IT2a|f76r.6|G008"", ""IT2a|f76r.6|G009"", ""IT2a|f76r.6|G010"", ""IT2a|f76r.6|G011"", ""IT2a|f76r.6|G012"", ""IT2a|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holz?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
CHARCOAL	ASCENT	f76r.6	IT2a	"[""IT2a|f76r.6|G001"", ""IT2a|f76r.6|G002"", ""IT2a|f76r.6|G003"", ""IT2a|f76r.6|G004"", ""IT2a|f76r.6|G005"", ""IT2a|f76r.6|G006"", ""IT2a|f76r.6|G007"", ""IT2a|f76r.6|G008"", ""IT2a|f76r.6|G009"", ""IT2a|f76r.6|G010"", ""IT2a|f76r.6|G011"", ""IT2a|f76r.6|G012"", ""IT2a|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holzkohle?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
WOOD	LIGHTNESS	f76r.6	IT2a	"[""IT2a|f76r.6|G001"", ""IT2a|f76r.6|G002"", ""IT2a|f76r.6|G003"", ""IT2a|f76r.6|G004"", ""IT2a|f76r.6|G005"", ""IT2a|f76r.6|G006"", ""IT2a|f76r.6|G007"", ""IT2a|f76r.6|G008"", ""IT2a|f76r.6|G009"", ""IT2a|f76r.6|G010"", ""IT2a|f76r.6|G011"", ""IT2a|f76r.6|G012"", ""IT2a|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holz?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
CHARCOAL	LIGHTNESS	f76r.6	IT2a	"[""IT2a|f76r.6|G001"", ""IT2a|f76r.6|G002"", ""IT2a|f76r.6|G003"", ""IT2a|f76r.6|G004"", ""IT2a|f76r.6|G005"", ""IT2a|f76r.6|G006"", ""IT2a|f76r.6|G007"", ""IT2a|f76r.6|G008"", ""IT2a|f76r.6|G009"", ""IT2a|f76r.6|G010"", ""IT2a|f76r.6|G011"", ""IT2a|f76r.6|G012"", ""IT2a|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holzkohle?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
WOOD	ASCENT	f76r.6	RF1b	"[""RF1b|f76r.6|G001"", ""RF1b|f76r.6|G002"", ""RF1b|f76r.6|G003"", ""RF1b|f76r.6|G004"", ""RF1b|f76r.6|G005"", ""RF1b|f76r.6|G006"", ""RF1b|f76r.6|G007"", ""RF1b|f76r.6|G008"", ""RF1b|f76r.6|G009"", ""RF1b|f76r.6|G010"", ""RF1b|f76r.6|G011"", ""RF1b|f76r.6|G012"", ""RF1b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holz?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
CHARCOAL	ASCENT	f76r.6	RF1b	"[""RF1b|f76r.6|G001"", ""RF1b|f76r.6|G002"", ""RF1b|f76r.6|G003"", ""RF1b|f76r.6|G004"", ""RF1b|f76r.6|G005"", ""RF1b|f76r.6|G006"", ""RF1b|f76r.6|G007"", ""RF1b|f76r.6|G008"", ""RF1b|f76r.6|G009"", ""RF1b|f76r.6|G010"", ""RF1b|f76r.6|G011"", ""RF1b|f76r.6|G012"", ""RF1b|f76r.6|G013""]"	"[""solchedy"", ""qokeedy"", ""qopchedy"", ""qokeeo"", ""sol"", ""shedy"", ""qokedy"", ""sheey"", ""okees"", ""al"", ""al"", ""chedain"", ""dar""]"	"[""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE"", ""DEFINITE_SPACE""]"	"[""[solchedy]"", ""[qokeedy]"", ""Holzkohle?"", ""[qokeeo]"", ""[sol]"", ""[shedy]"", ""[qokedy]"", ""[sheey]"", ""[okees]"", ""[al]"", ""[al]"", ""[chedain]"", ""[dar]""]"	C0_COMPETING_CONCRETE_MATERIALS_NOT_IDENTIFICATION
