page	locus	token_ordinal	surface	v63_token_gloss_de	v64_token_gloss_de	v64_changed	v64_rule_id	decision_class	practical_head_de	live_rivals_de	preparation_span_count	preparation_roles	formal_routes	basis
f102v2	f102v2.3	1	oror	zwei Portionen	zwei Portionen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	2	qoteed	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	P001	EXACT_WORKFLOW_WHOLE	Auszug	Zubereitung|Absud	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Abkühlen plus Abziehen bezeichnet hier praktisch das bearbeitete Flüssigprodukt, nicht einen bloßen Stütz-Ansatz.
f104v	f104v.2	3	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	trockene Arzneizubereitung, Gradanfang	1	P037	O_CKH_PREPARATION_PRESERVATION	Arzneizubereitung	Trockenansatz des Arzneikompositums	1	LOCATIVE_CONTEXT	GDT652_EXACT_O_PREP_SURFACE	Die qualifizierte O-CKH-Zubereitung bleibt sichtbar; trocken und Gradanfang werden als Zustand derselben Zubereitung gesprochen.
f104v	f104v.2	4	otaiin	kalter Ansatz, Grad III	kalter Ansatz, Grad III	0	NONE	KEEP_V63	INHERITED	NONE	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	NONE
f104v	f104v.2	5	ydaiin	davon drei Maße	davon drei Maße	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	7	otarar	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der kalten Ansatzfraktion I	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE
f104v	f104v.2	9	otair	zweite kalte Drogenfraktion im Ansatz	zweiter Kaltauszug der Droge	1	P042	LOCAL_CONTEXT_WHOLE	Kaltauszug	zweite Fraktion des kalten Ansatzes	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Konkrete lokale Working Main; die ot-Fraktionsschwestern bleiben bis zur gemeinsamen Runde offen.
