rule_id	surface	uses	practical_head_de	decision_class	live_rivals_de
P001	qoteed	1	Auszug	EXACT_WORKFLOW_WHOLE	Zubereitung|Absud
P002	oteed	1	Auszug	EXACT_WORKFLOW_WHOLE	Zubereitung|Absud
P003	keeod	1	Auszug	EXACT_WORKFLOW_WHOLE	Absud
P004	olord	1	Holzauszug	EXACT_MATERIAL_WORKFLOW_WHOLE	Holzzubereitung|Holzansatz
P005	qoeeo	1	Mazerat	EXACT_LEARNED_WHOLE	zweite Einweichung|zweite Zubereitung
P006	osheey	1	Mazerat	EXACT_MOIST_WHOLE	Einweichung|eingeweichte Zubereitung
P007	otsheody	1	Mazerat	EXACT_MOIST_WHOLE	Einweichung|feuchte Zubereitung
P008	sheody	1	Mazerat	EXACT_MOIST_WHOLE	Einweichung|feuchte Zubereitung
P009	shoko	1	Mazerat	EXACT_MOIST_WHOLE	Feuchtzubereitung|Einweichung
P010	shotchey	1	Mazerat	EXACT_MOIST_WHOLE	Feuchtzubereitung|Einweichung
P011	cheody	3	Masse	TERMINAL_DRY_RESULT	getrocknete Zubereitung|Trockenextrakt|Rückstand
P012	ochdy	1	Trockenmasse	TERMINAL_DRY_RESULT	Trockenzubereitung|Trockenextrakt
P013	oechedy	1	Masse	TERMINAL_DRY_RESULT	getrocknete Zubereitung|Trockenextrakt|Rückstand
P014	kchody	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	heiß getrocknete Masse|Trockenextrakt
P015	chody	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	Trockenrückstand|Trockengut
P016	otchdy	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	Kaltansatz|Trockenrückstand
P017	otchey	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	Kaltansatz|Trockenrückstand
P018	otchy	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	Kaltansatz|Trockenrückstand
P019	okchedy	1	Trockenzubereitung	INTERMEDIATE_DRY_PREPARATION	Heißansatz|Trockenrückstand
P020	etyd	1	Zubereitung	FINISHED_GENERIC_PREPARATION	Auszug|Kaltansatz
P021	teeedy	1	Zubereitung	FINISHED_GENERIC_PREPARATION	Auszug|Absud
P022	adeeody	1	Zubereitung	FINISHED_GENERIC_PREPARATION	Auszug|Charge
P023	okeeeey	1	Zubereitung	FINISHED_GENERIC_PREPARATION	Heißansatz|Absud
P024	okiin	1	Zubereitung	FINISHED_GENERIC_PREPARATION	Heißansatz|Absud
P025	olpchedy	2	Holzextraktpulver	MATERIAL_RESULT_COLLAPSE	getrocknetes Holzpulver|Holzrückstand
