page	locus	token_ordinal	surface	v63_token_gloss_de	v64_token_gloss_de	v64_changed	v64_rule_id	decision_class	practical_head_de	live_rivals_de	preparation_span_count	preparation_roles	formal_routes	basis
f104v	f104v.2	2	qoteed	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	P001	EXACT_WORKFLOW_WHOLE	Auszug	Zubereitung|Absud	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Abkühlen plus Abziehen bezeichnet hier praktisch das bearbeitete Flüssigprodukt, nicht einen bloßen Stütz-Ansatz.
f104v	f104v.2	3	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	trockene Arzneizubereitung, Gradanfang	1	P037	O_CKH_PREPARATION_PRESERVATION	Arzneizubereitung	Trockenansatz des Arzneikompositums	1	LOCATIVE_CONTEXT	GDT652_EXACT_O_PREP_SURFACE	Die qualifizierte O-CKH-Zubereitung bleibt sichtbar; trocken und Gradanfang werden als Zustand derselben Zubereitung gesprochen.
f104v	f104v.2	9	otair	zweite kalte Drogenfraktion im Ansatz	zweiter Kaltauszug der Droge	1	P042	LOCAL_CONTEXT_WHOLE	Kaltauszug	zweite Fraktion des kalten Ansatzes	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Konkrete lokale Working Main; die ot-Fraktionsschwestern bleiben bis zur gemeinsamen Runde offen.
f105r	f105r.2	5	otchdy	kalt-trockener Ansatz, Anfangsstufe erreicht	kalt-trockene Zubereitung, Anfangsstufe erreicht	1	P016	INTERMEDIATE_DRY_PREPARATION	Trockenzubereitung	Kaltansatz|Trockenrückstand	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Anfangsstufe ist noch kein fertiger Rückstand.
f105r	f105r.2	12	cheody	getrockneter Ansatz	getrocknete Masse	1	P011	TERMINAL_DRY_RESULT	Masse	getrocknete Zubereitung|Trockenextrakt|Rückstand	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Ohne sichtbares Abziehen ist getrocknete Masse praktisch sicherer als Rückstand oder Extrakt.
f105r	f105r.31	7	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Ansatz, Gradanfang	1	P043	LOCAL_CONTEXT_WHOLE	heißer Ansatz	Rohstoffklasse I der Heißzubereitung	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Lokale Relationsglättung, keine freie ok/al-Stammprognose.
f105v	f105v.1	5	olpchedy	fertiges Trockenpulver aus Holzansatz	fertiges Holzextraktpulver	1	P025	MATERIAL_RESULT_COLLAPSE	Holzextraktpulver	getrocknetes Holzpulver|Holzrückstand	1	GENITIVE_SOURCE	PROVISIONAL_LOCAL_SCOPE	O-L-P bindet Präparation, Holz und Pulver; Extraktpulver bewahrt die Zubereitungsrelation gegenüber rohem Holzpulver.
f105v	f105v.1	6	opchedaiin	drei Dosen bis zur Mittelstufe getrockneter Pulveransatz	drei Dosen bis zur Mittelstufe getrockneten Pulvers	1	P026	MATERIAL_RESULT_COLLAPSE	Pulver	Pulverzubereitung|Trockenpulver	1	COMPOUND_HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Das sichtbare Pulver trägt das dosierte Trockengut ohne zweiten Ansatzkopf.
f105v	f105v.14	4	olpchedy	fertiges Trockenpulver aus Holzansatz	fertiges Holzextraktpulver	1	P025	MATERIAL_RESULT_COLLAPSE	Holzextraktpulver	getrocknetes Holzpulver|Holzrückstand	1	GENITIVE_SOURCE	PROVISIONAL_LOCAL_SCOPE	O-L-P bindet Präparation, Holz und Pulver; Extraktpulver bewahrt die Zubereitungsrelation gegenüber rohem Holzpulver.
f105v	f105v.14	5	olord	abgezogene Portion Holzansatz	abgezogene Portion Holzauszug	1	P004	EXACT_MATERIAL_WORKFLOW_WHOLE	Holzauszug	Holzzubereitung|Holzansatz	1	QUANTITY_OBJECT	PROVISIONAL_LOCAL_SCOPE	Holzkopf plus abgezogene Portion verlangt ein Produkt, nicht den offenen Arbeitsrahmen.
f107r	f107r.2	5	oteed	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter und abgezogener Auszug	1	P002	EXACT_WORKFLOW_WHOLE	Auszug	Zubereitung|Absud	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Gleicher Abkühl-und-Abzieh-Schluss wie qoteed; Auszug bleibt enger als Absud, weil Kochen nicht geschrieben ist.
f107r	f107r.40	7	olkar	erste erhitzte Holzfraktion im Ansatz	erster heißer Holzauszug	1	P041	LOCAL_CONTEXT_WHOLE	Holzauszug	erste erhitzte Fraktion des Holzansatzes	1	LOCATIVE_CONTEXT	PROVISIONAL_LOCAL_SCOPE	Konkrete lokale Working Main; erst die nächste vollständige O/Q-Fraktionsrunde darf daraus eine Stammprognose machen.
f107r	f107r.40	8	otair	zweite kalte Drogenfraktion im Ansatz	zweiter Kaltauszug der Droge	1	P042	LOCAL_CONTEXT_WHOLE	Kaltauszug	zweite Fraktion des kalten Ansatzes	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Konkrete lokale Working Main; die ot-Fraktionsschwestern bleiben bis zur gemeinsamen Runde offen.
f107r	f107r.40	9	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Ansatz, Gradanfang	1	P043	LOCAL_CONTEXT_WHOLE	heißer Ansatz	Rohstoffklasse I der Heißzubereitung	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Lokale Relationsglättung, keine freie ok/al-Stammprognose.
f107r	f107r.40	10	okal	Rohstoffklasse I im Ansatz, heiß am Gradanfang	Rohstoffklasse I im heißen Ansatz, Gradanfang	1	P043	LOCAL_CONTEXT_WHOLE	heißer Ansatz	Rohstoffklasse I der Heißzubereitung	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Lokale Relationsglättung, keine freie ok/al-Stammprognose.
f10r	f10r.2	10	etyd	bis Mittelstufe gekühlter Ansatz, abgeschlossen	bis Mittelstufe gekühlte Zubereitung, abgeschlossen	1	P020	FINISHED_GENERIC_PREPARATION	Zubereitung	Auszug|Kaltansatz	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Abschluss ist sichtbar, aber kein Extraktions- oder Kochkopf geschrieben.
f112v	f112v.10	3	okchedy	heiß-trockener Ansatz, Mittelstufe erreicht	heiß-trockene Zubereitung, Mittelstufe erreicht	1	P019	INTERMEDIATE_DRY_PREPARATION	Trockenzubereitung	Heißansatz|Trockenrückstand	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Mittelstufe ist noch kein fertiger Rückstand.
