page	locus	token_ordinal	surface	token_char_start	token_char_end	line_char_start	line_char_end	matched_term_de	term_class	token_gloss_de
f104v	f104v.2	2	qoteed	0	6	67	73	Auszug	AUSZUG	Auszug vollständig abkühlen und abziehen
f104v	f104v.2	3	chockhy	9	26	118	135	Arzneizubereitung	ZUBEREITUNG	trockene Arzneizubereitung, Gradanfang
f104v	f104v.2	4	otaiin	7	13	156	162	Ansatz	ANSATZ	kalter Ansatz, Grad III
f104v	f104v.2	5	ydaiin	11	15	185	189	Maße	MASSE	davon drei Maße
f104v	f104v.2	7	otarar	31	45	251	265	Ansatzfraktion	ANSATZ	erste Unterfraktion der kalten Ansatzfraktion I
f104v	f104v.2	9	otair	8	18	339	349	Kaltauszug	AUSZUG	zweiter Kaltauszug der Droge
f104v	f104v.2	10	oram	16	22	377	383	Ansatz	ANSATZ	eine Maßportion Ansatz
f105r	f105r.2	1	dshees	36	50	36	50	Arzneimischung	MISCHUNG	eine Dosis vollständig eingeweichte Arzneimischung
f105r	f105r.2	5	otchdy	14	25	135	146	Zubereitung	ZUBEREITUNG	kalt-trockene Zubereitung, Anfangsstufe erreicht
f105r	f105r.2	6	qodor	13	19	184	190	Ansatz	ANSATZ	eine Portion Ansatz abmessen
f105r	f105r.2	10	okees	29	37	312	320	Ansatzes	ANSATZ	Charge vollständig erhitzten Ansatzes
f105r	f105r.2	11	odar	6	20	328	342	Ansatzfraktion	ANSATZ	erste Ansatzfraktion abmessen
f105r	f105r.2	12	cheody	12	17	365	370	Masse	MASSE	getrocknete Masse
f105r	f105r.2	13	qody	8	19	380	391	Zubereitung	ZUBEREITUNG	fertige Zubereitung
f105r	f105r.31	1	kodeey	40	57	40	57	Zubereitungsdosis	ZUBEREITUNG	vollständig erhitzte und abgeschlossene Zubereitungsdosis
f105r	f105r.31	7	okal	27	33	244	250	Ansatz	ANSATZ	Rohstoffklasse I im heißen Ansatz, Gradanfang
f105r	f105r.31	13	fchoky	14	31	407	424	Blütenzubereitung	ZUBEREITUNG	heiß-trockene Blütenzubereitung in Grundform
f105v	f105v.1	2	oair	7	21	45	59	Ansatzfraktion	ANSATZ	zweite Ansatzfraktion
f105v	f105v.1	5	olpchedy	9	26	141	158	Holzextraktpulver	EXTRAKT	fertiges Holzextraktpulver
f105v	f105v.1	7	dairody	20	34	233	247	Ansatzfraktion	ANSATZ	fertige abgemessene Ansatzfraktion II
f105v	f105v.14	4	olpchedy	9	26	149	166	Holzextraktpulver	EXTRAKT	fertiges Holzextraktpulver
f105v	f105v.14	5	olord	19	29	187	197	Holzauszug	AUSZUG	abgezogene Portion Holzauszug
f105v	f105v.14	8	odar	6	20	242	256	Ansatzfraktion	ANSATZ	erste Ansatzfraktion abmessen
f106r	f106r.23	8	otedy	7	13	293	299	Ansatz	ANSATZ	kalter Ansatz, Mittelstufe erreicht
f107r	f107r.2	2	qoteos	34	46	89	101	Ansatzcharge	ANSATZ	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen
f107r	f107r.2	5	oteed	40	46	192	198	Auszug	AUSZUG	vollständig abgekühlter und abgezogener Auszug
f107r	f107r.2	9	olkeey	0	10	288	298	Holzansatz	ANSATZ	Holzansatz vollständig erhitzt
f107r	f107r.2	10	qotain	7	13	327	333	Ansatz	ANSATZ	kalter Ansatz, Grad II
f107r	f107r.40	6	okaiin	7	13	139	145	Ansatz	ANSATZ	heißer Ansatz, Grad III
f107r	f107r.40	7	olkar	14	24	171	181	Holzauszug	AUSZUG	erster heißer Holzauszug
f107r	f107r.40	8	otair	8	18	191	201	Kaltauszug	AUSZUG	zweiter Kaltauszug der Droge
f107r	f107r.40	9	okal	27	33	240	246	Ansatz	ANSATZ	Rohstoffklasse I im heißen Ansatz, Gradanfang
f107r	f107r.40	10	okal	27	33	287	293	Ansatz	ANSATZ	Rohstoffklasse I im heißen Ansatz, Gradanfang
f10r	f10r.2	2	cthoor	13	24	68	79	Krautansatz	ANSATZ	eine Portion Krautansatz
f10r	f10r.2	5	os	0	12	128	140	Ansatzcharge	ANSATZ	Ansatzcharge
f10r	f10r.2	7	otytchol	30	36	196	202	Ansatz	ANSATZ	nachgekühlter Trockenstoff im Ansatz
f10r	f10r.2	8	oky	7	13	211	217	Ansatz	ANSATZ	heißer Ansatz am Anfang des Grades
f10r	f10r.2	9	daiin	32	40	272	280	Ansatzes	ANSATZ	Qualitätsgrad III des erhitzten Ansatzes
f10r	f10r.2	10	etyd	25	36	307	318	Zubereitung	ZUBEREITUNG	bis Mittelstufe gekühlte Zubereitung, abgeschlossen
f112r	f112r.36	2	ol	0	11	18	29	Grundansatz	ANSATZ	Grundansatz
f112r	f112r.36	4	olchain	0	10	73	83	Holzansatz	ANSATZ	Holzansatz, trocken auf Stufe II
f112r	f112r.36	5	okeey	7	13	114	120	Ansatz	ANSATZ	heißer Ansatz am Ende des Grades
f112v	f112v.10	3	okchedy	14	25	56	67	Zubereitung	ZUBEREITUNG	heiß-trockene Zubereitung, Mittelstufe erreicht
f113v	f113v.12	1	solchedy	32	42	32	42	Samenmasse	MASSE	bis zur Mittelstufe getrocknete Samenmasse
f113v	f113v.12	2	otsheody	29	36	73	80	Mazerat	MAZERAT	fertiges kalt angefeuchtetes Mazerat
f113v	f113v.12	4	olchey	0	10	102	112	Holzansatz	ANSATZ	Holzansatz, bis Mittelstufe getrocknet
f113v	f113v.17	4	olkar	14	24	116	126	Holzauszug	AUSZUG	erster heißer Holzauszug
f113v	f113v.17	5	okaiin	7	13	135	141	Ansatz	ANSATZ	heißer Ansatz, Grad III
f113v	f113v.3	3	chotar	31	46	63	78	Trockenansatzes	ANSATZ	erste Fraktion des abgekühlten Trockenansatzes
f113v	f113v.3	4	okeeodar	53	60	133	140	Auszugs	AUSZUG	erste abgemessene Fraktion des vollständig erhitzten Auszugs
f113v	f113v.3	6	olol	0	16	157	173	Holz-Grundansatz	ANSATZ	Holz-Grundansatz
f114r	f114r.24	6	cphochy	42	48	247	253	Ansatz	ANSATZ	leicht angetrocknetes Arzneikompositum im Ansatz
f114r	f114r.24	7	chos	12	25	267	280	Trockenansatz	ANSATZ	eine Charge Trockenansatz
f114r	f114r.24	10	chopo	0	17	330	347	Pulverzubereitung	ZUBEREITUNG	Pulverzubereitung aus Trockengut
f114r	f114r.24	10	chopo	22	32	352	362	Trockengut	TROCKENGUT	Pulverzubereitung aus Trockengut
f114r	f114r.26	1	ycheeodaiin	31	46	31	46	Trockenansatzes	ANSATZ	hiervon drei Dosen des zweiten Trockenansatzes abmessen
f114r	f114r.26	2	olkaiir	15	25	72	82	Holzauszug	AUSZUG	dritter heißer Holzauszug
f114r	f114r.26	4	chodaiin	0	13	100	113	Trockenansatz	ANSATZ	Trockenansatz, Dosis III
f114r	f114r.26	5	okar	14	26	140	152	Drogenauszug	AUSZUG	erster heißer Drogenauszug
f114r	f114r.26	7	okaiin	7	13	191	197	Ansatz	ANSATZ	heißer Ansatz, Grad III
f114r	f114r.26	8	cheody	12	17	221	226	Masse	MASSE	getrocknete Masse
f114r	f114r.26	9	airoy	26	37	254	265	Grundansatz	ANSATZ	zweite Drogenfraktion als Grundansatz
f114v	f114v.36	2	oidal	31	42	72	83	Grundansatz	ANSATZ	abgemessene Rohstoffmenge I im Grundansatz
f114v	f114v.36	3	op	0	17	85	102	Pulverzubereitung	ZUBEREITUNG	Pulverzubereitung
f114v	f114v.36	4	shoko	10	17	114	121	Mazerat	MAZERAT	erhitztes Mazerat
f114v	f114v.36	5	otchey	14	25	137	148	Zubereitung	ZUBEREITUNG	kalt-trockene Zubereitung in der Mitte des Grades
