family	tail_recipe	old_surface_type_count	old_event_count	example_surfaces
O_CLOSE	O+DY	30	45	cheeckhody | ckhody | cpheody | dchody | dody | dshody | fshody | ody | okalody | olcheody | olcheol | olcheor
O_CLOSE	O+D_ADDR+Y	17	37	cheeody | chekody | chody | octhody | okeeody | okeody | olsheody | qodchy | qokeeody | qokeody | qokeoefy | sheody
O_CLOSE	O+Y	20	36	aloy | chekoy | cheody | cheoy | cphoy | ctheody | dorsheoy | doy | kshoy | okchoy | okeoy | okochey
OL_CLOSE	OL	107	420	alol | arol | cfhol | chckhol | chcthol | chdol | chedol | cheeol | chekeol | chekol | cheorol | chepol
OL_CLOSE	O+L	6	35	cheol | ocheol | okearcheol | salcheol | tcheol | ycheol
D_IIN_R	D_ADDR+IIN+R	0	0	NONE
D_IIN_R	D_ADDR+AIIN+R	0	0	NONE
S_IIN_S	S+IIN+S	0	0	NONE
S_IIN_S	S+A_ADDR+IIN+S	0	0	NONE
S_IIN_S	S+AIIN+S	0	0	NONE
