surface	truth_recipe	candidate_is_truth	gdt517_compiler_rank	gdt520_rank	gdt521_rank	candidate_recipe	gdt520_score	order5_nll	gdt521_score	alignment_trace
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	1	1	1	AIIN+CH+T+Y	3.596097496	4.275401813	5.733798402	aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	2	2	2	IIN+CH+T+Y	5.075810290	4.428185063	7.289902821	aii=>iin~IIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	3	3	3	AIIN+LOCAL_C+T+Y	6.479768527	4.275401813	8.617469433	aii=>aiin~AIIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	7	4	4	A_ADDR+LOCAL_CHAR_I+CH+T+Y	7.287205895	3.865847640	9.220129716	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | icthy=>cthy~CH+T+Y@edit1+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	5	5	5	A_ADDR+IIN+CH+T+Y	7.346778249	4.041541061	9.367548780	a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	4	6	6	IIN+LOCAL_C+T+Y	7.554016213	4.428185063	9.768108744	aii=>iin~IIN@edit2+alias0.000 | c=>c~LOCAL_C@edit0+alias0.000 | thy=>thy~T+Y@edit0+alias0.250
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	10	7	7	AIN+LOCAL_CHAR_I+CH+T+Y	8.141274699	4.158184164	10.220366781	ai=>ain~AIN@edit2+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	9	8	8	A_ADDR+AIIN+CH+T+Y	8.476359174	4.041541061	10.497129704	∅=>a~A_ADDR@edit2+alias0.000 | aii=>aiin~AIIN@edit2+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	YES	6	9	9	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	8.818032055	3.854182211	10.745123160	a=>a~A_ADDR@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
aiicthy	A_ADDR+LOCAL_CHAR_I+LOCAL_CHAR_I+CH+T+Y	NO	8	10	10	A_ADDR+IIN+LOCAL_CHAR_I+CH+T+Y	9.747842653	4.004776572	11.750230939	a=>a~A_ADDR@edit0+alias0.000 | i=>in~IIN@edit2+alias0.534 | i=>i~LOCAL_CHAR_I@edit0+alias0.000 | cthy=>cthy~CH+T+Y@edit0+alias0.501
