record	page	title_de	statements	taught_macro_statements	one_off_statements	continuous_translation_de
H1	f10r	erste Pflanzenanweisung	2	0	2	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß. Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.
H2	f10r	zweiter Pflanzenabsatz	3	2	1	Bei der abgebildeten Pflanze: Den bezeichneten Stoff vorbereiten. Vollfolge: abziehen. Angaben: bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten. Bei der abgebildeten Pflanze: Den bezeichneten Stoff vorbereiten. Vollfolge: abziehen. Angaben: Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort. Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.
H3	f11r	Blütenpflanzenfolge	4	2	2	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen. Bei der abgebildeten Blütenpflanze: halten + eintragen. Am sichtbaren Besitzer: Die vorgesehene Menge einfüllen. Vollfolge: zugeben. Angaben: fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß. Am sichtbaren Besitzer: Die vorgesehene Menge einfüllen. Vollfolge: weiter beschicken. Angaben: danach · dieser Posten | bereit · dieser Posten | dieser Posten.
H4	f55v	breitblättrige Pflanzenfolge	4	1	3	Bei der abgebildeten Pflanze: Bis zum Sollmaß beschicken und abschließen. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben. Angaben: vorgeschriebenes Maß | Arbeitsgang; Schritt schließen. Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß. Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen. Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.
H5	f56r	mehrköpfige Pflanzenfolge	6	1	5	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle. Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten. Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe. Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen. Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion. Bei der abgebildeten Pflanze: Die vorgesehene Menge einfüllen. Vollfolge: zugeben. Angaben: danach · dieser Posten | vorgeschriebenes Maß.
B1	f81v	gemeinsames Becken	21	12	9	Am gemeinsamen Becken: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten. Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen. Am gemeinsamen Becken: Weiterführen, auffangen oder absetzen und abschließen. Vollfolge: umschöpfen → absetzen lassen. Angaben: fortsetzen. Am gemeinsamen Becken: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. Bei dem gemeinsamen Becken: eine Portion einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten. Am gemeinsamen Becken: Eine Portion einfüllen, weiterführen und abschließen. Vollfolge: einsetzen + überführen. Am gemeinsamen Becken: Einwirken lassen, absetzen und abschließen. Vollfolge: warm halten → absetzen lassen. Angaben: dieser Posten | fortsetzen | fortsetzen. Am gemeinsamen Becken: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Am gemeinsamen Becken: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Am gemeinsamen Becken: Zur nächsten sichtbaren Station führen. Vollfolge: einleiten. Angaben: Durchlass · dieser Posten. Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen. Bei dem gemeinsamen Becken: durchwaschen. Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort. Am gemeinsamen Becken: Von der vorigen Station übernehmen, beschicken, weiterführen und abschließen. Vollfolge: übertragen → einsetzen + überführen. Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen. Am gemeinsamen Becken: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: umfüllen. Angaben: bezeichnete Stelle | kurz · fortsetzen. Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe. Am gemeinsamen Becken: Ruhen und absetzen lassen; danach abschließen. Vollfolge: absetzen lassen. Am gemeinsamen Becken: Einwirken oder stehen lassen und danach abschließen. Vollfolge: warm halten → zurückhalten. Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.
B2	f82r	Becken- und Randstationen	22	16	6	Am oberen Beckenpaar: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. Am oberen Beckenpaar: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. Am oberen Beckenpaar: Eine Portion einfüllen, einwirken lassen und abschließen. Vollfolge: eine Portion einfüllen → einwirken lassen. Angaben: dieser Posten. Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten. Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen. Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann den Arbeitsstoff einsetzen. Angaben: danach · länger · dieser Posten. Am mittleren Handgerät: Ruhen und absetzen lassen; danach abschließen. Vollfolge: ruhen lassen. Am mittleren Handgerät: Beschicken, absetzen lassen und abschließen. Vollfolge: aus der bezeichneten Quelle beschicken → absetzen lassen. Angaben: danach · vorgeschriebenes Maß. Am mittleren Handgerät: Ruhen und absetzen lassen; danach abschließen. Vollfolge: ruhen lassen. Bei dem mittleren Handgerät: wirken lassen; dann den Arbeitsstoff einsetzen; dann stehen lassen. Angaben: weiter. An der mittleren rechten Station: Eine Portion einfüllen, einwirken lassen und abschließen. Vollfolge: eine Portion einfüllen → eine Portion einfüllen → einwirken lassen. Angaben: von dort. Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten. Am unteren grünen Becken: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen. Am unteren grünen Becken: Zur nächsten sichtbaren Station führen. Vollfolge: ableiten. An den kleinen Randstationen: Einwirken oder stehen lassen und danach abschließen. Vollfolge: stehen lassen → einwirken lassen. Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten. An den kleinen Randstationen: Temperieren, ruhen oder absetzen und abschließen. Vollfolge: abkühlen lassen + ruhen lassen. Angaben: bezeichnete Stelle; Schritt schließen. An den kleinen Randstationen: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. An den kleinen Randstationen: Temperieren, ruhen oder absetzen und abschließen. Vollfolge: auskühlen lassen + absetzen lassen. An den kleinen Randstationen: Den laufenden Arbeitsschritt abschließen. Vollfolge: NO_EXPLICIT_ACTION_CARD. Angaben: danach · länger; Schritt schließen. An den kleinen Randstationen: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. An den kleinen Randstationen: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen.
B3	f83r	Gefäß- und Figurenstationen	34	26	8	Bei der oberen Fächerstation: auffangen und stehen lassen. Bei der oberen Fächerstation: anwärmen. Angaben: danach · bezeichnete Stelle. Bei der oberen Fächerstation: abführen + abmessen und umsetzen. Angaben: dieser Posten | vorgeschriebenes Maß | dieser Posten. An der oberen Fächerstation: Die vorgesehene Menge einfüllen. Vollfolge: bis zum Sollmaß beschicken. Angaben: danach · bezeichnete Stelle | von dort. Am runden Gefäß: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: umfüllen. Bei dem runden Gefäß: umschöpfen; dann anlegen; dann in die nächste Station weitergeben. Bei dem runden Gefäß: bis zum Sollmaß beschicken; dann umschöpfen; dann einwirken lassen. Am runden Gefäß: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen. Am runden Gefäß: Die vorgesehene Menge einfüllen. Vollfolge: den Arbeitsstoff einsetzen. Am korbartigen Gefäß: Eine Portion einfüllen, weiterführen und abschließen. Vollfolge: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen. Bei dem korbartigen Gefäß: halten + umsetzen; dann den Arbeitsstoff einsetzen; dann umschöpfen. Angaben: von dort · dieser Posten. Am korbartigen Gefäß: Ruhen und absetzen lassen; danach abschließen. Vollfolge: absetzen lassen. Angaben: Ansatz. Am korbartigen Gefäß: Eine Portion einfüllen, einwirken lassen und abschließen. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dieser Posten. Am korbartigen Gefäß: Weiterführen, auffangen oder absetzen und abschließen. Vollfolge: einleiten → ruhen lassen. Am korbartigen Gefäß: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen. Am korbartigen Gefäß: Von der vorigen Station übernehmen, beschicken, weiterführen und abschließen. Vollfolge: führen → einsetzen + überführen. Im getrennten Zwischenbereich: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Im getrennten Zwischenbereich: Ruhen und absetzen lassen; danach abschließen. Vollfolge: absetzen lassen. Im getrennten Zwischenbereich: Einwirken lassen, absetzen und abschließen. Vollfolge: einwirken lassen + ruhen lassen. Im getrennten Zwischenbereich: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: hinleiten + umfüllen. Angaben: bezeichnete Stelle. Bei dem getrennten Zwischenbereich: bis zum Sollmaß beschicken; dann ablagern; dann stehen lassen; dann umfüllen. Angaben: bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten. Im getrennten Zwischenbereich: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. Im getrennten Zwischenbereich: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen. Im getrennten Zwischenbereich: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. Im getrennten Zwischenbereich: Eine Portion einfüllen, weiterführen und abschließen. Vollfolge: einsetzen + überführen. Bei dem getrennten Zwischenbereich: ableiten; dann umschöpfen; dann eine Portion einfüllen; dann abkühlen lassen; dann auffangen und stehen lassen. Angaben: länger · von dort | bereit · dieser Posten. Am Figurenpaar in B3: Den laufenden Arbeitsschritt abschließen. Vollfolge: NO_EXPLICIT_ACTION_CARD. Angaben: danach · länger; Schritt schließen. Am Figurenpaar in B3: Einwirken oder stehen lassen und danach abschließen. Vollfolge: wirken lassen → einwirken lassen. Am Figurenpaar in B3: Eine Portion einfüllen, einwirken lassen und abschließen. Vollfolge: eintragen → einwirken lassen. Angaben: fortsetzen. Am Figurenpaar in B3: Eine Portion einfüllen, weiterführen und abschließen. Vollfolge: den Arbeitsstoff einsetzen → durchleiten → in die nächste Station weitergeben. Angaben: vorgeschriebenes Maß. Am Figurenpaar in B3: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Am Figurenpaar in B3: Bis zum Sollmaß beschicken und abschließen. Vollfolge: abmessen und umsetzen → abmessen und umsetzen. Angaben: danach · kurz · vorgeschriebenes Maß | danach · vorgeschriebenes Maß | danach · kurz; Schritt schließen. Am Figurenpaar in B3: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen. Am Figurenpaar in B3: Beschicken, absetzen lassen und abschließen. Vollfolge: eintragen → ablagern. Angaben: Arbeitsgang · Sollstufe | bereit · dieser Posten | danach · vorgeschriebenes Maß | fortsetzen · bezeichnete Stelle · dieser Posten.
B4	f83r	Paar- und Hauptstationen	16	11	5	Am Figurenpaar in B4: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen. Am Figurenpaar in B4: Einwirken oder stehen lassen und danach abschließen. Vollfolge: wirken lassen → einwirken lassen. Angaben: fortsetzen · dieser Posten. Bei dem Figurenpaar in B4: umschöpfen; dann anlegen; dann den Arbeitsstoff einsetzen; dann absetzen lassen. Angaben: danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen. Bei dem Figurenpaar in B4: einsetzen + festbinden. Am Figurenpaar in B4: Eine Portion einfüllen, einwirken lassen und abschließen. Vollfolge: abmessen und umsetzen → einwirken lassen. Angaben: Portion. Am Figurenpaar in B4: Einwirken oder stehen lassen und danach abschließen. Vollfolge: zurückhalten. Am Figurenpaar in B4: Einwirken oder stehen lassen und danach abschließen. Vollfolge: zurückhalten. Am Figurenpaar in B4: Einwirken oder stehen lassen und danach abschließen. Vollfolge: warm halten → einwirken lassen → einwirken lassen. Angaben: vorgeschriebenes Maß. Am Figurenpaar in B4: Ruhen und absetzen lassen; danach abschließen. Vollfolge: absetzen lassen. Am Figurenpaar in B4: Den laufenden Arbeitsschritt abschließen. Vollfolge: NO_EXPLICIT_ACTION_CARD. Angaben: fortsetzen; Schritt schließen. Bei der linken Hauptstation: warm halten; dann wirken lassen; dann eine Portion einfüllen; dann umschöpfen; dann abführen + zugeben. Angaben: vorgeschriebenes Maß | fortsetzen. An der linken Hauptstation: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: abführen + überführen. An der linken Hauptstation: Beschicken, absetzen lassen und abschließen. Vollfolge: weiter beschicken → absetzen lassen. An der linken Hauptstation: Den laufenden Arbeitsschritt abschließen. Vollfolge: NO_EXPLICIT_ACTION_CARD. Angaben: Ansatz | dieser Posten | Arbeitsgang · Durchlass · kurz · dieser Posten | laufender Bestand · dieser Posten; Schritt schließen. Bei der linken Hauptstation: eine Portion einfüllen; dann stehen lassen; dann dosiert zugeben; dann ablaufen lassen; dann auffangen; dann abführen + überführen. Bei der rechten S-Station: dosiert zugeben; dann zuführen; dann absetzen lassen. Angaben: bezeichnete Stelle.
B5	f83r	linker Nachtrag	3	2	1	An der linken Nachtragsstation: Zur nächsten sichtbaren Station führen und dort abschließen. Vollfolge: in die nächste Station weitergeben. An der linken Nachtragsstation: Eine Portion einfüllen, weiterführen und abschließen. Vollfolge: einsetzen + überführen. Bei der linken Nachtragsstation: ablagern; dann hinleiten; dann umfüllen; dann abmessen und umsetzen. Angaben: bezeichnete Stelle | fortsetzen | vorgeschriebenes Maß | fortsetzen | zweite · Sollstufe.
