macro_id	phase_signature	natural_recipe_reading_de	statements	records	full_expansion_required
WM01	ROUTE>CLOSE	Zur nächsten sichtbaren Station führen und dort abschließen.	16	5	YES
WM02	HOLD>CLOSE	Einwirken oder stehen lassen und danach abschließen.	15	4	YES
WM03	SETTLE>CLOSE	Ruhen und absetzen lassen; danach abschließen.	6	4	YES
WM04	MEASURE_CHARGE	Die vorgesehene Menge einfüllen.	5	3	YES
WM05	MEASURE_CHARGE>HOLD>CLOSE	Eine Portion einfüllen, einwirken lassen und abschließen.	5	3	YES
WM06	MEASURE_CHARGE>ROUTE>CLOSE	Eine Portion einfüllen, weiterführen und abschließen.	5	3	YES
WM07	CLOSE	Den laufenden Arbeitsschritt abschließen.	4	3	YES
WM08	MEASURE_CHARGE>SETTLE>CLOSE	Beschicken, absetzen lassen und abschließen.	3	3	YES
WM09	HOLD>SETTLE>CLOSE	Einwirken lassen, absetzen und abschließen.	2	2	YES
WM10	MATERIAL_PREP	Den bezeichneten Stoff vorbereiten.	2	1	YES
WM11	MEASURE_CHARGE>CLOSE	Bis zum Sollmaß beschicken und abschließen.	2	2	YES
WM12	ROUTE	Zur nächsten sichtbaren Station führen.	2	2	YES
WM13	ROUTE>MEASURE_CHARGE>ROUTE>CLOSE	Von der vorigen Station übernehmen, beschicken, weiterführen und abschließen.	2	2	YES
WM14	ROUTE>SETTLE>CLOSE	Weiterführen, auffangen oder absetzen und abschließen.	2	2	YES
WM15	THERMAL>SETTLE>CLOSE	Temperieren, ruhen oder absetzen und abschließen.	2	1	YES
