statement_id	page	record	silent_owner_de	phase_signature	macro_id	editorial_mode	full_action_sequence_de	argument_sequence_de	natural_complete_translation_de	all_actions_visible
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	NONE	EXPLICIT_ONE_OFF_SEQUENCE	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen	bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß.	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	SPECIALIST>MATERIAL_PREP	NONE	EXPLICIT_ONE_OFF_SEQUENCE	Pflanzenstoff in den Ansatz geben → abnehmen	fortsetzen | bereit · dieser Posten	Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	MATERIAL_PREP	WM10	NATURAL_MACRO_PLUS_FULL_EXPANSION	abziehen	bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	Bei der abgebildeten Pflanze: Den bezeichneten Stoff vorbereiten. Vollfolge: abziehen. Angaben: bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	MATERIAL_PREP	WM10	NATURAL_MACRO_PLUS_FULL_EXPANSION	abziehen	Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	Bei der abgebildeten Pflanze: Den bezeichneten Stoff vorbereiten. Vollfolge: abziehen. Angaben: Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort.	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	MEASURE_CHARGE>MATERIAL_PREP	NONE	EXPLICIT_ONE_OFF_SEQUENCE	zugeben → zugeben → abziehen	Ansatz | Ansatz | dieser Posten | dieser Posten	Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	NONE	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	HOLD>MATERIAL_PREP	NONE	EXPLICIT_ONE_OFF_SEQUENCE	halten + eintragen	NONE	Bei der abgebildeten Blütenpflanze: halten + eintragen.	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	MEASURE_CHARGE	WM04	NATURAL_MACRO_PLUS_FULL_EXPANSION	zugeben	fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß	Am sichtbaren Besitzer: Die vorgesehene Menge einfüllen. Vollfolge: zugeben. Angaben: fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß.	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	MEASURE_CHARGE	WM04	NATURAL_MACRO_PLUS_FULL_EXPANSION	weiter beschicken	danach · dieser Posten | bereit · dieser Posten | dieser Posten	Am sichtbaren Besitzer: Die vorgesehene Menge einfüllen. Vollfolge: weiter beschicken. Angaben: danach · dieser Posten | bereit · dieser Posten | dieser Posten.	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	MEASURE_CHARGE>CLOSE	WM11	NATURAL_MACRO_PLUS_FULL_EXPANSION	bis zum Sollmaß beschicken → dosiert zugeben → zugeben	vorgeschriebenes Maß | Arbeitsgang; Schritt schließen	Bei der abgebildeten Pflanze: Bis zum Sollmaß beschicken und abschließen. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → zugeben. Angaben: vorgeschriebenes Maß | Arbeitsgang; Schritt schließen.	YES
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	MEASURE_CHARGE>SETTLE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	abmessen und umsetzen → verwahren	vorgeschriebenes Maß	Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß.	YES
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	dosiert zugeben → entnehmen → temperieren	fortsetzen; Schritt schließen	Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen.	YES
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	APPLY>MATERIAL_PREP	NONE	EXPLICIT_ONE_OFF_SEQUENCE	anlegen → eintragen	vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion	Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.	YES
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	NONE	EXPLICIT_ONE_OFF_SEQUENCE	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben	Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle.	YES
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	APPLY>ROUTE>CLOSE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	anlegen → ablaufen lassen	fortsetzen | Gabe · dieser Posten	Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten.	YES
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	HOLD>MEASURE_CHARGE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	ziehen lassen → zugeben → einsetzen + einsetzen	Gabe	Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	SPECIALIST>MATERIAL_PREP>ROUTE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen	NONE	Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen.	YES
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	SPECIALIST>MEASURE_CHARGE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	ansetzen → zugeben	Gabe | danach · Arbeitsgang · Portion	Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion.	YES
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	MEASURE_CHARGE	WM04	NATURAL_MACRO_PLUS_FULL_EXPANSION	zugeben	danach · dieser Posten | vorgeschriebenes Maß	Bei der abgebildeten Pflanze: Die vorgesehene Menge einfüllen. Vollfolge: zugeben. Angaben: danach · dieser Posten | vorgeschriebenes Maß.	YES
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	HOLD>CLOSE	WM02	NATURAL_MACRO_PLUS_FULL_EXPANSION	einwirken lassen	NONE	Am gemeinsamen Becken: Einwirken oder stehen lassen und danach abschließen. Vollfolge: einwirken lassen.	YES
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	NONE	EXPLICIT_ONE_OFF_SEQUENCE	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.	YES
