statement_id	page	record	learning_mode	phase_signature	events	breath_groups	group_ids	complete
H1-S001	f10r	H1	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	10	3	H1-S001-G01|H1-S001-G02|H1-S001-G03	YES
H3-S001	f11r	H3	FREE_COMPOSITION	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	7	2	H3-S001-G01|H3-S001-G02	YES
H4-S003	f55v	H4	EXTENDED_TWO_EDIT_VARIANT	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	4	1	H4-S003-G01	YES
H5-S001	f56r	H5	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	9	3	H5-S001-G01|H5-S001-G02|H5-S001-G03	YES
H5-S004	f56r	H5	EXTENDED_TWO_EDIT_VARIANT	SPECIALIST>MATERIAL_PREP>ROUTE	3	1	H5-S004-G01	YES
B1-S002	f81v	B1	FREE_COMPOSITION	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	19	5	B1-S002-G01|B1-S002-G02|B1-S002-G03|B1-S002-G04|B1-S002-G05	YES
B1-S012	f81v	B1	EXTENDED_TWO_EDIT_VARIANT	WASH>HOLD>WASH>CLOSE	3	1	B1-S012-G01	YES
B1-S018	f81v	B1	EXTENDED_TWO_EDIT_VARIANT	ROUTE>HOLD>SETTLE>HOLD>CLOSE	4	1	B1-S018-G01	YES
B2-S004	f82r	B2	FREE_COMPOSITION	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	5	2	B2-S004-G01|B2-S004-G02	YES
B2-S005	f82r	B2	FREE_COMPOSITION	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	8	2	B2-S005-G01|B2-S005-G02	YES
B2-S006	f82r	B2	EXTENDED_TWO_EDIT_VARIANT	APPLY>HOLD>MEASURE_CHARGE	4	1	B2-S006-G01	YES
B2-S010	f82r	B2	EXTENDED_TWO_EDIT_VARIANT	HOLD>MEASURE_CHARGE>HOLD	4	1	B2-S010-G01	YES
B2-S012	f82r	B2	FREE_COMPOSITION	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	8	2	B2-S012-G01|B2-S012-G02	YES
B2-S016	f82r	B2	FREE_COMPOSITION	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	8	2	B2-S016-G01|B2-S016-G02	YES
B3-S011	f83r	B3	FREE_COMPOSITION	HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE	4	1	B3-S011-G01	YES
B3-S021	f83r	B3	EXTENDED_TWO_EDIT_VARIANT	MEASURE_CHARGE>SETTLE>HOLD>ROUTE>CLOSE	11	3	B3-S021-G01|B3-S021-G02|B3-S021-G03	YES
B3-S026	f83r	B3	FREE_COMPOSITION	ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE	7	2	B3-S026-G01|B3-S026-G02	YES
B4-S003	f83r	B4	EXTENDED_TWO_EDIT_VARIANT	ROUTE>APPLY>MEASURE_CHARGE>SETTLE>CLOSE	7	2	B4-S003-G01|B4-S003-G02	YES
B4-S011	f83r	B4	EXTENDED_TWO_EDIT_VARIANT	HOLD>MEASURE_CHARGE>ROUTE>MEASURE_CHARGE>CLOSE	7	2	B4-S011-G01|B4-S011-G02	YES
B4-S015	f83r	B4	FREE_COMPOSITION	MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE	6	2	B4-S015-G01|B4-S015-G02	YES
B5-S003	f83r	B5	EXTENDED_TWO_EDIT_VARIANT	SETTLE>ROUTE>MEASURE_CHARGE	9	3	B5-S003-G01|B5-S003-G02|B5-S003-G03	YES
B6-S001	f83r	B6	FREE_COMPOSITION	SETTLE>MEASURE_CHARGE>THERMAL>ROUTE	9	3	B6-S001-G01|B6-S001-G02|B6-S001-G03	YES
