group_id	statement_id	page	record	group_ordinal	events	event_ids	card_surfaces	breath_group_de	ends_at_close	all_events_retained
H1-S001-G01	H1-S001	f10r	H1	1	4	E001|E002|E003|E004	dchey cthoor char chty	abnehmen; bereit · Gang · Ansatz; davon; übertragen	NO	YES
H1-S001-G02	H1-S001	f10r	H1	2	4	E005|E006|E007|E008	os chair otytchol oky	Arbeitsfach; ablaufen lassen; eintragen + abnehmen; Pflanzenstoff in den Ansatz geben	NO	YES
H1-S001-G03	H1-S001	f10r	H1	3	2	E009|E010	daiin etyd	Maß; eintragen	NO	YES
H3-S001-G01	H3-S001	f11r	H3	1	4	E039|E040|E041|E042	tshol schoal cfhy shfydaiin	eintragen + halten; an Ort halten; auswringen; ziehen lassen	NO	YES
H3-S001-G02	H3-S001	f11r	H3	2	3	E043|E044|E045	cphy shey tchody	hineingeben; ziehen lassen; abschließend eintragen + abziehen	YES	YES
H4-S003-G01	H4-S003	f55v	H4	1	4	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	dosiert zugeben; entnehmen; temperieren; fort; schließe	YES	YES
H5-S001-G01	H5-S001	f56r	H5	1	4	E074|E075|E076|E077	chochor cho chodaly daiin	abziehen; Gabe; Gabe · Ziel · dieser Posten; Maß	NO	YES
H5-S001-G02	H5-S001	f56r	H5	2	4	E078|E079|E080|E081	sho kchol otchor choky	Gabe; zuführen; abziehen; Pflanzenstoff in den Ansatz geben	NO	YES
H5-S001-G03	H5-S001	f56r	H5	3	1	E082	dal	Ziel	NO	YES
H5-S004-G01	H5-S004	f56r	H5	1	3	E091|E092|E093	okchy chokcheo kchal	Pflanzenstoff in den Ansatz geben; ansetzen + abziehen; zuführen	NO	YES
B1-S002-G01	B1-S002	f81v	B1	1	4	E102|E103|E104|E105	okaiin kair okal sar	bis zum Sollmaß beschicken; einspeisen; anlegen; davon	NO	YES
B1-S002-G02	B1-S002	f81v	B1	2	4	E106|E107|E108|E109	ol kain olkain al	fort; dosiert zugeben; dosiert zugeben; Ziel	NO	YES
B1-S002-G03	B1-S002	f81v	B1	3	4	E110|E111|E112|E113	ol rol dl olor	fort; abkühlen lassen; führen; fort · Ansatz	NO	YES
B1-S002-G04	B1-S002	f81v	B1	4	4	E114|E115|E116|E117	ol sheckhal daiin qokeedal	fort; zurückhalten; Maß; anlegen	NO	YES
B1-S002-G05	B1-S002	f81v	B1	5	3	E118|E119|E120	daiin chckhy schedy	Maß; Durchlass · dieser Posten; durchleiten	YES	YES
B1-S012-G01	B1-S012	f81v	B1	1	3	E141|E142|E143	lsho qokey lshedy	waschen; wirken lassen; durchwaschen	YES	YES
B1-S018-G01	B1-S018	f81v	B1	1	4	E159|E160|E161|E162	ly dsheol oiiin olkeedy	führen; stehen lassen; Gang · Sollstufe; auffangen und stehen lassen	YES	YES
B2-S004-G01	B2-S004	f82r	B2	1	4	E172|E173|E174|E175	qokal lcheckhy lched qokeey	anlegen; durchleiten; führen + umsetzen; wirken lassen	NO	YES
B2-S004-G02	B2-S004	f82r	B2	2	1	E176	lcheckhedy	durchleiten	YES	YES
B2-S005-G01	B2-S005	f82r	B2	1	4	E177|E178|E179|E180	qokaly solkaiin chckhy qokaiin	anlegen; bis zum Maß auffangen; Durchlass · dieser Posten; einleiten	NO	YES
B2-S005-G02	B2-S005	f82r	B2	2	4	E181|E182|E183|E184	qokaiin octheol chkeey ldy	einleiten; Gang · bereit · kurz · fort; warm halten; abführen	YES	YES
B2-S006-G01	B2-S006	f82r	B2	1	4	E185|E186|E187|E188	oteey qokal sheckhy qoky	danach · länger · dieser Posten; anlegen; zurückhalten; den Arbeitsstoff einsetzen	NO	YES
B2-S010-G01	B2-S010	f82r	B2	1	4	E194|E195|E196|E197	qokeey qoky ls cheey	wirken lassen; den Arbeitsstoff einsetzen; weiter; stehen lassen	NO	YES
B2-S012-G01	B2-S012	f82r	B2	1	4	E202|E203|E204|E205	lchy cheey qcthey qokeey	führen + abnehmen; stehen lassen; bereit · kurz · dieser Posten; wirken lassen	NO	YES
B2-S012-G02	B2-S012	f82r	B2	2	4	E206|E207|E208|E209	lcheey daiin chey qokeeedy	führen; Maß; dieser Posten; vollständig beschicken und abschließen	YES	YES
B2-S016-G01	B2-S016	f82r	B2	1	4	E214|E215|E216|E217	cheal lchedar ches aiin	Ziel; ableiten + umfüllen; abnehmen + abteilen; Maß	NO	YES
B2-S016-G02	B2-S016	f82r	B2	2	4	E218|E219|E220|E221	oteey qokaiin okey pchedy	danach · länger · dieser Posten; bis zum Sollmaß beschicken; wirken lassen; einfüllen + überführen	YES	YES
B3-S011-G01	B3-S011	f83r	B3	1	4	E250|E251|E252|E253	shecthedchy qoky chedy chary	halten + umsetzen; den Arbeitsstoff einsetzen; umschöpfen; davon · dieser Posten	NO	YES
B3-S021-G01	B3-S021	f83r	B3	1	4	E270|E271|E272|E273	qokaiin shcthy dal sy	bis zum Sollmaß beschicken; bereit · dieser Posten; Ziel; dieser Posten	NO	YES
B3-S021-G02	B3-S021	f83r	B3	2	4	E274|E275|E276|E277	saiin shedal shecthy chey	Maß; ablagern; stehen lassen; dieser Posten	NO	YES
B3-S021-G03	B3-S021	f83r	B3	3	3	E278|E279|E280	tal shcthy dalchdy	Ziel; bereit · dieser Posten; umfüllen	YES	YES
B3-S026-G01	B3-S026	f83r	B3	1	4	E285|E286|E287|E288	cheedar chldaiin chedy qokain	länger · davon; ableiten; umschöpfen; eine Portion einfüllen	NO	YES
B3-S026-G02	B3-S026	f83r	B3	2	3	E289|E290|E291	checthy chealror solkeedy	bereit · dieser Posten; abkühlen lassen; auffangen und stehen lassen	YES	YES
B4-S003-G01	B4-S003	f83r	B4	1	4	E319|E320|E321|E322	chedy otal otchey qokeey	umschöpfen; danach · Ziel; danach · dieser Posten; anlegen	NO	YES
B4-S003-G02	B4-S003	f83r	B4	2	3	E323|E324|E325	qoky tol shedy	den Arbeitsstoff einsetzen; fort; absetzen lassen	YES	YES
B4-S011-G01	B4-S011	f83r	B4	1	4	E338|E339|E340|E341	saiin cheky okeeol okain	Maß; warm halten; wirken lassen; eine Portion einfüllen	NO	YES
B4-S011-G02	B4-S011	f83r	B4	2	3	E342|E343|E344	chdy sol lkedy	umschöpfen; fort; abführen + zugeben	YES	YES
B4-S015-G01	B4-S015	f83r	B4	1	4	E352|E353|E354|E355	qokain shey kain chckhal	eine Portion einfüllen; stehen lassen; dosiert zugeben; ablaufen lassen	NO	YES
B4-S015-G02	B4-S015	f83r	B4	2	2	E356|E357	solkey lchedy	auffangen; abführen + überführen	YES	YES
B5-S003-G01	B5-S003	f83r	B5	1	4	E364|E365|E366|E367	shedal dal cheol lol	ablagern; Ziel; fort; hinleiten	NO	YES
B5-S003-G02	B5-S003	f83r	B5	2	4	E368|E369|E370|E371	chdal aiin sol daiiin	umfüllen; Maß; fort; zweite · Sollstufe	NO	YES
B5-S003-G03	B5-S003	f83r	B5	3	1	E372	chedy	abmessen und umsetzen	NO	YES
B6-S001-G01	B6-S001	f83r	B6	1	4	E373|E374|E375|E376	solkeey qekey raly ol	auffangen; zugeben; abkühlen lassen; fort	NO	YES
B6-S001-G02	B6-S001	f83r	B6	2	4	E377|E378|E379|E380	daiin ol dain chey	Maß; fort; Portion; dieser Posten	NO	YES
B6-S001-G03	B6-S001	f83r	B6	3	1	E381	ldalor	hinleiten	NO	YES
