event_id	page	record	statement_id	group_id	position_in_group	surface	component_parse	spoken_component_sequence_de	short_event_reading_de	is_close_card
E001	f10r	H1	H1-S001	H1-S001-G01	1	dchey	CH+E+Y	ziehe ab · kurz · dies	abnehmen	NO
E002	f10r	H1	H1-S001	H1-S001-G01	2	cthoor	CTH+O+OR	bereit · Gang · Ansatz	bereit · Gang · Ansatz	NO
E003	f10r	H1	H1-S001	H1-S001-G01	3	char	AR	davon	davon	NO
E004	f10r	H1	H1-S001	H1-S001-G01	4	chty	T+Y	trage ein · dies	übertragen	NO
E005	f10r	H1	H1-S001	H1-S001-G02	1	os	OS	Fach	Arbeitsfach	NO
E006	f10r	H1	H1-S001	H1-S001-G02	2	chair	CH+AIR	ziehe ab · Lauf	ablaufen lassen	NO
E007	f10r	H1	H1-S001	H1-S001-G02	3	otytchol	OT+Y+T+CH+OL	danach · dies · trage ein · ziehe ab · fort	eintragen + abnehmen	NO
E008	f10r	H1	H1-S001	H1-S001-G02	4	oky	OK+Y	setze an · dies	Pflanzenstoff in den Ansatz geben	NO
E009	f10r	H1	H1-S001	H1-S001-G03	1	daiin	AIIN	Maß	Maß	NO
E010	f10r	H1	H1-S001	H1-S001-G03	2	etyd	E+T+Y	kurz · trage ein · dies	eintragen	NO
E039	f11r	H3	H3-S001	H3-S001-G01	1	tshol	T+SH+OL	trage ein · halte · fort	eintragen + halten	NO
E040	f11r	H3	H3-S001	H3-S001-G01	2	schoal	SH+O+AL	halte · Gang · dorthin	an Ort halten	NO
E041	f11r	H3	H3-S001	H3-S001-G01	3	cfhy	CFH+Y	wringe aus · dies	auswringen	NO
E042	f11r	H3	H3-S001	H3-S001-G01	4	shfydaiin	SH+Y+AIIN	halte · dies · Maß	ziehen lassen	NO
E043	f11r	H3	H3-S001	H3-S001-G02	1	cphy	P+Y	gib hinein · dies	hineingeben	NO
E044	f11r	H3	H3-S001	H3-S001-G02	2	shey	SH+EE+Y	halte · länger · dies	ziehen lassen	NO
E045	f11r	H3	H3-S001	H3-S001-G02	3	tchody	T+CH+O+DY	trage ein · ziehe ab · Gang · schließe	abschließend eintragen + abziehen	YES
E064	f55v	H4	H4-S003	H4-S003-G01	1	ykaiin	Y+K+AIIN	dies · gib zu · Maß	dosiert zugeben	NO
E065	f55v	H4	H4-S003	H4-S003-G01	2	cheoar	CH+E+O+AR	ziehe ab · kurz · Gang · davon	entnehmen	NO
E066	f55v	H4	H4-S003	H4-S003-G01	3	cheeky	CHK+EE+Y	wärme · länger · dies	temperieren	NO
E067	f55v	H4	H4-S003	H4-S003-G01	4	oldy	OL+DY	fort · schließe	fort; schließe	YES
E074	f56r	H5	H5-S001	H5-S001-G01	1	chochor	HO+CH+OR	Gabe · ziehe ab · Ansatz	abziehen	NO
E075	f56r	H5	H5-S001	H5-S001-G01	2	cho	HO	Gabe	Gabe	NO
E076	f56r	H5	H5-S001	H5-S001-G01	3	chodaly	HO+AL+Y	Gabe · dorthin · dies	Gabe · Ziel · dieser Posten	NO
