surface	formula_card_id	component_recipe	workshop_formula_de	image_formula_de	events	physical_pages	channel_class	surface_role
chedy	F001	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	43	f55v|f70v|f75r|f81v|f82r|f83r	BICHANNEL	PRIMARY_FORM
chdy	F001	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	8	f56r|f69v|f75r|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
chedchy	F001	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	1	f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
shedy	F002	SHED+DY	ABSETZEN; ENDE	Absetzklasse; Bildeintrag schließen	46	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
qokedy	F003	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	38	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okedy	F003	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	7	f69v|f75r|f81v|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
qokeedy	F004	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	38	f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okeedy	F004	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	7	f55v|f75r|f81v|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
qoky	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	21	f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oky	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
qokchy	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	4	f10r|f13r|f55v|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
choky	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	3	f56r|f69v	BICHANNEL	POSITION_OR_HAND_VARIANT
okchy	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	3	f13r|f56r|f67r2	BICHANNEL	POSITION_OR_HAND_VARIANT
okchey	F005	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	1	f13r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
