formula_card_id	source_family_id	component_recipe	workshop_formula_de	image_formula_de	surface_variants	surface_variant_count	events_including_local	physical_pages	registers
F001	P942-K04	CHD+Y	DIESEN POSTEN UMSETZEN	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	chedy|chdy|chedchy	3	52	f55v|f56r|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F002	P942-K05	SHED+DY	ABSETZEN; ENDE	Absetzklasse; Bildeintrag schließen	shedy	1	46	f75r|f81v|f82r|f83r	BIOLOGICAL
F003	P942-K06	OK+E+DY	KURZ ANSETZEN; ENDE	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	qokedy|okedy	2	45	f69v|f75r|f81v|f82r|f83r	BIOLOGICAL|ZODIAC
F004	P942-K07	OK+EE+DY	LAENGER ANSETZEN; ENDE	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	qokeedy|okeedy	2	45	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL
F005	P942-K08	OK+Y	DIESEN POSTEN ANSETZEN	Bildplatz aktivieren; dieser Bildplatz	qoky|oky|qokchy|choky|okchy|okchey	6	41	f10r|f13r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F006	P942-K10	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	qokain|okain|chokain	3	37	f55v|f67r2|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F007	P942-K11	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	qokeey|okeey|chokeey	3	30	f56r|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F008	P942-K13	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	qokaiin|okaiin	2	26	f55v|f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA
F009	P942-K14	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	qokal|okal|chokal	3	26	f55v|f67r2|f68r1|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F010	P942-K15	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	shey|tshey	2	26	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F011	P942-K17	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	qoty|oty|qotchy|otchey	4	24	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
