removed_source_family_id	component	root_lemma_de	former_formula_value_de	surface_variants	events_including_local	decision_de
P942-K01	Y	DIES	DIESER POSTEN	dy|chey|y|chy|shy|sy	116	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K02	OL	FORTSETZEN	DAMIT WEITER	ol|chol|qol|sol|ls	87	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K03	AIIN	SOLLMASS	NACH SOLLMASS	daiin|aiin	78	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K09	AL	ZIEL	ZUR ZIELSTELLE	dal|al|cheal	37	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K12	S	AUSWÄHLEN	VARIANTE WAEHLEN	s	27	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K16	AR	QUELLE	AUS DER QUELLE	ar|char	25	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K18	AIN	PORTION	EINE PORTION	dain|ain	21	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K23	OR	ANSATZ	DER ANSATZ	or|qor	20	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K33	AM_ADDR	INNEN	AN DER INNENSTELLE	am	10	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K35	O	AUSFÜHREN	ARBEITSGANG AUSFUEHREN	o|qo	10	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K37	R	MARKIEREN	ZUSTAND MARKIEREN	r	10	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K42	D_ADDR	TEIL	DER BEZEICHNETE TEIL	d	7	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
P942-K47	HO	TEILSTOFF	SICHTBARER TEIL	cho	6	Kein Ganzwort: exakt ein bereits gelehrter Stamm.
