codebook_entry_id	entry_type	recognition_form	short_value_de	surface_variants	events_or_uses
R001	PRODUCTIVE_ROOT	Y	DIES	PRODUCTIVE	997
R002	PRODUCTIVE_ROOT	OK	ANSETZEN	PRODUCTIVE	448
R003	PRODUCTIVE_ROOT	E	KURZ	PRODUCTIVE	429
R004	PRODUCTIVE_ROOT	DY	SCHLIESSEN	PRODUCTIVE	368
R005	PRODUCTIVE_ROOT	O	AUSFÜHREN	PRODUCTIVE	341
R006	PRODUCTIVE_ROOT	OL	FORTSETZEN	PRODUCTIVE	325
R007	PRODUCTIVE_ROOT	EE	LÄNGER	PRODUCTIVE	264
R008	PRODUCTIVE_ROOT	OT	DANACH	PRODUCTIVE	239
R009	PRODUCTIVE_ROOT	AL	ZIEL	PRODUCTIVE	229
R010	PRODUCTIVE_ROOT	CH	ENTNEHMEN	PRODUCTIVE	222
R011	PRODUCTIVE_ROOT	D_ADDR	TEIL	PRODUCTIVE	222
R012	PRODUCTIVE_ROOT	SH	HALTEN	PRODUCTIVE	219
R013	PRODUCTIVE_ROOT	AR	QUELLE	PRODUCTIVE	201
R014	PRODUCTIVE_ROOT	K	ZUGEBEN	PRODUCTIVE	194
R015	PRODUCTIVE_ROOT	AIIN	SOLLMASS	PRODUCTIVE	191
R016	PRODUCTIVE_ROOT	S	AUSWÄHLEN	PRODUCTIVE	182
R017	PRODUCTIVE_ROOT	CHD	UMSETZEN	PRODUCTIVE	164
R018	PRODUCTIVE_ROOT	OR	ANSATZ	PRODUCTIVE	151
R019	PRODUCTIVE_ROOT	L	LEITEN	PRODUCTIVE	131
R020	PRODUCTIVE_ROOT	T	EINSTELLEN	PRODUCTIVE	127
R021	PRODUCTIVE_ROOT	AIN	PORTION	PRODUCTIVE	105
R022	PRODUCTIVE_ROOT	R	MARKIEREN	PRODUCTIVE	73
R023	PRODUCTIVE_ROOT	P	EINSETZEN	PRODUCTIVE	60
R024	PRODUCTIVE_ROOT	CTH	BEREIT	PRODUCTIVE	59
R025	PRODUCTIVE_ROOT	SHED	ABSETZEN	PRODUCTIVE	59
R026	PRODUCTIVE_ROOT	CKH	DURCHLASS	PRODUCTIVE	55
R027	PRODUCTIVE_ROOT	AM_ADDR	INNEN	PRODUCTIVE	47
R028	PRODUCTIVE_ROOT	CHEO	AUSZUG	PRODUCTIVE	45
R029	PRODUCTIVE_ROOT	DA	ZWEIT	PRODUCTIVE	38
R030	PRODUCTIVE_ROOT	CARRIER_Q	BEGINNEN	PRODUCTIVE	36
R031	PRODUCTIVE_ROOT	A_ADDR	ORT	PRODUCTIVE	35
R032	PRODUCTIVE_ROOT	AIR	LAUF	PRODUCTIVE	33
R033	PRODUCTIVE_ROOT	CHK	BEHANDELN	PRODUCTIVE	30
R034	PRODUCTIVE_ROOT	IIN	STUFE	PRODUCTIVE	26
