root_no	component	compact_value_de	entry_kind	diagnostic_fragments	historical_layer	apprentice_rule	card_types	events_with_entry
R01	OK	ANSETZEN	COMPOSABLE_WORK_COMPONENT	ok	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	23	79
R02	CHD	UMSETZEN	COMPOSABLE_WORK_COMPONENT	ch	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	22	48
R03	SH	HALTEN	COMPOSABLE_WORK_COMPONENT	sh|ch|sch	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	20	25
R04	SHED	ABSETZEN	COMPOSABLE_WORK_COMPONENT	she|chee|te|shed	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	3	15
R05	CHK	WAERMEN	COMPOSABLE_WORK_COMPONENT	chk|ch	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	4	7
R06	CTH	BEREIT	COMPOSABLE_WORK_COMPONENT	cth	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	8	15
R07	SOLK	AUFFANGEN	COMPOSABLE_WORK_COMPONENT	olk	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	5	7
R08	P	EINFUELLEN	COMPOSABLE_WORK_COMPONENT	p	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	3	3
R09	LSH	WASCHEN	COMPOSABLE_WORK_COMPONENT	lsh	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	2	3
R10	CFH	AUSWRINGEN	COMPOSABLE_WORK_COMPONENT	cfh	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	1	1
R11	CH	ABNEHMEN	COMPOSABLE_WORK_COMPONENT	ch	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	15	16
R12	T	EINTRAGEN	COMPOSABLE_WORK_COMPONENT	t	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	9	10
R13	K	ZUDOSIEREN	COMPOSABLE_WORK_COMPONENT	k	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	18	21
R14	S	TEILEN	COMPOSABLE_WORK_COMPONENT	s	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	1	1
R15	L	WEITERLEITEN	COMPOSABLE_WORK_COMPONENT	l	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	18	27
R16	OL	FORTSETZEN	COMPOSABLE_WORK_COMPONENT	ol|l	RELATION_ADDRESS_SIGN	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	25	48
R17	OT	DANACH	COMPOSABLE_WORK_COMPONENT	ot	RELATION_ADDRESS_SIGN	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	16	26
R18	AL	ZIEL	COMPOSABLE_WORK_COMPONENT	al	RELATION_ADDRESS_SIGN	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	22	39
R19	AR	QUELLE	COMPOSABLE_WORK_COMPONENT	ar	RELATION_ADDRESS_SIGN	Quelle Ziel oder Reihenfolge relativ zum aktiven Posten lesen	10	14
R20	AIR	LAUF	COMPOSABLE_WORK_COMPONENT	air	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	5
R21	OR	ANSATZ	COMPOSABLE_WORK_COMPONENT	or	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	10	18
R22	HO	ZUTAT	COMPOSABLE_WORK_COMPONENT	ho	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	5	8
R23	CKH	DURCHLASS	COMPOSABLE_WORK_COMPONENT	ckh	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	9	14
R24	O	GANG	COMPOSABLE_WORK_COMPONENT	o	STATE_OBJECT_SIGN	als knappen Zustand oder Arbeitsgegenstand lernen; Besitzer konkretisiert	18	19
R25	Y	DIES	COMPOSABLE_WORK_COMPONENT	y	DEICTIC_REFERENCE	auf den aktuell gemeinten vom Bild oder Record gelieferten Posten zeigen	60	124
R26	AIN	PORTION	COMPOSABLE_WORK_COMPONENT	ain|an	MEASURE_STAGE_SIGN	als unteilbaren Parameterwert lesen	8	18
