statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	working_reading_de	global_forms	context_forms	owner_default_forms	override_forms	owner_break_inside_statement	closes
H1-S001	f10r	H1	10	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.	9	0	1	0	NO	NO
H1-S002	f10r	H1	4	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.	3	0	1	0	NO	NO
H2-S001	f10r	H2	9	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	6	0	2	1	NO	NO
H2-S002	f10r	H2	8	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.	5	1	2	0	NO	NO
H2-S003	f10r	H2	7	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.	5	0	2	0	NO	NO
H3-S001	f11r	H3	7	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	6	1	0	0	NO	YES
H3-S002	f11r	H3	1	die dicht bluehende Kronenpflanze	shoyty	SH+O+Y+T+Y	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.	1	0	0	0	NO	NO
H3-S003	f11r	H3	5	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.	4	0	1	0	NO	NO
H3-S004	f11r	H3	4	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.	3	0	1	0	NO	NO
H4-S001	f55v	H4	5	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.	4	0	1	0	NO	YES
