card_no	surfaces	component_recipe	compact_atomic_reading_de	card_class	surface_forms	surface_plans	events	pages	copy_rule_de
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · DIES	COMPOSED_WITH_BOUND_RENDERER	1	dchey=ch-e-y[ENTRY_FRAME]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC002	cthoor	CTH+O+OR	BEREIT · GANG · ANSATZ	COMPOSED_DIRECT_ALL_FORMS	1	cthoor=cth-o-or[DIRECT]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC003	char|dar|sar	AR	QUELLE	COMPOSED_WITH_BOUND_RENDERER	3	char=ar[ENTRY_FRAME] | dar=ar[ENTRY_FRAME] | sar=ar[ENTRY_FRAME]	5	f10r|f81v|f82r|f83r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC004	chety|chty	T+Y	EINTRAGEN · DIES	COMPOSED_WITH_BOUND_RENDERER	2	chety=t-y[ENTRY_FRAME] | chty=t-y[ENTRY_FRAME]	2	f10r|f83r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC005	os	OS	FACH	MEMORIZED_WHOLE_COMMAND	1	os=os[DIRECT]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC006	chair	CH+AIR	ABNEHMEN · LAUF	COMPOSED_DIRECT_ALL_FORMS	1	chair=ch-air[DIRECT]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	COMPOSED_DIRECT_ALL_FORMS	1	otytchol=ot-y-t-ch-ol[DIRECT]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · DIES	COMPOSED_WITH_BOUND_RENDERER	3	choky=ok-y[ENTRY_FRAME] | oky=ok-y[DIRECT] | qoky=ok-y[ENTRY_FRAME]	10	f10r|f56r|f81v|f82r|f83r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	MASS	COMPOSED_WITH_BOUND_RENDERER	5	aiin=aiin[DIRECT] | chaiin=aiin[ENTRY_FRAME] | daiin=aiin[ENTRY_FRAME] | saiin=aiin[ENTRY_FRAME] | taiin=aiin[ENTRY_FRAME]	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · DIES	COMPOSED_WITH_BOUND_RENDERER	1	etyd=e-t-y[TERMINAL_ECHO]	1	f10r	Komponenten diktieren; Ganzkartenfamilie wählen; Renderer anwenden; Oberfläche als Einheit kopieren.
