card_no	surfaces	component_parse	invariant_atomic_value_de	portable_function_class	herbal_owner_filled_reading_de	biological_owner_filled_reading_de	herbal_events	biological_events	total_events	atomic_value_changes_by_section	only_object_filling_changes	integration_role	what_how_reading_de	explicit_cross_record_pointer
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	vorgeschriebenes Maß	PORTABLE_QUANTITY	Sollmaß des Pflanzenstoffs oder Ansatzes	Sollmaß der lokalen Flüssigkeit oder Anwendung	9	11	20	NO	YES	CONTENT_HANDOFF_CAPABLE	Herbal erzeugt/kennzeichnet Sollmaß des Pflanzenstoffs oder Ansatzes; Biological übernimmt denselben Arbeitswert als Sollmaß der lokalen Flüssigkeit oder Anwendung	NO
PROC013	cheol|chol|ol|qol|sol|tol	OL	fortsetzen	PORTABLE_ORDER	denselben Pflanzenansatz fortführen	dieselbe Zelle oder Stationsflüssigkeit fortführen	3	16	19	NO	YES	SHARED_WORKSHOP_GRAMMAR	gleiche grammatische Operation in beiden Registern: fortsetzen	NO
PROC019	chey|chy|dy|shy|sy|y	Y	dieser Posten	PORTABLE_REFERENT	dieser Pflanzenteil oder Ansatz	diese Flüssigkeit, Portion oder Anwendung	9	9	18	NO	YES	SHARED_WORKSHOP_GRAMMAR	gleiche grammatische Operation in beiden Registern: dieser Posten	NO
PROC042	chdy|chedy	CHD+Y	den aktuellen Posten umsetzen	PORTABLE_ACTION_FRAME	Pflanzenstoff oder Ansatz umarbeiten	Flüssigkeit umschöpfen oder lokal umsetzen	1	10	11	NO	YES	SHARED_WORKSHOP_GRAMMAR	gleiche grammatische Operation in beiden Registern: den aktuellen Posten umsetzen	NO
PROC008	choky|oky|qoky	OK+Y	den aktuellen Posten in Einsatz bringen	PORTABLE_ACTION_FRAME	Pflanzenstoff in den Ansatz geben	lokales Medium in Einsatz bringen	3	7	10	NO	YES	SHARED_WORKSHOP_GRAMMAR	gleiche grammatische Operation in beiden Registern: den aktuellen Posten in Einsatz bringen	NO
PROC055	al|chal|cheal|dal|sal|tal	AL	bezeichnete Stelle	PORTABLE_TARGET	bezeichnete Pflanzen-/Anwendungsstelle	bezeichnete Becken- oder Stationsstelle	1	9	10	NO	YES	SHARED_WORKSHOP_GRAMMAR	gleiche grammatische Operation in beiden Registern: bezeichnete Stelle	NO
PROC038	okaiin|qokaiin	OK+AIIN	nach vorgeschriebenem Maß in Einsatz bringen	PORTABLE_MEASURED_ACTION	Pflanzenansatz bis zum Sollmaß beschicken	Becken, Gefäß oder Anwendung bis zum Sollmaß beschicken	1	8	9	NO	YES	CONTENT_HANDOFF_CAPABLE	Herbal erzeugt/kennzeichnet Pflanzenansatz bis zum Sollmaß beschicken; Biological übernimmt denselben Arbeitswert als Becken, Gefäß oder Anwendung bis zum Sollmaß beschicken	NO
PROC014	checthy|cthy|shcthy	CTH+Y	bereit · dieser Posten	PORTABLE_STATE	dieser Pflanzenansatz ist bereit	diese Flüssigkeit oder Anwendung ist bereit	3	4	7	NO	YES	CONTENT_HANDOFF_CAPABLE	Herbal erzeugt/kennzeichnet dieser Pflanzenansatz ist bereit; Biological übernimmt denselben Arbeitswert als diese Flüssigkeit oder Anwendung ist bereit	NO
PROC016	chor|or|shor|sor	OR	Ansatz	PORTABLE_PREPARATION	Pflanzenansatz oder Zubereitung	lokaler Arbeitsansatz	5	2	7	NO	YES	CONTENT_HANDOFF_CAPABLE	Herbal erzeugt/kennzeichnet Pflanzenansatz oder Zubereitung; Biological übernimmt denselben Arbeitswert als lokaler Arbeitsansatz	NO
PROC048	okal|qokal	OK+AL	den laufenden Posten an bezeichnete Stelle ansetzen	PORTABLE_TARGET_ACTION	Pflanzenstoff an der Stelle anlegen	Flüssigkeit oder Anwendung an der Station ansetzen	1	5	6	NO	YES	CONTENT_HANDOFF_CAPABLE	Herbal erzeugt/kennzeichnet Pflanzenstoff an der Stelle anlegen; Biological übernimmt denselben Arbeitswert als Flüssigkeit oder Anwendung an der Station ansetzen	NO
