frequency_rank	exact_card_id	surfaces	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	events	card_tier	learning_mode	page_specific_noun
41	PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · POSTEN	den Posten kurz ansetzen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
42	PROC047	oldy	OL+DY	WEITER · SCHLUSS	weiter und schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
43	PROC070	olkain|qolkain	OL+K+AIN	WEITER · ZUGEBEN · PORTION	eine Portion weiter zugeben	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
44	PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	danach umsetzen und schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
45	PROC065	otchey	OT+Y	DANACH · POSTEN	danach der aktuelle Posten	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
46	PROC020	otchor|qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	danach vom Ansatz entnehmen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
47	PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	danach kurz schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
48	PROC109	oteey	OT+EE+Y	DANACH · LANG · POSTEN	danach der lange Posten	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
49	PROC117	qcthey|shcthey	CTH+E+Y	BEREITEN · KURZ · POSTEN	den Posten kurz bereiten	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
50	PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	danach lang schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
51	PROC142	shedal	SHED+AL	STEHENLASSEN · ZIELSTELLE	an der Zielstelle stehen lassen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
52	PROC028	cfhy	CFH+Y	AUSPRESSEN · POSTEN	den Posten auspressen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
53	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	Wasser entnehmen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
54	PROC137	chary	AR+Y	QUELLE · POSTEN	den Posten aus der Quelle	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
55	PROC163	chckhal	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	durch den Durchlass an der Zielstelle entnehmen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
56	PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	zur Zielstelle umsetzen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
57	PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	den Ansatz an der Zielstelle kuehlen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
58	PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	eine Portion umsetzen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
59	PROC133	chedchy	CHD+Y	UMSETZEN · POSTEN	den Posten umsetzen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
60	PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	lang durch den Durchlass im Arbeitsgang entnehmen und schliessen	1	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
