statement_id	record_unit_id	page	visible_surface_sequence	complete_spoken_card_chain_de	continuous_working_reading_de	shared_kernel_de
H1-S001	H1	f10r	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel · Posten | bereitstellen · Ansatz | davon | einen Teil abtrennen | Gefäß | Flüssigkeitslauf | danach · Teil · weiter | diesen Posten einsetzen | Sollmaß | kurz · Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	davon einen Teil abtrennen diesen Posten einsetzen Sollmaß
H1-S002	H1	f10r	qokchy qotchol chol cthy	diesen Posten weiterbearbeiten | danach · weiter | weiter | diesen Posten bereitstellen	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.	weiter diesen Posten bereitstellen
H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Posten · Auszug · Ansatz | diesen Posten bereitstellen | Arbeitsansatz | bereitstellen · Sollmaß | bereitstellen · weiter · Posten | dieser Posten | dieser Posten | Sollmaß | dieser Posten	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.	diesen Posten bereitstellen Arbeitsansatz dieser Posten dieser Posten Sollmaß dieser Posten
H2-S002	H2	f10r	qotchor chor otol chol cholor chol daiin dar	nächster Arbeitsansatz | Arbeitsansatz | danach · weiter | weiter | damit weiter | weiter | Sollmaß | davon	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.	Arbeitsansatz weiter damit weiter weiter Sollmaß davon
H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Posten · bearbeiten · Ansatz | Arbeitsansatz | Arbeitsansatz | dieser Posten | Arbeitsstufe | dieser Posten | Zutat · Sollmaß	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.	Arbeitsansatz Arbeitsansatz dieser Posten dieser Posten
H3-S001	H3	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat · abführen | Zutat · Zielstelle | auswringen · Posten | halten · Sollmaß | nachseihen · Posten | Klarlauf | Zutat; schließen	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.	Klarlauf
H3-S002	H3	f11r	shoyty	Zutat · Posten · Teil	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.	NONE
H3-S003	H3	f11r	dchol chy kchy dy daiin	vom vorigen Posten | dieser Posten | bearbeiten · Posten | dieser Posten | Sollmaß	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.	dieser Posten dieser Posten Sollmaß
H3-S004	H3	f11r	qotchy okchol cthy dy	danach · Posten | einsetzen · weiter | diesen Posten bereitstellen | dieser Posten	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.	diesen Posten bereitstellen dieser Posten
H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	auf Sollmaß stellen | Sollmaß | Posten · Anteil | Posten · Anteil | kühlen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, stelle den Posten auf Sollmaß und setze ihn in Auszugsflüssigkeit im Gefäß an.	auf Sollmaß stellen Sollmaß
