master_card_id	master_form	registered_surfaces	semantic_atoms	current_spoken_default_de	teaching_layer	drawer	event_count	records
MC001	chdal	chdal	CHD+AL	übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B5
MC002	okeey	okeey|qokeey	OK+EE+Y	länger einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7	B1|B2|B3|B4
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B3
MC004	ldy	ldy	L+CLOSE	abziehen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B2|B3
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B3
MC006	chokcheo	chokcheo	OK+CHEO	einsetzen · Auszug	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5
MC007	okey	okey|qokey	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1|B2
MC008	lchy	lchy	L+Y	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2
MC009	chary	chary	AR+Y	Ausgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B3
MC010	chodaly	chodaly	HO+AL+Y	Zutat · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL	1	H5
MC011	lchedar	lchedar	L+CHD+AR	abführen · übertragen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B2
MC012	dl	dl	LOCAL_WHOLE	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	B1
MC013	otchor	otchor|qotchor	OT+OR	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	2	H2|H5
MC014	chair	chair	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	H1
MC015	qokokchy	qokokchy	OK+OK+Y	einsetzen · einsetzen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION	1	H5
MC016	rol	rol	OL	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	1	B1
MC017	okain	okain|qokain	OK+AIN	einen Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE	7	B1|B2|B3|B4
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach · kurz · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B3
MC019	oldy	oldy	OL+CLOSE	fortsetzen; abschließen	REVISED_SHARED_17	ACTIVE_CORE	2	B4|H4
MC020	solkeey	solkeey	SOLK+EE+Y	auffangen · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	B6
MC021	oltchy	oltchy	OL+CTH+Y	weiter · bereitstellen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE	1	H4
MC022	chckhal	chckhal	CKH+AL	Durchgang · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW	1	B4
MC023	kair	kair	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET	1	B1
MC024	qokol	qokol	OK+OL	einsetzen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION	1	B4
