visible_surface	master_card_id	master_form	renderer_gesture	family_class	semantic_atoms	current_spoken_default_de	teaching_layer	drawer
chdal	MC001	chdal	ZERO	SINGLE_REGISTERED_FORM	CHD+AL	übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
okeey	MC002	okeey	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+EE+Y	länger einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokeey	MC002	okeey	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+EE+Y	länger einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
sheedy	MC003	sheedy	ZERO	SINGLE_REGISTERED_FORM	SHED+EE+CLOSE	absetzen · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
ldy	MC004	ldy	ZERO	SINGLE_REGISTERED_FORM	L+CLOSE	abziehen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
okchedy	MC005	okchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokchedy	MC005	okchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
chokcheo	MC006	chokcheo	ZERO	SINGLE_REGISTERED_FORM	OK+CHEO	einsetzen · Auszug	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
okey	MC007	okey	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokey	MC007	okey	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+E+Y	kurz einwirken	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
lchy	MC008	lchy	ZERO	SINGLE_REGISTERED_FORM	L+Y	abführen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
chary	MC009	chary	ZERO	SINGLE_REGISTERED_FORM	AR+Y	Ausgang · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
chodaly	MC010	chodaly	ZERO	SINGLE_REGISTERED_FORM	HO+AL+Y	Zutat · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
lchedar	MC011	lchedar	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AR	abführen · übertragen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
dl	MC012	dl	ZERO	SINGLE_REGISTERED_FORM	LOCAL_WHOLE	Zusatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
otchor	MC013	otchor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+OR	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qotchor	MC013	otchor	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+OR	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
chair	MC014	chair	ZERO	SINGLE_REGISTERED_FORM	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qokokchy	MC015	qokokchy	ZERO	SINGLE_REGISTERED_FORM	OK+OK+Y	einsetzen · einsetzen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D8_LOCAL_OPERATION
rol	MC016	rol	ZERO	SINGLE_REGISTERED_FORM	OL	weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
okain	MC017	okain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIN	einen Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokain	MC017	okain	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AIN	einen Anteil zugeben	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qotedaiin	MC018	qotedaiin	ZERO	SINGLE_REGISTERED_FORM	OT+E+AIIN	danach · kurz · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
oldy	MC019	oldy	ZERO	SINGLE_REGISTERED_FORM	OL+CLOSE	fortsetzen; abschließen	REVISED_SHARED_17	ACTIVE_CORE
solkeey	MC020	solkeey	ZERO	SINGLE_REGISTERED_FORM	SOLK+EE+Y	auffangen · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
oltchy	MC021	oltchy	ZERO	SINGLE_REGISTERED_FORM	OL+CTH+Y	weiter · bereitstellen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chckhal	MC022	chckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+AL	Durchgang · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
kair	MC023	kair	ZERO	SINGLE_REGISTERED_FORM	AIR	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qokol	MC024	qokol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	einsetzen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
dchedy	MC025	dchedy	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
schedy	MC025	dchedy	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
tchedy	MC025	dchedy	T_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+CLOSE	übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
choky	MC026	choky	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten einsetzen	REVISED_SHARED_17	ACTIVE_CORE
oky	MC026	choky	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten einsetzen	REVISED_SHARED_17	ACTIVE_CORE
qoky	MC026	choky	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten einsetzen	REVISED_SHARED_17	ACTIVE_CORE
oykchor	MC027	oykchor	ZERO	SINGLE_REGISTERED_FORM	Y+KCH+OR	Posten · bearbeiten · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
olchedy	MC028	olchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+CHD+CLOSE	weiter übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qolchedy	MC028	olchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+CHD+CLOSE	weiter übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
lar	MC029	lar	ZERO	SINGLE_REGISTERED_FORM	L+AR	abführen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
lo	MC030	lo	ZERO	SINGLE_REGISTERED_FORM	L	abführen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
dalchdy	MC031	dalchdy	ZERO	SINGLE_REGISTERED_FORM	AL+CHD+CLOSE	Zielstelle · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
cheeky	MC032	cheeky	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+Y	länger bearbeiten	REVISED_SHARED_17	ACTIVE_CORE
oiiin	MC033	oiiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	IIN	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
soiiin	MC033	oiiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	IIN	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
cho	MC034	cho	OTHER_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	HO	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
sho	MC034	cho	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	HO	weitere Zutat	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
chckhy	MC035	chckhy	OTHER_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CKH+Y	durchführen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
shckhy	MC035	chckhy	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CKH+Y	durchführen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
solkaiin	MC036	solkaiin	ZERO	SINGLE_REGISTERED_FORM	SOLK+AIIN	auffangen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
tchody	MC037	tchody	ZERO	SINGLE_REGISTERED_FORM	HO+CLOSE	Zutat; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
lshedy	MC038	lshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	waschen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
