event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	current_spoken_default_de	teaching_layer	drawer
1	H1-S001	H1	f10r	dchey	MC071	Wurzel · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
2	H1-S001	H1	f10r	cthoor	MC158	bereitstellen · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
3	H1-S001	H1	f10r	char	MC055	davon	REVISED_SHARED_17	ACTIVE_CORE
4	H1-S001	H1	f10r	chty	MC086	einen Teil abtrennen	REVISED_SHARED_17	ACTIVE_CORE
5	H1-S001	H1	f10r	os	MC159	Gefäß	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
6	H1-S001	H1	f10r	chair	MC014	Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
7	H1-S001	H1	f10r	otytchol	MC069	danach · Teil · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
8	H1-S001	H1	f10r	oky	MC026	diesen Posten einsetzen	REVISED_SHARED_17	ACTIVE_CORE
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
10	H1-S001	H1	f10r	etyd	MC108	kurz · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
11	H1-S002	H1	f10r	qokchy	MC103	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
12	H1-S002	H1	f10r	qotchol	MC163	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
13	H1-S002	H1	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE
14	H1-S002	H1	f10r	cthy	MC161	diesen Posten bereitstellen	REVISED_SHARED_17	ACTIVE_CORE
15	H2-S001	H2	f10r	ycheor	MC075	Posten · Auszug · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
16	H2-S001	H2	f10r	cthy	MC161	diesen Posten bereitstellen	REVISED_SHARED_17	ACTIVE_CORE
17	H2-S001	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
18	H2-S001	H2	f10r	cthaiin	MC169	bereitstellen · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
19	H2-S001	H2	f10r	qoctholy	MC115	bereitstellen · weiter · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
20	H2-S001	H2	f10r	dy	MC123	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
21	H2-S001	H2	f10r	chy	MC123	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
23	H2-S001	H2	f10r	shy	MC123	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
24	H2-S002	H2	f10r	qotchor	MC013	nächster Arbeitsansatz	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
25	H2-S002	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
26	H2-S002	H2	f10r	otol	MC053	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
27	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE
28	H2-S002	H2	f10r	cholor	MC157	damit weiter	REVISED_SHARED_17	ACTIVE_CORE
29	H2-S002	H2	f10r	chol	MC153	weiter	REVISED_SHARED_17	ACTIVE_CORE
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
31	H2-S002	H2	f10r	dar	MC055	davon	REVISED_SHARED_17	ACTIVE_CORE
32	H2-S003	H2	f10r	oykchor	MC027	Posten · bearbeiten · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
33	H2-S003	H2	f10r	shor	MC080	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
34	H2-S003	H2	f10r	chor	MC080	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
35	H2-S003	H2	f10r	chy	MC123	dieser Posten	REVISED_SHARED_17	ACTIVE_CORE
36	H2-S003	H2	f10r	kaiiin	MC048	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
