record_unit_id	page	physical_lines	visible_events	source_instructions	statements	owners	input_state	input_state_de	output_state	output_state_de	continue_boundaries	read_once_boundaries	reset_boundaries
H1	f10r	2	14	14	2	1	M1_RAW_PART	Rohteil	M4_MEASURED_PORTION	Bemessene Portion	0	0	1
H2	f10r	3	24	24	3	1	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	0	0	2
H3	f11r	3	17	17	4	1	M1_RAW_PART	Rohteil	M4_MEASURED_PORTION	Bemessene Portion	0	0	2
H4	f55v	2	18	18	4	1	M1_RAW_PART	Rohteil	M4_MEASURED_PORTION	Bemessene Portion	0	0	1
H5	f56r	7	27	27	6	1	M1_RAW_PART	Rohteil	M4_MEASURED_PORTION	Bemessene Portion	0	0	6
B1	f81v	7	66	66	21	1	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	2	0	4
B2	f82r	8	62	61	22	5	M3_CLEAR_EXTRACT	Klarauszug	M4_MEASURED_PORTION	Bemessene Portion	1	1	5
B3	f83r	10	86	86	34	5	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	1	0	8
B4	f83r	10	47	47	16	3	M4_MEASURED_PORTION	Bemessene Portion	M3_CLEAR_EXTRACT	Klarauszug	0	0	9
B5	f83r	3	11	11	3	1	M2_PREPARATION	Ansatz	M4_MEASURED_PORTION	Bemessene Portion	1	0	1
B6	f83r	2	9	9	1	1	M2_PREPARATION	Ansatz	M5_APPLICATION_ITEM	Anwendungsposten	1	0	0
