record_unit_id	page	record_line_no	locus	owner_sequence	incoming_state	incoming_state_de	master_instruction_de	source_instruction_values_de	source_instruction_count	visible_event_count	visible_surfaces	anticipation_surfaces	outgoing_state	outgoing_state_de	decision_to_next_line	next_line_instruction_de
H1	f10r	1	f10r.2	Wurzel und übrige Teile der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Wurzel und übrige Teile der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Wurzelteil; dann Bereit/Schluss: Bereitansatz; dann Bezug/Folge: Quelle; dann Material/Maß: Zerkleinern; dann Bezug/Folge: Gefäß; dann Arbeitsgang: Wasserzulauf; dann Bezug/Folge: Folgeteilfortsetzung; dann Ziel/Anwendung: Einsetzen; dann Material/Maß: Sollmaß; dann Bereit/Schluss: Kurzrest.	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	10	10	dchey cthoor char chty os chair otytchol oky daiin etyd	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H1	f10r	2	f10r.5	Wurzel und übrige Teile der abgebildeten Pflanze	M4_MEASURED_PORTION	Bemessene Portion	Bei Wurzel und übrige Teile der abgebildeten Pflanze, am Bemessene Portion: Ziel/Anwendung: Einsetzen; dann Bezug/Folge: Folgefortsetzung; dann Bezug/Folge: Fortsetzung; dann Bereit/Schluss: Bereit.	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	4	4	qokchy qotchol chol cthy	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
H2	f10r	1	f10r.6	zweiter Arbeitsartikel unter demselben Pflanzenbild	M2_PREPARATION	Ansatz	Bei zweiter Arbeitsartikel unter demselben Pflanzenbild, am Ansatz: Bezug/Folge: Auszugsansatz; dann Bereit/Schluss: Bereit; dann Bezug/Folge: Ansatz; dann Material/Maß: Bereitsollmaß; dann Bezug/Folge: Folgefortsetzungsposten; dann Bezug/Folge: Diesposten; dann Bezug/Folge: Diesposten; dann Material/Maß: Sollmaß; dann Bezug/Folge: Diesposten.	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	9	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H2	f10r	2	f10r.8	zweiter Arbeitsartikel unter demselben Pflanzenbild	M4_MEASURED_PORTION	Bemessene Portion	Bei zweiter Arbeitsartikel unter demselben Pflanzenbild, am Bemessene Portion: Bezug/Folge: Folgeansatz; dann Bezug/Folge: Ansatz; dann Bezug/Folge: Folgefortsetzung; dann Bezug/Folge: Fortsetzung; dann Bezug/Folge: Fortsetzungsansatz; dann Bezug/Folge: Fortsetzung; dann Material/Maß: Sollmaß; dann Bezug/Folge: Quelle.	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	8	8	qotchor chor otol chol cholor chol daiin dar	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H2	f10r	3	f10r.9	zweiter Arbeitsartikel unter demselben Pflanzenbild	M4_MEASURED_PORTION	Bemessene Portion	Bei zweiter Arbeitsartikel unter demselben Pflanzenbild, am Bemessene Portion: Bezug/Folge: Gefäßansatz; dann Bezug/Folge: Ansatz; dann Bezug/Folge: Ansatz; dann Bezug/Folge: Diesposten; dann Bereit/Schluss: Bindestufe; dann Bezug/Folge: Diesposten; dann Material/Maß: Zutatsollmaß.	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	7	7	oykchor shor chor chy kaiiin dy chodaiin	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
H3	f11r	1	f11r.1	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Blütenkraut der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Blütenkraut; dann Ziel/Anwendung: Zieleingabe; dann Arbeitsgang: Auswringen; dann Arbeitsgang: Standzeit; dann Arbeitsgang: Nachseihen; dann Arbeitsgang: Klarauszug; dann Arbeitsgang: Rücknahmeschluss; dann Bezug/Folge: Zutatfolgeteil.	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss → Zutatfolgeteil	8	8	tshol schoal cfhy shfydaiin cphy shey tchody shoyty	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H3	f11r	2	f11r.4	Blütenkraut der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Blütenkraut der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Vorfortsetzung; dann Bezug/Folge: Diesposten; dann Bereit/Schluss: Bindeposten; dann Bezug/Folge: Diesposten; dann Material/Maß: Sollmaß.	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	5	5	dchol chy kchy dy daiin	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H3	f11r	3	f11r.7	Blütenkraut der abgebildeten Pflanze	M4_MEASURED_PORTION	Bemessene Portion	Bei Blütenkraut der abgebildeten Pflanze, am Bemessene Portion: Bezug/Folge: Folgeposten; dann Ziel/Anwendung: Fortsetzungseinsatz; dann Bereit/Schluss: Bereit; dann Bezug/Folge: Diesposten.	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	4	4	qotchy okchol cthy dy	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
H4	f55v	1	f55v.5	Blattmaterial der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Blattmaterial der abgebildeten Pflanze, am Rohteil: Material/Maß: Sollstellung; dann Material/Maß: Sollmaß; dann Material/Maß: Postenportion; dann Material/Maß: Postenzweitportion; dann Arbeitsgang: Rücknahmeschluss; dann Material/Maß: Sollmaß; dann Arbeitsgang: Umsetzen; dann Bereit/Schluss: Verwahren.	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss → Sollmaß → Umsetzen → Verwahren	8	8	qokaiin chaiin ykain ykan ody daiin chedy talam	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H4	f55v	2	f55v.11	Blattmaterial der abgebildeten Pflanze	M4_MEASURED_PORTION	Bemessene Portion	Bei Blattmaterial der abgebildeten Pflanze, am Bemessene Portion: Material/Maß: Postensollmaß; dann Arbeitsgang: Auszugnahme; dann Dauer/Zustand: Langwärme; dann Bezug/Folge: Fortschluss; dann Material/Maß: Sollmaß; dann Ziel/Anwendung: Zieleinsatz; dann Bezug/Folge: Fortsetzungszubereitung; dann Bezug/Folge: Ansatz; dann Bezug/Folge: Diesposten; dann Material/Maß: Ansatzportion.	Postensollmaß → Auszugnahme → Langwärme → Fortschluss → Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	10	10	ykaiin cheoar cheeky oldy aiin okal oltchy or y orain	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
H5	f56r	1	f56r.5	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Zutatenansatz; dann Bezug/Folge: Zutat; dann Ziel/Anwendung: Zutatstelle; dann Material/Maß: Sollmaß.	Zutatenansatz → Zutat → Zutatstelle → Sollmaß	4	4	chochor cho chodaly daiin	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H5	f56r	2	f56r.7	Stängel-/Pflanzenteil der abgebildeten Pflanze	M4_MEASURED_PORTION	Bemessene Portion	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Bemessene Portion: Bezug/Folge: Zutat; dann Bezug/Folge: Bindefortsetzung; dann Bezug/Folge: Folgeansatz; dann Ziel/Anwendung: Einsetzen; dann Ziel/Anwendung: Stelle.	Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	5	5	sho kchol otchor choky dal	NONE	M2_PREPARATION	Ansatz	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H5	f56r	3	f56r.8	Stängel-/Pflanzenteil der abgebildeten Pflanze	M2_PREPARATION	Ansatz	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Ansatz: Bezug/Folge: Vorfortsetzung; dann Bezug/Folge: Zutatposten; dann Ziel/Anwendung: Einsetzen; dann Bereit/Schluss: Auftragsschluss.	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	4	4	schol choy choky cheeckhody	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
