witness	context	status	successful_safe_paths	failed_safe_prefixes	open_choice_prefixes	multi_eligible_prefixes	then_positions	lifts	first_failure	independent_meaning_capacity
FULL01_primary	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	6	6	6	30	24	"{""clause"":""S25"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S02"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R""}},{""clause"":""S04"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R""}},{""clause"":""S08"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""R""}},{""clause"":""S15"",""load"":""C"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R""}},{""clause"":""S16"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""R""}},{""clause"":""S19"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""R""}}],""attempt"":{""clause"":""S25"",""load"":""C"",""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL01_independent	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	2	2	2	24	24	"{""clause"":""S19"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S03"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""L"",""W"":""R""}},{""clause"":""S17"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}}],""attempt"":{""clause"":""S19"",""load"":""W"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL02_primary	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	2	3	2	30	24	"{""clause"":""S17"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S03"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S04"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S06"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""R""}},{""clause"":""S08"",""load"":""G"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}},{""clause"":""S15"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""R""}}],""attempt"":{""clause"":""S17"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL02_independent	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	1	1	1	24	24	"{""clause"":""S36"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S03"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S07"",""load"":""G"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""L""}},{""clause"":""S16"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S31"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S32"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""R""}},{""clause"":""S34"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""R""}}],""attempt"":{""clause"":""S36"",""load"":""W"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL03_primary	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	2	7	6	5	35	18	"{""clause"":""S19"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S02"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""L"",""W"":""R""}},{""clause"":""S03"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}},{""clause"":""S11"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""R""}},{""clause"":""S14"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""R""}},{""clause"":""S17"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""R"",""W"":""R""}},{""clause"":""S18"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""R"",""W"":""R""}}],""attempt"":{""clause"":""S19"",""load"":""W"",""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""R"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL03_independent	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	1	2	1	24	18	"{""clause"":""S19"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S03"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""L""}},{""clause"":""S17"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""L""}}],""attempt"":{""clause"":""S19"",""load"":""C"",""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""L""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL04_primary	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	2	11	10	9	22	18	"{""clause"":""S15"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S02"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S06"",""load"":""G"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""L""}},{""clause"":""S08"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""L""}},{""clause"":""S09"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""L""}},{""clause"":""S11"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""R""}},{""clause"":""S14"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""R""}}],""attempt"":{""clause"":""S15"",""load"":""C"",""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL04_independent	ZL3b|f50r|f50r.1-f50r.10	SUFFICIENT	1	0	0	0	26	18	null	0
FULL05_primary	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	1	2	1	27	18	"{""clause"":""S21"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S02"",""load"":""C"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""L"",""W"":""L""}},{""clause"":""S08"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""R"",""G"":""L"",""W"":""L""}},{""clause"":""S14"",""load"":""G"",""positions"":{""M"":""R"",""B"":""R"",""C"":""R"",""G"":""R"",""W"":""L""}},{""clause"":""S18"",""load"":""C"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""L""}},{""clause"":""S19"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""R"",""W"":""R""}},{""clause"":""S20"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""R""}}],""attempt"":{""clause"":""S21"",""load"":""G"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""R"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
FULL05_independent	ZL3b|f50r|f50r.1-f50r.10	INSUFFICIENT	1	2	2	2	24	18	"{""clause"":""S19"",""reason"":""FIXED_TRIP_FAILED"",""trace"":[{""clause"":""S03"",""load"":""W"",""positions"":{""M"":""R"",""B"":""R"",""C"":""L"",""G"":""L"",""W"":""R""}},{""clause"":""S17"",""load"":null,""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}}],""attempt"":{""clause"":""S19"",""load"":""W"",""positions"":{""M"":""L"",""B"":""L"",""C"":""L"",""G"":""L"",""W"":""R""}},""reasons"":[""CARGO_NOT_AT_AGENT""]}"	0
