statement_id	record_unit_id	page	loci	surface_sequence	formula_family	formula_rule_de	present_slots	terminal_status	grammar_close_slot	grammar_close_disagreement	family_sequence_de	local_sequence_de	fluent_formula_reading_de
H1-S001	H1	f10r	f10r.2	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	SOURCE_ITEM|QUANTITY|OPERATION|MEDIUM_FLOW	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	Wurzel; BEDINGUNGSANSATZ + BEREIT; VON_QUELLE; TEIL; AUFNAHME; LAUF_BAHN + ZUGIESSEN; FOLGEPOSTEN + FOLGETEIL; EINSETZEN + DIES_AKTUELLER_POSTEN; SOLLWERT; kleiner Rest	Wurzel; den Ansatz bereitstellen; davon; Teil; Aufnahmegefäß; laufendes Medium zugießen; Folgeteil; einsetzen; Sollmaß; kleiner Rest	Beim Besitzer „abgebildete Pflanze auf f10r“: säubern; zerkleinern; Gefäß; den laufenden Posten anwenden oder in Arbeit nehmen; führe oder verwende Flüssigkeitszulauf. Den Posten für die nächste Zelle offen halten.
H1-S002	H1	f10r	f10r.5	qokchy · qotchol · chol · cthy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|STATE_GRADE	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	EINSETZEN + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; DIES_AKTUELLER_POSTEN + BEREIT	den laufenden Posten einsetzen und weiterbearbeiten; zum Folgegang wechseln; weiter; bereit	Beim Besitzer „abgebildete Pflanze auf f10r“: den laufenden Posten anwenden oder in Arbeit nehmen; gelind erwärmen; mit Vorigem weiter bis bereit. Den Posten für die nächste Zelle offen halten.
H2-S001	H2	f10r	f10r.6	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	SOURCE_ITEM|QUANTITY|OPERATION|STATE_GRADE	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	BEDINGUNGSANSATZ + AUSZUG; DIES_AKTUELLER_POSTEN + BEREIT; BEDINGUNGSANSATZ; SOLLWERT + BEREIT; WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; SOLLWERT; DIES_AKTUELLER_POSTEN	aktueller Auszugsansatz; bereit; Ansatz; die Sollvorbereitung setzen; danach mit diesem Posten weiter; dies; dies; Sollmaß; dies	Beim Besitzer „abgebildete Pflanze auf f10r“: Kraut zerstoßen; durch Tuch bis bereit mit vorgeschriebenes Maß. Den Posten für die nächste Zelle offen halten.
H2-S002	H2	f10r	f10r.8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	QUANTIFIED_PROCESS	Die bezeichnete Menge nehmen und den Arbeitsgang damit ausführen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	FOLGEPOSTEN + BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; SOLLWERT; VON_QUELLE	Folgeansatz; Ansatz; danach im selben Gang weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon	Beim Besitzer „abgebildete Pflanze auf f10r“: Nimm vorgeschriebenes Maß; danach weiter; mit Vorigem weiter aus aus demselben Vorrat; die nächste Zubereitung; Zubereitung; mit der vorigen Zubereitung. Den Posten für die nächste Zelle offen halten.
H2-S003	H2	f10r	f10r.9	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	SOURCE_ITEM|QUANTITY|OPERATION|STATE_GRADE	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	BEDINGUNGSANSATZ + GEFAESS; BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; STUFE + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT + EINGABE	Gefäß für den Ansatz; Ansatz; Ansatz; dies; die Arbeitsstufe setzen; dies; Zugabemaß	Beim Besitzer „abgebildete Pflanze auf f10r“: glasiertes Gefäß; Geschwür bis weiche Konsistenz mit weiche Konsistenz. Den Posten für die nächste Zelle offen halten.
H3-S001	H3	f11r	f11r.1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	SOURCE_ITEM|QUANTITY|OPERATION|MEDIUM_FLOW|STATE_GRADE|CLOSE	CLOSED	tchody=abkühlen; Ende	NO	Kochgut; Sudansatz; auswringen; SOLLWERT + STEHZEIT; nachseihen; Klarlauf; kalt stellen; Schluss	Kochgut; Sudansatz; auswringen; eine vorgeschriebene Stehzeit einhalten; nachseihen; Klarlauf; kalt stellen; Schluss	Beim Besitzer „abgebildete Pflanze auf f11r“: in Wein kochen; durch Tuch wringen; nochmals seihen; führe oder verwende klare Flüssigkeit bis für die vorgeschriebene Zeit stehen lassen. Den Schritt festsetzen.
H3-S002	H3	f11r	f11r.1	shoyty	SIMPLE_OR_ELLIPTIC_PROCESS	Den örtlich bezeichneten Arbeitsschritt ausführen; ausgelassene Argumente vom Besitzer erben.	SOURCE_ITEM	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	FOLGETEIL	Zugabeteil	Beim Besitzer „abgebildete Pflanze auf f11r“: Zugabeteil. Den Posten für die nächste Zelle offen halten.
H3-S003	H3	f11r	f11r.4	dchol · chy · kchy · dy · daiin	QUANTIFIED_PROCESS	Die bezeichnete Menge nehmen und den Arbeitsgang damit ausführen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	VORIGER; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT	vom vorigen Arbeitsgang nehmen; dies; den laufenden Posten bearbeiten; dies; Sollmaß	Beim Besitzer „abgebildete Pflanze auf f11r“: Nimm vorgeschriebenes Maß; vom vorigen Posten nehmen; als Trank geben aus vom vorigen Posten nehmen; der laufende Posten; dies oder es. Den Posten für die nächste Zelle offen halten.
H3-S004	H3	f11r	f11r.7	qotchy · okchol · cthy · dy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|STATE_GRADE	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; EINSETZEN; DIES_AKTUELLER_POSTEN + BEREIT; DIES_AKTUELLER_POSTEN	zum nächsten Posten wechseln; die Fortsetzung einsetzen; bereit; dies	Beim Besitzer „abgebildete Pflanze auf f11r“: mit dem vorigen Arbeitsgut weiterarbeiten bis bereit. Den Posten für die nächste Zelle offen halten.
H4-S001	H4	f55v	f55v.5	qokaiin · chaiin · ykain · ykan · ody	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	SOURCE_ITEM|QUANTITY|OPERATION|STATE_GRADE|CLOSE	CLOSED	ody=kühl lagern; Ende	NO	EINSETZEN + SOLLWERT; SOLLWERT; PORTION; ZWEITE_PORTION; FESTSETZEN + ZURUECKNEHMEN	bemessen; Sollmaß; erste Portion; zweite Portion; aus der Wärme nehmen und abkühlen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „abgebildete Pflanze auf f55v“: auf das vorgeschriebene Maß einstellen bis kühl lagern; Ende mit auf das vorgeschriebene Maß einstellen; vorgeschriebenes Maß; eine Portion des laufenden Postens; diese Portion. Den Schritt festsetzen.
