entry_id	entry_tier	entry_type	recognition_form	portable_value_de	teaching_rule_de	material_workshop_expansion_de	station_workshop_expansion_de	celestial_lookup_expansion_de
R-Y	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	Y	DIES	Grundtafel: frei zusammensetzen.	dieser Pflanzen-/Drogenposten	dieser Stationsposten	dieser Himmels-/Ringposten
R-OK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OK	SETZEN	Grundtafel: frei zusammensetzen.	im Ansatz ansetzen	an der Station ansetzen	Posten aktivieren
R-E	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	E	KURZ	Grundtafel: frei zusammensetzen.	kurz einwirken lassen	kurz halten	erster Grad
R-DY	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DY	SCHLIESSEN	Grundtafel: frei zusammensetzen.	Teilansatz abschließen	Stationszelle schließen	Eintrag schließen
R-O	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	O	AUSFÜHREN	Grundtafel: frei zusammensetzen.	den Arbeitsschritt ausführen	Stationshandlung ausführen	eingetragene Operation ausführen
R-OL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OL	FORTSETZEN	Grundtafel: frei zusammensetzen.	denselben Ansatz fortführen	im selben Lauf fortfahren	in derselben Reihe fortfahren
R-EE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EE	LÄNGER	Grundtafel: frei zusammensetzen.	länger halten oder ziehen lassen	länger halten	zweiter/längerer Grad
R-OT	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OT	DANACH	Grundtafel: frei zusammensetzen.	den nächsten Teilgang nehmen	zur nächsten Station	nächster Platz
R-AL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AL	ZIEL	Grundtafel: frei zusammensetzen.	in das Zielgefäß oder an die Gebrauchsstelle	zur Ziel-/Aufnahmestelle	Zielplatz
R-CH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CH	NEHMEN	Grundtafel: frei zusammensetzen.	vom bezeichneten Pflanzenteil entnehmen	aus Becken oder Vorrat entnehmen	Eintrag entnehmen/wählen
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	D_ADDR	TEIL	Grundtafel: frei zusammensetzen.	Wurzel-, Blatt-, Blüten- oder Fruchtteil	Teilbecken oder Arbeitsanteil	Unterplatz
R-SH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SH	HALTEN	Grundtafel: frei zusammensetzen.	halten, ziehen oder stehen lassen	an der Station halten	Posten festhalten
R-AR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AR	QUELLE	Grundtafel: frei zusammensetzen.	aus Wurzelstock oder Vorrat	von Ausgangs-/Entnahmestelle	Quellplatz
R-K	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	K	GEBEN	Grundtafel: frei zusammensetzen.	dem Ansatz zugeben	in die Station geben	Wert zuordnen
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIIN	SOLLWERT	Grundtafel: frei zusammensetzen.	die vorgeschriebene Menge	die vorgeschriebene Stationsmenge	eingetragener Wert
R-S	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	S	AUSWÄHLEN	Grundtafel: frei zusammensetzen.	den bezeichneten Drogenposten wählen	sichtbare Station wählen	Ring-/Sternplatz wählen
R-CHD	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHD	UMSETZEN	Grundtafel: frei zusammensetzen.	in ein anderes Gefäß versetzen	zur nächsten Station versetzen	auf anderen Platz übertragen
R-OR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OR	SATZ	Grundtafel: frei zusammensetzen.	der laufende Ansatz	laufende Stationskonfiguration	Eintragsklasse
R-L	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	L	LEITEN	Grundtafel: frei zusammensetzen.	gießen, abführen oder durchleiten	über den sichtbaren Weg leiten	zu verbundenem Platz führen
R-T	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	T	EINSTELLEN	Grundtafel: frei zusammensetzen.	Menge, Dauer oder Stufe einstellen	Stufe oder Stellung einstellen	Stellung/Grad einstellen
R-AIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIN	EINHEIT	Grundtafel: frei zusammensetzen.	eine Portion	eine Stationsfüllung	eine Tabellen- oder Ringzelle
R-R	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	R	MARKIEREN	Grundtafel: frei zusammensetzen.	den Teilgang oder Zustand kennzeichnen	Stationszustand markieren	Platz kennzeichnen
R-P	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	P	EINSETZEN	Grundtafel: frei zusammensetzen.	den Pflanzenteil einbringen	in Becken oder Anschluss einsetzen	in Ring/Tabelle eintragen
