physical_page	book_stage	unit_role_de	events	prose_clauses	local_address_events	visible_owner_or_namespace_de	concrete_workflow_de	complete_working_reading_de	portable_dictionary_status
f10r	I_STOFF	Pflanzenartikel A	92	2	0	zweiknolliges blauköpfiges Heilkraut	Wurzelansatz, danach Blatt-/Kopfanteil	Nimm vom doppelten roten Speicherwurzelstock und setze daraus den ersten Ansatz. Halte und bearbeite ihn bis zum geschlossenen Gebrauchszustand. Nimm danach Blatt oder blauen Kopf nach Sollmaß, gib ihn zu und führe den zweiten, noch offenen Ansatz weiter.	UNCHANGED_86_ENTRIES
f11r	I_STOFF	Pflanzenartikel B	59	2	0	blühender dreikroniger Sodenstock	Kronen teilen und portionsweise ansetzen	Halte den blühenden Soden zusammen, teile ihn in drei bewurzelte Kronen und nimm von jeder die vorgeschriebene Portion. Gib die Teile in den Ansatz, arbeite sie weiter und trenne oder leite den letzten Zug ab; die Fortsetzung bleibt offen.	UNCHANGED_86_ENTRIES
f13r	I_STOFF	Pflanzenartikel C	77	5	0	große Wurzelkrone mit Blatt und Blütenstand	drei Pflanzenteile in kurzen Teilgängen	Bereite zuerst den Ansatz aus der großen Wurzelkrone. Setze Blatt und Blütenstand als getrennte Posten nach Sollmaß ein, halte und leite sie durch vier kurze geschlossene Arbeitsschritte; der letzte Zusatz bleibt offen.	UNCHANGED_86_ENTRIES
f55v	I_STOFF	Pflanzenartikel D	106	5	0	große aromatische Doldenpflanze	Wurzelstock, Blattkrone und Dolde	Setze die Wurzelzubereitung der großen Doldenpflanze an. Gib Blatt- und Doldenanteile in notierten Portionen zu, versetze den Ansatz zwischen Gefäßstellen, entnimm Proben und führe einen Anteil durch den Durchlass. Vier Teilgänge schließen; der lange Hauptansatz bleibt offen.	UNCHANGED_86_ENTRIES
f56r	I_STOFF	Pflanzenartikel E	105	3	0	stachelköpfiges Kraut in mehreren Reifestufen	Knospe, Blüte und reifer Kopf getrennt	Nimm vom stacheligen Kopf in der bezeichneten Reifestufe kleine Anteile und setze sie getrennt an. Gib Knospen-, Blüten- und reife Kopfanteile nacheinander zu, halte oder prüfe jeden Zug und führe den letzten Posten zur nächsten Verwendung.	UNCHANGED_86_ENTRIES
f75r	III_ANWENDUNG	großes Bad-/Stationsblatt	418	111	10	großes Bad-/Stationsblatt mit dreieckiger Insel	Figuren-, Becken- und Rinnenstationen zellenweise bedienen	Arbeite jede sichtbare Figur-, Becken- oder Rinnenstation für sich ab: Posten einsetzen, kurz oder länger halten, über den lokalen Anschluss umsetzen, am Ziel neu ansetzen und die Zelle schließen. Die sieben Zeilen an der dreieckigen Insel gehören zu diesem einen lokalen Besitzer, nicht zu einem globalen Wasserkreislauf.	UNCHANGED_86_ENTRIES
f81v	III_ANWENDUNG	gemeinsames Badfeld	255	54	2	gemeinsames zweireihiges Badfeld	Badeposten halten, umsetzen und absetzen	Setze den jeweiligen Badeposten im gemeinsamen Feld an, gib die bezeichnete Menge zu und halte ihn für die notierte Stufe. Führe ihn danach über den nächsten lokalen Lauf, setze ihn neu an und lass einzelne Züge im Becken absetzen.	UNCHANGED_86_ENTRIES
f82r	III_ANWENDUNG	mehrere Bad- und Leitungsstationen	291	62	13	mehrere getrennte Bad- und Leitungsstationen	lokale Station wählen; keine Gesamtmaschine	Wähle an jeder Vignette den aktiven Posten, setze ihn an und führe ihn nur über den tatsächlich gezeichneten Anschluss weiter. Wiederhole Zugabe, Halten und Umsetzen nach der örtlichen Station; fange einzelne Ausgänge auf. Zwischen unverbundenen Bildern beginnt ein neuer Besitzer.	UNCHANGED_86_ENTRIES
f83r	III_ANWENDUNG	Variantenatlas der Stationen	345	91	4	Variantenatlas lokaler Becken und Anwendungen	Anwendungsvarianten statt ein Kreislauf	Lies jede kurze Gruppe als Variante: auswählen, ansetzen, halten, an die sichtbare Stelle umsetzen, dort neu ansetzen und absetzen oder auffangen. Reale Paarverbindungen gelten lokal; ein geschlossener Gesamtumlauf ist nicht gezeichnet.	UNCHANGED_86_ENTRIES
f67r2	IV_ZEIT_UND_AUSWAHL	zwei Himmelsräder und Tabelle	190	11	64	zwei getrennte Himmelsräder und Tabelle	Ring-/Tabellenposten auswählen	Wähle einen Posten im jeweiligen Rad oder in der Tabelle, stelle seinen Grad oder Wert ein und führe die dort eingetragene Operation aus. Die beiden Räder bleiben eigene Adressräume; aus ihnen entsteht kein erzwungenes 7-mal-12-Schema.	UNCHANGED_86_ENTRIES
