component_no	component	short_value_de	grammar_tier	exact_cards	events	teaching_rule
C01	OK	ANSETZEN	PARADIGM_CORE31	24	80	compose freely in registered recipe slot
C02	CHD	UMSETZEN	PARADIGM_CORE31	22	48	compose freely in registered recipe slot
C03	SH	HALTEN	PARADIGM_CORE31	20	25	compose freely in registered recipe slot
C04	SHED	STEHENLASSEN	PARADIGM_CORE31	3	15	compose freely in registered recipe slot
C05	CHK	WAERMEN	PARADIGM_CORE31	4	7	compose freely in registered recipe slot
C06	CTH	BEREITEN	PARADIGM_CORE31	8	15	compose freely in registered recipe slot
C07	SOLK	SAMMELSTELLE	PARADIGM_CORE31	5	7	compose freely in registered recipe slot
C08	P	EINFUELLEN	PARADIGM_CORE31	3	3	compose freely in registered recipe slot
C09	LSH	SPUELEN	PARADIGM_CORE31	2	3	compose freely in registered recipe slot
C10	CFH	AUSWRINGEN	LOCAL_SINGLETON	1	1	copy owner-local singleton card
C11	CH	ENTNEHMEN	PARADIGM_CORE31	15	16	compose freely in registered recipe slot
C12	T	ANWENDEN	PARADIGM_CORE31	9	10	compose freely in registered recipe slot
C13	K	ZUGEBEN	PARADIGM_CORE31	18	21	compose freely in registered recipe slot
C14	S	TEIL	LOCAL_SINGLETON	1	1	copy owner-local singleton card
C15	L	LEITEN	PARADIGM_CORE31	18	27	compose freely in registered recipe slot
C16	OL	WEITER	PARADIGM_CORE31	25	48	compose freely in registered recipe slot
C17	OT	DANACH	PARADIGM_CORE31	16	26	compose freely in registered recipe slot
C18	AL	ZIELSTELLE	PARADIGM_CORE31	22	39	compose freely in registered recipe slot
C19	AR	QUELLE	PARADIGM_CORE31	10	14	compose freely in registered recipe slot
C20	AIR	WASSER	PARADIGM_CORE31	5	5	compose freely in registered recipe slot
C21	OR	ANSATZ	PARADIGM_CORE31	10	18	compose freely in registered recipe slot
C22	HO	ZUTAT	PARADIGM_CORE31	5	8	compose freely in registered recipe slot
C23	CKH	DURCHLASS	PARADIGM_CORE31	9	14	compose freely in registered recipe slot
C24	O	VORGANG	PARADIGM_CORE31	18	19	compose freely in registered recipe slot
C25	Y	DIES	PARADIGM_CORE31	61	125	compose freely in registered recipe slot
C26	AIN	PORTION	PARADIGM_CORE31	8	18	compose freely in registered recipe slot
C27	AIIN	SOLLMASS	PARADIGM_CORE31	10	39	compose freely in registered recipe slot
C28	IIN	STUFE	PARADIGM_CORE31	3	4	compose freely in registered recipe slot
C29	E	KURZ	PARADIGM_CORE31	35	50	compose freely in registered recipe slot
C30	EE	LANG	PARADIGM_CORE31	17	40	compose freely in registered recipe slot
C31	EEE	VOLL	PARADIGM_CORE31	2	2	compose freely in registered recipe slot
C32	R	KUEHLEN	PARADIGM_CORE31	6	6	compose freely in registered recipe slot
C33	AN	NACHGABE	BOUND_VARIANT	1	1	use only in attested bound frame
C34	DA	ZWEIT	LOCAL_SINGLETON	1	1	copy owner-local singleton card
C35	LD	BEFESTIGEN	LOCAL_SINGLETON	1	1	copy owner-local singleton card
C36	DY	SCHLUSS	PARADIGM_CORE31	37	89	compose freely in registered recipe slot
C37	OS	FACH	MEMORIZED_WHOLE_COMMAND	1	1	memorize complete command card
C38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	1	2	memorize complete command card
C39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	1	memorize complete command card
