promotion_ordinal	bath_action_ordinal	action_slot_id	target_event_id	target_statement_id	physical_page	target_locus	target_paragraph_key	target_host_ordinal_in_statement	target_surface	target_recipe	target_reset_before	gdt592_previous_route	gdt592_previous_class	gdt592_previous_clause_de	gdt569_state_edition_ordinal	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	gdt581_alias_id	gdt581_lexical_source_kind	gdt581_lexical_source_key	canonical_source_event_id	canonical_source_slot_or_key	context_witness_event_id	context_witness_statement_id	context_witness_locus	context_witness_paragraph_key	context_witness_slot_id	context_witness_primary_governor_key	context_witness_surface	context_witness_recipe	context_witness_lemma_de	context_witness_meaning_source	context_witness_event_distance	context_witness_intervening_event_count	same_physical_paragraph	reference_span	reference_realization	source_disposition	gdt593_selection_route	gdt593_object_class	gdt593_object_lemma_de	gdt593_object_form_de	gdt593_completed_clause_de	retained_gdt592_badegut_clause_de	retained_same_class_alternative_de	reader_clause_occurrence_index	promotion_status	guard
1	18	RUNNING:G407-E1560@1	G407-E1560	G407-S110	f75r	f75r.15	f75r:P1	15	shedy	SH+E+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	380	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT581-I2256	SAME_STATEMENT_EVENT	G407-E1559@1:OR	G407-E1559	RUNNING:G407-E1559@1	G407-E1559	G407-S110	f75r.15	f75r:P1	RUNNING:G407-E1559@1	ACTION:G407-E1557@1:CHD	or	OR	Stationseinheit	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	1	0	YES	SAME_STATEMENT_VISIBLE_SOURCE	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_SOURCE	GDT569_OR_UNIT_PROMOTION	BATH_UNIT	Stationseinheit	dieselbe Stationseinheit	Halte dieselbe Stationseinheit im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
2	48	RUNNING:G407-E1717@1	G407-E1717	G407-S137	f75r	f75r.32	f75r:P3	1	shedy	SH+E+DY	STATEMENT_START	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	437	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I2335	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:AIN	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:AIN	G407-E1714	G407-S136	f75r.32	f75r:P3	RUNNING:G407-E1714@2	ACTION:G407-E1714@1:OK	qokain	OK+AIN	Anwendungsportion	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	2	YES	OWNER_DEFAULT_WITH_PRIOR_WRITTEN_CONTEXT_WITNESS	DEFINITE_TARGET_TYPE_AFTER_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	die Anwendungsportion	Halte die Anwendungsportion im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
3	56	RUNNING:G407-E1778@1	G407-E1778	G407-S166	f75r	f75r.40	f75r:P3	2	shedy	SH+E+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	474	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I2381	SAME_STATEMENT_EVENT	G407-E1777@2:AIN	G407-E1777	RUNNING:G407-E1777@2	G407-E1777	G407-S166	f75r.40	f75r:P3	RUNNING:G407-E1777@2	ACTION:G407-E1777@1:OK	qokain	OK+AIN	Anwendungsportion	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	YES	SAME_STATEMENT_VISIBLE_SOURCE	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	dieselbe Anwendungsportion	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
4	57	RUNNING:G407-E1781@2	G407-E1781	G407-S168	f75r	f75r.40	f75r:P3	2	rshedy	R+SH+E+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	476	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I2384	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:AIN	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:AIN	G407-E1777	G407-S166	f75r.40	f75r:P3	RUNNING:G407-E1777@2	ACTION:G407-E1777@1:OK	qokain	OK+AIN	Anwendungsportion	GDT582_EXACT_WRITTEN_SLOT_WITNESS	4	3	YES	OWNER_DEFAULT_WITH_PRIOR_WRITTEN_CONTEXT_WITNESS	DEFINITE_TARGET_TYPE_AFTER_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	die Anwendungsportion	Halte die Anwendungsportion im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
5	92	RUNNING:G407-E2608@1	G407-E2608	G407-S374	f77r	f77r.35	f77r:P3	13	sheedy	SH+EE+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	796	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I2761	SAME_STATEMENT_EVENT	G407-E2607@2:AIN	G407-E2607	RUNNING:G407-E2607@2	G407-E2607	G407-S374	f77r.35	f77r:P3	RUNNING:G407-E2607@2	ACTION:G407-E2607@1:OK	qokain	OK+AIN	Anwendungsportion	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	YES	SAME_STATEMENT_VISIBLE_SOURCE	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	dieselbe Anwendungsportion	Halte dieselbe Anwendungsportion im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
6	122	RUNNING:G407-E2828@1	G407-E2828	G407-S422	f81r	f81r.19	f81r:P2	1	sheedy	SH+EE+DY	STATEMENT_START	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	905	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT581-I2881	OWNER_DEFAULT	OWNER_DEFAULT:F81R_LOWER_POOL:OR	OWNER	OWNER_DEFAULT:F81R_LOWER_POOL:OR	G407-E2826	G407-S421	f81r.18	f81r:P2	RUNNING:G407-E2826@2	ACTION:G407-E2827@1:OK	oror	OR+OR	Becken- oder Körpereinheit	GDT582_EXACT_WRITTEN_SLOT_WITNESS	2	1	YES	OWNER_DEFAULT_WITH_PRIOR_WRITTEN_CONTEXT_WITNESS	DEFINITE_TARGET_TYPE_AFTER_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_OR_UNIT_PROMOTION	BATH_UNIT	Badeinheit	die Badeinheit	Halte die Badeinheit im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	Halte die Stationseinheit im Bad auf Grad II	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
7	141	RUNNING:G407-E2997@1	G407-E2997	G407-S450	f81v	f81v.8	f81v:P1	4	shedy	SH+E+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	973	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT581-I2967	SAME_STATEMENT_EVENT	G407-E2996@1:OR	G407-E2996	RUNNING:G407-E2996@1	G407-E2996	G407-S450	f81v.8	f81v:P1	RUNNING:G407-E2996@1	ACTION:G407-E2995@2:K	or	OR	Becken- oder Körpereinheit	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	YES	SAME_STATEMENT_VISIBLE_SOURCE	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_SOURCE	GDT569_OR_UNIT_PROMOTION	BATH_UNIT	Stationseinheit	dieselbe Stationseinheit	Halte dieselbe Stationseinheit im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
8	142	RUNNING:G407-E2998@1	G407-E2998	G407-S451	f81v	f81v.8	f81v:P1	1	sheedy	SH+EE+DY	STATEMENT_START	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	974	CONTEXT_CARRY	OR	die Stationseinheit	dieselbe Stationseinheit	GDT581-I2968	OWNER_DEFAULT	OWNER_DEFAULT:gemeinsames zweireihiges Badfeld:OR	OWNER	OWNER_DEFAULT:gemeinsames zweireihiges Badfeld:OR	G407-E2996	G407-S450	f81v.8	f81v:P1	RUNNING:G407-E2996@1	ACTION:G407-E2995@2:K	or	OR	Becken- oder Körpereinheit	GDT582_EXACT_WRITTEN_SLOT_WITNESS	2	1	YES	OWNER_DEFAULT_WITH_PRIOR_WRITTEN_CONTEXT_WITNESS	DEFINITE_TARGET_TYPE_AFTER_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_OR_UNIT_PROMOTION	BATH_UNIT	Badeinheit	die Badeinheit	Halte die Badeinheit im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	Halte die Stationseinheit im Bad auf Grad II	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
9	164	RUNNING:G407-E3134@1	G407-E3134	G407-S485	f81v	f81v.23	f81v:P2	13	shedy	SH+E+DY	NONE	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	1033	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I3030	SAME_STATEMENT_EVENT	G407-E3133@3:AIN	G407-E3133	RUNNING:G407-E3133@3	G407-E3133	G407-S485	f81v.23	f81v:P2	RUNNING:G407-E3133@3	ACTION:G407-E3133@2:K	olkain	OL+K+AIN	Anwendungsportion	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	YES	SAME_STATEMENT_VISIBLE_SOURCE	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	dieselbe Anwendungsportion	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
10	186	RUNNING:G407-E3314@1	G407-E3314	G407-S524	f82r	f82r.18	f82r:P2	7	shedy	SH+E+DY	GDT584_PARAGRAPH_AFTER	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	1107	CONTEXT_CARRY	AIN	den Stationsanteil	denselben Stationsanteil	GDT581-I3123	SAME_STATEMENT_EVENT	G407-E3313@2:AIN	G407-E3313	RUNNING:G407-E3313@2	G407-E3313	G407-S524	f82r.18	f82r:P2	RUNNING:G407-E3313@2	ACTION:G407-E3312@3:CHD	otain	OT+AIN	Anwendungsportion	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	1	0	YES	SAME_STATEMENT_SOURCE_ACROSS_READER_RESET	DEFINITE_TARGET_TYPE_AFTER_RESET	CANONICAL_WRITTEN_SOURCE	GDT569_AIN_PORTION_PROMOTION	PORTION	Anwendungsportion	die Anwendungsportion	Halte die Anwendungsportion im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	NOT_APPLICABLE	1	STABLE_ROOT_TARGET_COMPLETION	OCCURRENCE_LEVEL_AIN_OR_ONLY__OWNER_DEFAULT_NOT_RELABELED_AS_DONOR__GDT592_RIVAL_RETAINED__NO_NEW_PAGE_ROOT_OR_SEGMENT
