frame_id	visible_frame	recipe_frame	recipe_atom_count	frame_realization_class	frame_realization_trace	old_alias_evidence	sequence_target_count	sequence_targets	strong_peer_count	strong_peers	target_mode_coverage_count	same_mode_peer_contact_count	same_mode_peer_map	target_positions	peer_positions	all_targets_have_same_mode_peer	guard
F001	she	SH+E	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	she→SH+E	she:LEARNED_SHORT_RENDERER:n490:share0.981964	4	dalalshedy|shekair|shekaly|shekol	14	lsheody|olsheor|psheody|shedshey|shekeefy|shekeey|shekey|sheocthy|sheod|sheodaiin|sheoy|tosheo|ykshedy|yshedair	4	16	dalalshedy:tosheo ; shekair:tosheo ; shekaly:lsheody|olsheor|psheody|shedshey|shekeefy|shekeey|shekey|sheocthy|sheod|sheodaiin|sheoy|ykshedy|yshedair ; shekol:tosheo	dalalshedy:INTERNAL|shekair:START|shekaly:START|shekol:START	lsheody:INTERNAL|olsheor:INTERNAL|psheody:INTERNAL|shedshey:START|shekeefy:START|shekeey:START|shekey:START|sheocthy:START|sheod:START|sheodaiin:START|sheoy:START|tosheo:INTERNAL|ykshedy:INTERNAL|yshedair:INTERNAL	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F002	ek	E+K	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	ek→E+K	ek:LEARNED_SHORT_RENDERER:n56:share0.608696	3	shekair|shekaly|shekol	4	choekeey|shekeefy|shekeey|shekey	1	4	shekair:NONE ; shekaly:choekeey|shekeefy|shekeey|shekey ; shekol:NONE	shekair:INTERNAL|shekaly:INTERNAL|shekol:INTERNAL	choekeey:INTERNAL|shekeefy:INTERNAL|shekeey:INTERNAL|shekey:INTERNAL	NO	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F003	shek	SH+E+K	3	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	shek→SH+E+K	shek:LEARNED_SHORT_RENDERER:n31:share0.939394	3	shekair|shekaly|shekol	3	shekeefy|shekeey|shekey	1	3	shekair:NONE ; shekaly:shekeefy|shekeey|shekey ; shekol:NONE	shekair:START|shekaly:START|shekol:START	shekeefy:START|shekeey:START|shekey:START	NO	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F004	shy	SH+Y	2	COALESCED_ADJACENT_OLD_ALIAS_SEGMENTS	sh→SH | y→Y	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	2	shyshol|tolshy	2	dolarshy|shytchy	2	4	shyshol:dolarshy|shytchy ; tolshy:dolarshy|shytchy	shyshol:START|tolshy:END	dolarshy:END|shytchy:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F005	ko	K+O	2	COALESCED_ADJACENT_OLD_ALIAS_SEGMENTS	k→K | o→O	k:CANONICAL_AND_LEARNED:n937:share0.961026 | o:CANONICAL_AND_LEARNED:n1340:share0.949681	2	dairykodas|kodary	2	kodalchy|ykoiin	2	4	dairykodas:kodalchy|ykoiin ; kodary:kodalchy|ykoiin	dairykodas:INTERNAL|kodary:START	kodalchy:START|ykoiin:INTERNAL	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F006	od	O+D_ADDR	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	od→O+D_ADDR	od:LEARNED_SHORT_RENDERER:n226:share0.849624	1	kodary	16	cheod|fshodchy|kcheody|kchody|kechody|keody|kodalchy|lodaiin|lsheody|psheody|sheeody|sheod|sheodaiin|todeeey|tshokeody|ysheeod	1	15	kodary:cheod|fshodchy|kcheody|kchody|kechody|keody|kodalchy|lsheody|psheody|sheeody|sheod|sheodaiin|todeeey|tshokeody|ysheeod	kodary:INTERNAL	cheod:END|fshodchy:INTERNAL|kcheody:INTERNAL|kchody:INTERNAL|kechody:INTERNAL|keody:INTERNAL|kodalchy:INTERNAL|lodaiin:INTERNAL|lsheody:INTERNAL|psheody:INTERNAL|sheeody:INTERNAL|sheod:END|sheodaiin:INTERNAL|todeeey:INTERNAL|tshokeody:INTERNAL|ysheeod:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F007	che	CH+E	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	che→CH+E	che:LEARNED_SHORT_RENDERER:n296:share0.672727	1	ypches	12	chefchy|cheod|chepakeo|chepos|cheta|dcheol|kcheody|oteochey|pofochey|qokchey|tcheo|yches	1	9	ypches:chefchy|cheod|chepos|cheta|kcheody|oteochey|pofochey|qokchey|yches	ypches:INTERNAL	chefchy:START|cheod:START|chepakeo:START|chepos:START|cheta:START|dcheol:INTERNAL|kcheody:INTERNAL|oteochey:INTERNAL|pofochey:INTERNAL|qokchey:INTERNAL|tcheo:INTERNAL|yches:INTERNAL	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F008	yk	Y+K	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	yk→Y+K	yk:LEARNED_SHORT_RENDERER:n138:share0.896104	1	dairykodas	5	dyky|ykeedar|ykesho|ykoiin|ykshedy	1	5	dairykodas:dyky|ykeedar|ykesho|ykoiin|ykshedy	dairykodas:INTERNAL	dyky:INTERNAL|ykeedar:START|ykesho:START|ykoiin:START|ykshedy:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F009	dair	D_ADDR+AIR	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	dair→D_ADDR+AIR	dair:LEARNED_SHORT_RENDERER:n21:share0.777778	1	dairykodas	3	dairal|dairody|yshedair	1	1	dairykodas:yshedair	dairykodas:START	dairal:START|dairody:START|yshedair:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F010	dar	D_ADDR+AR	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	dar→D_ADDR+AR	dar:LEARNED_SHORT_RENDERER:n117:share0.835714	1	kodary	3	dard|qokeedar|ykeedar	1	1	kodary:ykeedar	kodary:INTERNAL	dard:START|qokeedar:END|ykeedar:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
