surface	final_recipe	exact_visible_route	frame_id	visible_frame	recipe_frame	frame_position	frame_realization_trace	target_modes	same_mode_peer_count	same_mode_peer_surfaces	old_tile_and_seam_evidence	neutral_component_reading_de	known_contextual_readings_de	promotion_status	retained_caution	guard
choraly	CH+OR+AL+Y	chor→CH+OR | aly→AL+Y	F011	chor	CH+OR	START	chor→CH+OR	SELF_CONTAINED	2	choraiin|chory	tiles=2;minimum_tile_events=9;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	dair→D_ADDR+AIR | yk→Y+K | oda→O+DA | s→S	F005	ko	K+O	INTERNAL	k→K | o→O	SELF_CONTAINED	2	kodalchy|ykoiin	tiles=3;minimum_tile_events=1;old_seams=2/2;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Hier; entlang der Bahn; den Posten geben und wählen; zur Ausführung; auf der zweiten Stufe.	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
dalalshedy	AL+AL+SH+E+DY	dal→AL | al→AL | shedy→SH+E+DY	F001	she	SH+E	INTERNAL	she→SH+E	REQUIRES_ACTIVE_ARGUMENT	1	tosheo	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Am Zielort; erneut am Zielort; halten; auf Grad I; abschließen.	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
kodary	K+O+D_ADDR+AR+Y	k→K | od→O+D_ADDR | ary→AR+Y	F005	ko	K+O	START	k→K | o→O	SELF_CONTAINED	2	kodalchy|ykoiin	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Den Posten geben; zur Ausführung; hier; vom Ausgang.	Ordne den laufenden Eintrag zu; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
shekair	SH+E+K+AIR	shek→SH+E+K | air→AIR	F001	she	SH+E	START	she→SH+E	REQUIRES_ACTIVE_ARGUMENT	1	tosheo	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Halten und geben; auf Grad I; entlang der Bahn.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn; auf Grad I.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
shekaly	SH+E+K+AL+Y	shek→SH+E+K | aly→AL+Y	F001	she	SH+E	START	she→SH+E	SELF_CONTAINED	13	lsheody|olsheor|psheody|shedshey|shekeefy|shekeey|shekey|sheocthy|sheod|sheodaiin|sheoy|ykshedy|yshedair	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Den Posten halten und geben; auf Grad I; am Zielort.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
shekol	SH+E+K+OL	she→SH+E | kol→K+OL	F001	she	SH+E	START	she→SH+E	REQUIRES_ACTIVE_ARGUMENT	1	tosheo	tiles=2;minimum_tile_events=2;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Halten und geben; auf Grad I; fortsetzen.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; führe fort.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
shyshol	SH+Y+SH+OL	sh→SH | ysh→Y+SH | ol→OL	F004	shy	SH+Y	START	sh→SH | y→Y	SELF_CONTAINED	2	dolarshy|shytchy	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Den Posten zweimal halten; fortsetzen.	Halte den Pflanzenposten und halte den Pflanzenposten; führe fort.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
tolshy	T+OL+SH+Y	t→T | ol→OL | sh→SH | y→Y	F004	shy	SH+Y	END	sh→SH | y→Y	SELF_CONTAINED	2	dolarshy|shytchy	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Den Posten einstellen und halten; fortsetzen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; führe fort.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
ypches	Y+P+CH+E+S	yp→Y+P | ches→CH+E+S	F017	ches	CH+E+S	END	ches→CH+E+S	SELF_CONTAINED	1	yches	tiles=2;minimum_tile_events=1;old_seams=1/1;old_skeleton_events=0;ordered_statement_paths=0;adjacent_paths=0	Den Posten einsetzen, nehmen und wählen; auf Grad I.	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	PROMOTED_BY_RECURRENT_VISIBLE_FRAME_AND_SAME_MODE_PEER	NO_COMPLETE_OLD_WHOLE_RECIPE_OR_ORDERED_STATEMENT_PATH__WORKING_FRAME_BRIDGE_ACCEPTED	CURRENT_WORKING_PROMOTION__NO_NEW_RECIPE_FRAME_OR_MEANING
