metric	value	guard
status	PASS_FIVE_RECURRENT_FRAMES_BRIDGE_ALL_10_SEQUENCE_DEFAULTS__NINE_SUPPORT_RESTS	GDT550_REPLAYED_METRIC
source_sequence_card_count	10	GDT550_REPLAYED_METRIC
source_sequence_exact_old_cover_count	10	GDT550_REPLAYED_METRIC
candidate_recurrent_frame_count	23	GDT550_REPLAYED_METRIC
all_target_modes_peer_compatible_frame_count	20	GDT550_REPLAYED_METRIC
minimum_frame_cover_size	5	GDT550_REPLAYED_METRIC
minimum_frame_cover_solution_count	6	GDT550_REPLAYED_METRIC
selected_frame_count	5	GDT550_REPLAYED_METRIC
selected_frame_target_count	10	GDT550_REPLAYED_METRIC
selected_frame_strong_peer_count	21	GDT550_REPLAYED_METRIC
selected_same_mode_peer_contact_count	27	GDT550_REPLAYED_METRIC
selected_frame_occurrence_count	31	GDT550_REPLAYED_METRIC
promoted_sequence_card_count	10	GDT550_REPLAYED_METRIC
residual_support_card_count	9	GDT550_REPLAYED_METRIC
residual_anchor_context_count	4	GDT550_REPLAYED_METRIC
residual_direct_interface_count	5	GDT550_REPLAYED_METRIC
complete_neutral_meaning_count	10	GDT550_REPLAYED_METRIC
complete_context_meaning_count	10	GDT550_REPLAYED_METRIC
new_pages	0	GDT550_REPLAYED_METRIC
recipe_changes	0	GDT550_REPLAYED_METRIC
root_meaning_changes	0	GDT550_REPLAYED_METRIC
